"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,3
"19",2020-03-26,4
"20",2020-03-27,4
"21",2020-03-28,5
"22",2020-03-29,5
"23",2020-03-30,6
"24",2020-03-31,7
"25",2020-04-01,9
"26",2020-04-02,11
"27",2020-04-03,13
"28",2020-04-04,17
"29",2020-04-05,20
"30",2020-04-06,26
"31",2020-04-07,34
"32",2020-04-08,44
"33",2020-04-09,57
"34",2020-04-10,71
"35",2020-04-11,88
"36",2020-04-12,109
"37",2020-04-13,136
"38",2020-04-14,162
"39",2020-04-15,190
"40",2020-04-16,215
"41",2020-04-17,241
"42",2020-04-18,279
"43",2020-04-19,314
"44",2020-04-20,335
"45",2020-04-21,370
"46",2020-04-22,419
"47",2020-04-23,421
"48",2020-04-24,460
"49",2020-04-25,483
"50",2020-04-26,517
"51",2020-04-27,539
"52",2020-04-28,559
"53",2020-04-29,607
"54",2020-04-30,636
"55",2020-05-01,662
"56",2020-05-02,675
"57",2020-05-03,725
"58",2020-05-04,754
"59",2020-05-05,805
"60",2020-05-06,861
"61",2020-05-07,870
"62",2020-05-08,921
"63",2020-05-09,927
"64",2020-05-10,987
"65",2020-05-11,1035
"66",2020-05-12,1091
"67",2020-05-13,1138
"68",2020-05-14,1196
"69",2020-05-15,1212
"70",2020-05-16,1310
"71",2020-05-17,1378
"72",2020-05-18,1470
"73",2020-05-19,1534
"74",2020-05-20,1606
"75",2020-05-21,1669
"76",2020-05-22,1758
"77",2020-05-23,1815
"78",2020-05-24,2035
"79",2020-05-25,2071
"80",2020-05-26,2165
"81",2020-05-27,2263
"82",2020-05-28,2366
"83",2020-05-29,2474
"84",2020-05-30,2586
"85",2020-05-31,2704
"86",2020-06-01,2827
"87",2020-06-02,2956
"88",2020-06-03,3090
"89",2020-06-04,3230
"90",2020-06-05,3377
"91",2020-06-06,3531
"92",2020-06-07,3691
"93",2020-06-08,3859
"94",2020-06-09,4034
"95",2020-06-10,4218
"96",2020-06-11,4409
"97",2020-06-12,4610
"98",2020-06-13,4819
"99",2020-06-14,5038
"100",2020-06-15,5267
"101",2020-06-16,5506
"102",2020-06-17,5756
"103",2020-06-18,6017
"104",2020-06-19,6290
"105",2020-06-20,6575
"106",2020-06-21,6874
"107",2020-06-22,7185
"108",2020-06-23,7511
"109",2020-06-24,7852
"110",2020-06-25,8208
"111",2020-06-26,8580
"112",2020-06-27,8969
"113",2020-06-28,9375
"114",2020-06-29,9800
"115",2020-06-30,10243
"116",2020-07-01,10707
"117",2020-07-02,11192
"118",2020-07-03,11698
"119",2020-07-04,12227
"120",2020-07-05,12780
"121",2020-07-06,13358
"122",2020-07-07,13961
"123",2020-07-08,14592
"124",2020-07-09,15251
"125",2020-07-10,15939
"126",2020-07-11,16659
"127",2020-07-12,17410
"128",2020-07-13,18195
"129",2020-07-14,19015
"130",2020-07-15,19871
"131",2020-07-16,20765
"132",2020-07-17,21700
"133",2020-07-18,22675
"134",2020-07-19,23694
"135",2020-07-20,24759
"136",2020-07-21,25870
"137",2020-07-22,27030
"138",2020-07-23,28242
"139",2020-07-24,29507
"140",2020-07-25,30827
"141",2020-07-26,32206
"142",2020-07-27,33645
"143",2020-07-28,35147
"144",2020-07-29,36715
"145",2020-07-30,38351
"146",2020-07-31,40058
"147",2020-08-01,41839
"148",2020-08-02,43698
"149",2020-08-03,45637
"150",2020-08-04,47660
"151",2020-08-05,49769
"152",2020-08-06,51970
"153",2020-08-07,54264
"154",2020-08-08,56656
"155",2020-08-09,59150
"156",2020-08-10,61750
"157",2020-08-11,64460
"158",2020-08-12,67283
"159",2020-08-13,70226
"160",2020-08-14,73291
"161",2020-08-15,76484
"162",2020-08-16,79809
"163",2020-08-17,83272
"164",2020-08-18,86877
"165",2020-08-19,90629
"166",2020-08-20,94534
"167",2020-08-21,98597
"168",2020-08-22,102823
