"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,4
"19",2020-03-26,4
"20",2020-03-27,5
"21",2020-03-28,5
"22",2020-03-29,6
"23",2020-03-30,6
"24",2020-03-31,8
"25",2020-04-01,9
"26",2020-04-02,12
"27",2020-04-03,14
"28",2020-04-04,18
"29",2020-04-05,23
"30",2020-04-06,28
"31",2020-04-07,38
"32",2020-04-08,48
"33",2020-04-09,60
"34",2020-04-10,74
"35",2020-04-11,89
"36",2020-04-12,109
"37",2020-04-13,133
"38",2020-04-14,153
"39",2020-04-15,183
"40",2020-04-16,217
"41",2020-04-17,249
"42",2020-04-18,279
"43",2020-04-19,314
"44",2020-04-20,338
"45",2020-04-21,362
"46",2020-04-22,385
"47",2020-04-23,390
"48",2020-04-24,425
"49",2020-04-25,445
"50",2020-04-26,474
"51",2020-04-27,519
"52",2020-04-28,543
"53",2020-04-29,582
"54",2020-04-30,611
"55",2020-05-01,641
"56",2020-05-02,667
"57",2020-05-03,714
"58",2020-05-04,731
"59",2020-05-05,776
"60",2020-05-06,844
"61",2020-05-07,865
"62",2020-05-08,917
"63",2020-05-09,957
"64",2020-05-10,1005
"65",2020-05-11,1046
"66",2020-05-12,1070
"67",2020-05-13,1146
"68",2020-05-14,1201
"69",2020-05-15,1262
"70",2020-05-16,1301
"71",2020-05-17,1395
"72",2020-05-18,1497
"73",2020-05-19,1503
"74",2020-05-20,1591
"75",2020-05-21,1657
"76",2020-05-22,1817
"77",2020-05-23,1913
"78",2020-05-24,1892
"79",2020-05-25,1635
"80",2020-05-26,1677
"81",2020-05-27,1720
"82",2020-05-28,1764
"83",2020-05-29,1810
"84",2020-05-30,1856
"85",2020-05-31,1904
"86",2020-06-01,1953
"87",2020-06-02,2003
"88",2020-06-03,2054
"89",2020-06-04,2107
"90",2020-06-05,2161
"91",2020-06-06,2217
"92",2020-06-07,2274
"93",2020-06-08,2332
"94",2020-06-09,2392
"95",2020-06-10,2454
"96",2020-06-11,2517
"97",2020-06-12,2581
"98",2020-06-13,2647
"99",2020-06-14,2715
"100",2020-06-15,2785
"101",2020-06-16,2857
"102",2020-06-17,2930
"103",2020-06-18,3005
"104",2020-06-19,3082
"105",2020-06-20,3161
"106",2020-06-21,3242
"107",2020-06-22,3325
"108",2020-06-23,3411
"109",2020-06-24,3498
"110",2020-06-25,3588
"111",2020-06-26,3680
"112",2020-06-27,3774
"113",2020-06-28,3871
"114",2020-06-29,3970
"115",2020-06-30,4072
"116",2020-07-01,4176
"117",2020-07-02,4283
"118",2020-07-03,4393
"119",2020-07-04,4505
"120",2020-07-05,4621
"121",2020-07-06,4739
"122",2020-07-07,4860
"123",2020-07-08,4985
"124",2020-07-09,5112
"125",2020-07-10,5243
"126",2020-07-11,5377
"127",2020-07-12,5515
"128",2020-07-13,5656
"129",2020-07-14,5800
"130",2020-07-15,5949
"131",2020-07-16,6101
"132",2020-07-17,6257
"133",2020-07-18,6416
"134",2020-07-19,6580
"135",2020-07-20,6748
"136",2020-07-21,6921
"137",2020-07-22,7097
"138",2020-07-23,7278
"139",2020-07-24,7464
"140",2020-07-25,7655
"141",2020-07-26,7850
"142",2020-07-27,8050
"143",2020-07-28,8255
"144",2020-07-29,8465
"145",2020-07-30,8681
"146",2020-07-31,8902
"147",2020-08-01,9129
"148",2020-08-02,9361
"149",2020-08-03,9599
"150",2020-08-04,9844
"151",2020-08-05,10094
"152",2020-08-06,10350
"153",2020-08-07,10613
"154",2020-08-08,10883
"155",2020-08-09,11159
"156",2020-08-10,11443
"157",2020-08-11,11733
"158",2020-08-12,12031
"159",2020-08-13,12336
"160",2020-08-14,12648
"161",2020-08-15,12969
"162",2020-08-16,13297
"163",2020-08-17,13634
"164",2020-08-18,13979
"165",2020-08-19,14332
"166",2020-08-20,14695
"167",2020-08-21,15066
"168",2020-08-22,15446
"169",2020-08-23,15836
"170",2020-08-24,16236
"171",2020-08-25,16645
"172",2020-08-26,17064
"173",2020-08-27,17494
"174",2020-08-28,17935
"175",2020-08-29,18386
"176",2020-08-30,18848
"177",2020-08-31,19321
"178",2020-09-01,19807
"179",2020-09-02,20304
"180",2020-09-03,20813
"181",2020-09-04,21334
"182",2020-09-05,21869
"183",2020-09-06,22416
"184",2020-09-07,22976
"185",2020-09-08,23550
"186",2020-09-09,24138
"187",2020-09-10,24740
"188",2020-09-11,25357
"189",2020-09-12,25989
"190",2020-09-13,26635
"191",2020-09-14,27297
"192",2020-09-15,27975
"193",2020-09-16,28670
"194",2020-09-17,29380
"195",2020-09-18,30108
"196",2020-09-19,30853
"197",2020-09-20,31616
"198",2020-09-21,32396
"199",2020-09-22,33195
"200",2020-09-23,34013
"201",2020-09-24,34850
"202",2020-09-25,35707
"203",2020-09-26,36583
"204",2020-09-27,37480
"205",2020-09-28,38398
"206",2020-09-29,39337
"207",2020-09-30,40298
"208",2020-10-01,41281
"209",2020-10-02,42286
"210",2020-10-03,43315
"211",2020-10-04,44367
"212",2020-10-05,45443
"213",2020-10-06,46543
"214",2020-10-07,47668
"215",2020-10-08,48819
"216",2020-10-09,49995
"217",2020-10-10,51197
"218",2020-10-11,52427
"219",2020-10-12,53683
"220",2020-10-13,54967
"221",2020-10-14,56280
"222",2020-10-15,57621
"223",2020-10-16,58992
"224",2020-10-17,60392
"225",2020-10-18,61822
"226",2020-10-19,63284
"227",2020-10-20,64776
"228",2020-10-21,66300
"229",2020-10-22,67857
"230",2020-10-23,69446
"231",2020-10-24,71068
"232",2020-10-25,72725
"233",2020-10-26,74415
"234",2020-10-27,76140
"235",2020-10-28,77901
"236",2020-10-29,79697
"237",2020-10-30,81529
"238",2020-10-31,83398
"239",2020-11-01,85305
"240",2020-11-02,87248
"241",2020-11-03,89230
"242",2020-11-04,91251
"243",2020-11-05,93310
"244",2020-11-06,95409
"245",2020-11-07,97547
"246",2020-11-08,99726
"247",2020-11-09,101945
"248",2020-11-10,104205
"249",2020-11-11,106507
"250",2020-11-12,108850
"251",2020-11-13,111234
"252",2020-11-14,113661
"253",2020-11-15,116131
"254",2020-11-16,118643
"255",2020-11-17,121198
"256",2020-11-18,123796
"257",2020-11-19,126438
"258",2020-11-20,129122
"259",2020-11-21,131851
"260",2020-11-22,134622
"261",2020-11-23,137438
"262",2020-11-24,140297
"263",2020-11-25,143199
"264",2020-11-26,146145
"265",2020-11-27,149135
"266",2020-11-28,152167
"267",2020-11-29,155243
"268",2020-11-30,158361
"269",2020-12-01,161522
"270",2020-12-02,164725
"271",2020-12-03,167969
"272",2020-12-04,171255
"273",2020-12-05,174581
"274",2020-12-06,177948
"275",2020-12-07,181354
"276",2020-12-08,184799
"277",2020-12-09,188282
"278",2020-12-10,191803
"279",2020-12-11,195360
"280",2020-12-12,198952
"281",2020-12-13,202579
"282",2020-12-14,206240
"283",2020-12-15,209933
"284",2020-12-16,213657
"285",2020-12-17,217410
"286",2020-12-18,221193
"287",2020-12-19,225002
"288",2020-12-20,228837
"289",2020-12-21,232695
"290",2020-12-22,236577
"291",2020-12-23,240478
"292",2020-12-24,244399
"293",2020-12-25,248337
"294",2020-12-26,252289
"295",2020-12-27,256255
"296",2020-12-28,260232
"297",2020-12-29,264217
"298",2020-12-30,268209
"299",2020-12-31,272205
"300",2021-01-01,276203
"301",2021-01-02,280201
"302",2021-01-03,284195
"303",2021-01-04,288184
"304",2021-01-05,292164
"305",2021-01-06,296134
"306",2021-01-07,300090
"307",2021-01-08,304029
"308",2021-01-09,307949
"309",2021-01-10,311847
"310",2021-01-11,315719
"311",2021-01-12,319564
"312",2021-01-13,323377
"313",2021-01-14,327157
"314",2021-01-15,330899
"315",2021-01-16,334601
"316",2021-01-17,338259
"317",2021-01-18,341872
"318",2021-01-19,345434
"319",2021-01-20,348944
"320",2021-01-21,352398
"321",2021-01-22,355793
"322",2021-01-23,359127
"323",2021-01-24,362395
"324",2021-01-25,365595
"325",2021-01-26,368725
"326",2021-01-27,371780
"327",2021-01-28,374758
"328",2021-01-29,377657
"329",2021-01-30,380474
"330",2021-01-31,383205
"331",2021-02-01,385848
"332",2021-02-02,388401
"333",2021-02-03,390861
"334",2021-02-04,393225
"335",2021-02-05,395492
"336",2021-02-06,397659
"337",2021-02-07,399723
"338",2021-02-08,401684
"339",2021-02-09,403539
"340",2021-02-10,405286
"341",2021-02-11,406924
"342",2021-02-12,408450
"343",2021-02-13,409864
"344",2021-02-14,411165
"345",2021-02-15,412351
"346",2021-02-16,413421
"347",2021-02-17,414374
"348",2021-02-18,415209
"349",2021-02-19,415927
"350",2021-02-20,416525
"351",2021-02-21,417005
"352",2021-02-22,417366
"353",2021-02-23,417607
"354",2021-02-24,417730
"355",2021-02-25,417734
"356",2021-02-26,417619
"357",2021-02-27,417386
"358",2021-02-28,417036
"359",2021-03-01,416569
"360",2021-03-02,415986
"361",2021-03-03,415289
"362",2021-03-04,414479
"363",2021-03-05,413556
"364",2021-03-06,412523
"365",2021-03-07,411380
"366",2021-03-08,410130
"367",2021-03-09,408773
"368",2021-03-10,407313
"369",2021-03-11,405750
"370",2021-03-12,404087
"371",2021-03-13,402326
"372",2021-03-14,400469
"373",2021-03-15,398519
"374",2021-03-16,396477
"375",2021-03-17,394346
"376",2021-03-18,392129
"377",2021-03-19,389828
"378",2021-03-20,387445
"379",2021-03-21,384983
"380",2021-03-22,382445
"381",2021-03-23,379834
"382",2021-03-24,377152
"383",2021-03-25,374401
"384",2021-03-26,371586
"385",2021-03-27,368707
"386",2021-03-28,365769
"387",2021-03-29,362773
"388",2021-03-30,359724
"389",2021-03-31,356622
"390",2021-04-01,353472
"391",2021-04-02,350275
"392",2021-04-03,347036
"393",2021-04-04,343755
"394",2021-04-05,340436
"395",2021-04-06,337082
"396",2021-04-07,333695
"397",2021-04-08,330278
"398",2021-04-09,326833
