"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,4
"19",2020-03-26,4
"20",2020-03-27,4
"21",2020-03-28,5
"22",2020-03-29,6
"23",2020-03-30,6
"24",2020-03-31,7
"25",2020-04-01,9
"26",2020-04-02,11
"27",2020-04-03,13
"28",2020-04-04,17
"29",2020-04-05,23
"30",2020-04-06,29
"31",2020-04-07,36
"32",2020-04-08,47
"33",2020-04-09,59
"34",2020-04-10,73
"35",2020-04-11,90
"36",2020-04-12,107
"37",2020-04-13,133
"38",2020-04-14,157
"39",2020-04-15,185
"40",2020-04-16,212
"41",2020-04-17,242
"42",2020-04-18,273
"43",2020-04-19,297
"44",2020-04-20,325
"45",2020-04-21,352
"46",2020-04-22,391
"47",2020-04-23,417
"48",2020-04-24,456
"49",2020-04-25,486
"50",2020-04-26,520
"51",2020-04-27,542
"52",2020-04-28,574
"53",2020-04-29,614
"54",2020-04-30,663
"55",2020-05-01,667
"56",2020-05-02,693
"57",2020-05-03,709
"58",2020-05-04,741
"59",2020-05-05,762
"60",2020-05-06,789
"61",2020-05-07,856
"62",2020-05-08,845
"63",2020-05-09,915
"64",2020-05-10,941
"65",2020-05-11,992
"66",2020-05-12,1047
"67",2020-05-13,1100
"68",2020-05-14,1148
"69",2020-05-15,1182
"70",2020-05-16,1210
"71",2020-05-17,1269
"72",2020-05-18,1349
"73",2020-05-19,1434
"74",2020-05-20,1508
"75",2020-05-21,1578
"76",2020-05-22,1677
"77",2020-05-23,1693
"78",2020-05-24,1810
"79",2020-05-25,1947.4402915859
"80",2020-05-26,2015.94974843961
"81",2020-05-27,2086.8650062839
"82",2020-05-28,2160.27023930747
"83",2020-05-29,2236.25254466176
"84",2020-05-30,2314.90204237367
"85",2020-05-31,2396.31197855889
"86",2020-06-01,2480.57883203683
"87",2020-06-02,2567.8024244502
"88",2020-06-03,2658.08603399491
"89",2020-06-04,2751.53651286833
"90",2020-06-05,2848.26440854651
"91",2020-06-06,2948.38408900336
"92",2020-06-07,3052.01387198715
"93",2020-06-08,3159.27615847245
"94",2020-06-09,3270.29757040741
"95",2020-06-10,3385.20909287938
"96",2020-06-11,3504.14622082358
"97",2020-06-12,3627.24911040197
"98",2020-06-13,3754.66273518198
"99",2020-06-14,3886.53704724618
"100",2020-06-15,4023.02714336669
"101",2020-06-16,4164.29343637956
"102",2020-06-17,4310.50183189621
"103",2020-06-18,4461.82391049096
"104",2020-06-19,4618.43711550461
"105",2020-06-20,4780.52494660571
"106",2020-06-21,4948.27715925229
"107",2020-06-22,5121.88997019734
"108",2020-06-23,5301.56626918211
"109",2020-06-24,5487.51583696177
"110",2020-06-25,5679.95556980799
"111",2020-06-26,5879.10971063207
"112",2020-06-27,6085.21008687239
"113",2020-06-28,6298.49635528875
"114",2020-06-29,6519.21625380337
"115",2020-06-30,6747.6258605287
"116",2020-07-01,6983.98986011648
"117",2020-07-02,7228.5818175624
"118",2020-07-03,7481.68445959478
"119",2020-07-04,7743.5899637719
"120",2020-07-05,8014.60025540751
"121",2020-07-06,8295.02731243774
"122",2020-07-07,8585.19347833571
"123",2020-07-08,8885.43178317248
"124",2020-07-09,9196.08627291344
"125",2020-07-10,9517.51234702981
"126",2020-07-11,9850.07710449368
"127",2020-07-12,10194.1596982118
"128",2020-07-13,10550.15169794
"129",2020-07-14,10918.4574617047
"130",2020-07-15,11299.4945157411
"131",2020-07-16,11693.6939429373
"132",2020-07-17,12101.5007797561
"133",2020-07-18,12523.3744215809
"134",2020-07-19,12959.7890364085
"135",2020-07-20,13411.2339867848
"136",2020-07-21,13878.2142598502
"137",2020-07-22,14361.2509053287
"138",2020-07-23,14860.8814812622
"139",2020-07-24,15377.6605072502
"140",2020-07-25,15912.1599249186
"141",2020-07-26,16464.9695652956
"142",2020-07-27,17036.6976227236
"143",2020-07-28,17627.9711348885
"144",2020-07-29,18239.4364684884
"145",2020-07-30,18871.7598100089
"146",2020-07-31,19525.6276610063
"147",2020-08-01,20201.7473372278
"148",2020-08-02,20900.847470836
"149",2020-08-03,21623.6785149107
"150",2020-08-04,22371.0132493336
"151",2020-08-05,23143.6472870565
"152",2020-08-06,23942.3995796717
"153",2020-08-07,24768.1129210917
"154",2020-08-08,25621.6544480409
"155",2020-08-09,26503.9161359458
"156",2020-08-10,27415.8152886897
"157",2020-08-11,28358.2950205632
"158",2020-08-12,29332.3247286073
"159",2020-08-13,30338.900553401
"160",2020-08-14,31379.0458261878
"161",2020-08-15,32453.8115000724
"162",2020-08-16,33564.2765628519
"163",2020-08-17,34711.5484288578
"164",2020-08-18,35896.763307001
"165",2020-08-19,37121.0865420068
"166",2020-08-20,38385.7129256199
"167",2020-08-21,39691.8669743415
"168",2020-08-22,41040.8031700223
