"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,0
"3",2020-03-10,0
"4",2020-03-11,0
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,2
"10",2020-03-17,2
"11",2020-03-18,3
"12",2020-03-19,3
"13",2020-03-20,3
"14",2020-03-21,4
"15",2020-03-22,3
"16",2020-03-23,4
"17",2020-03-24,3
"18",2020-03-25,3
"19",2020-03-26,3
"20",2020-03-27,3
"21",2020-03-28,2
"22",2020-03-29,3
"23",2020-03-30,3
"24",2020-03-31,3
"25",2020-04-01,4
"26",2020-04-02,4
"27",2020-04-03,7
"28",2020-04-04,11
"29",2020-04-05,18
"30",2020-04-06,26
"31",2020-04-07,39
"32",2020-04-08,60
"33",2020-04-09,83
"34",2020-04-10,109
"35",2020-04-11,120
"36",2020-04-12,153
"37",2020-04-13,197
"38",2020-04-14,229
"39",2020-04-15,242
"40",2020-04-16,278
"41",2020-04-17,319
"42",2020-04-18,347
"43",2020-04-19,371
"44",2020-04-20,409
"45",2020-04-21,396
"46",2020-04-22,438
"47",2020-04-23,501
"48",2020-04-24,498
"49",2020-04-25,481
"50",2020-04-26,511
"51",2020-04-27,576
"52",2020-04-28,608
"53",2020-04-29,624
"54",2020-04-30,614
"55",2020-05-01,669
"56",2020-05-02,628
"57",2020-05-03,714
"58",2020-05-04,762
"59",2020-05-05,718
"60",2020-05-06,783
"61",2020-05-07,785
"62",2020-05-08,804
"63",2020-05-09,894
"64",2020-05-10,971
"65",2020-05-11,962
"66",2020-05-12,1001
"67",2020-05-13,1146
"68",2020-05-14,1215
"69",2020-05-15,1287
"70",2020-05-16,1283
"71",2020-05-17,1407
"72",2020-05-18,1595
"73",2020-05-19,1502
"74",2020-05-20,1683
"75",2020-05-21,1741
"76",2020-05-22,1731
"77",2020-05-23,1811
"78",2020-05-24,1799
"79",2020-05-25,1375
"80",2020-05-26,1384
"81",2020-05-27,1380
"82",2020-05-28,1376
"83",2020-05-29,1371
"84",2020-05-30,1380
"85",2020-05-31,1395
"86",2020-06-01,1411
"87",2020-06-02,1437
"88",2020-06-03,1463
"89",2020-06-04,1490
"90",2020-06-05,1510
"91",2020-06-06,1517
"92",2020-06-07,1524
"93",2020-06-08,1531
"94",2020-06-09,1539
"95",2020-06-10,1546
"96",2020-06-11,1558
"97",2020-06-12,1575
"98",2020-06-13,1591
"99",2020-06-14,1607
"100",2020-06-15,1624
"101",2020-06-16,1641
"102",2020-06-17,1658
"103",2020-06-18,1675
"104",2020-06-19,1693
"105",2020-06-20,1710
"106",2020-06-21,1728
"107",2020-06-22,1746
"108",2020-06-23,1764
"109",2020-06-24,1782
"110",2020-06-25,1799
"111",2020-06-26,1815
"112",2020-06-27,1831
"113",2020-06-28,1845
"114",2020-06-29,1852
"115",2020-06-30,1859
"116",2020-07-01,1866
"117",2020-07-02,1873
"118",2020-07-03,1881
"119",2020-07-04,1888
"120",2020-07-05,1895
"121",2020-07-06,1906
"122",2020-07-07,1923
"123",2020-07-08,1941
"124",2020-07-09,1959
"125",2020-07-10,1977
"126",2020-07-11,1995
"127",2020-07-12,2012
"128",2020-07-13,2020
"129",2020-07-14,2030
"130",2020-07-15,2049
"131",2020-07-16,2069
"132",2020-07-17,2088
"133",2020-07-18,2103
"134",2020-07-19,2115
"135",2020-07-20,2127
"136",2020-07-21,2139
"137",2020-07-22,2152
"138",2020-07-23,2164
