"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,4
"19",2020-03-26,4
"20",2020-03-27,5
"21",2020-03-28,5
"22",2020-03-29,6
"23",2020-03-30,6
"24",2020-03-31,8
"25",2020-04-01,9
"26",2020-04-02,12
"27",2020-04-03,14
"28",2020-04-04,18
"29",2020-04-05,23
"30",2020-04-06,28
"31",2020-04-07,38
"32",2020-04-08,48
"33",2020-04-09,60
"34",2020-04-10,74
"35",2020-04-11,89
"36",2020-04-12,109
"37",2020-04-13,133
"38",2020-04-14,153
"39",2020-04-15,183
"40",2020-04-16,217
"41",2020-04-17,249
"42",2020-04-18,279
"43",2020-04-19,314
"44",2020-04-20,338
"45",2020-04-21,362
"46",2020-04-22,385
"47",2020-04-23,390
"48",2020-04-24,425
"49",2020-04-25,445
"50",2020-04-26,474
"51",2020-04-27,519
"52",2020-04-28,543
"53",2020-04-29,582
"54",2020-04-30,611
"55",2020-05-01,641
"56",2020-05-02,667
"57",2020-05-03,714
"58",2020-05-04,731
"59",2020-05-05,776
"60",2020-05-06,844
"61",2020-05-07,865
"62",2020-05-08,917
"63",2020-05-09,957
"64",2020-05-10,1005
"65",2020-05-11,1046
"66",2020-05-12,1070
"67",2020-05-13,1146
"68",2020-05-14,1201
"69",2020-05-15,1262
"70",2020-05-16,1301
"71",2020-05-17,1395
"72",2020-05-18,1497
"73",2020-05-19,1503
"74",2020-05-20,1591
"75",2020-05-21,1657
"76",2020-05-22,1817
"77",2020-05-23,1913
"78",2020-05-24,1892
"79",2020-05-25,2046
"80",2020-05-26,2104
"81",2020-05-27,2165
"82",2020-05-28,2226
"83",2020-05-29,2290
"84",2020-05-30,2355
"85",2020-05-31,2423
"86",2020-06-01,2492
"87",2020-06-02,2563
"88",2020-06-03,2636
"89",2020-06-04,2711
"90",2020-06-05,2789
"91",2020-06-06,2868
"92",2020-06-07,2950
"93",2020-06-08,3034
"94",2020-06-09,3121
"95",2020-06-10,3210
"96",2020-06-11,3301
"97",2020-06-12,3395
"98",2020-06-13,3492
"99",2020-06-14,3592
"100",2020-06-15,3694
"101",2020-06-16,3799
"102",2020-06-17,3908
"103",2020-06-18,4019
"104",2020-06-19,4134
"105",2020-06-20,4251
"106",2020-06-21,4372
"107",2020-06-22,4497
"108",2020-06-23,4625
"109",2020-06-24,4757
"110",2020-06-25,4892
"111",2020-06-26,5031
"112",2020-06-27,5174
"113",2020-06-28,5321
"114",2020-06-29,5473
"115",2020-06-30,5628
"116",2020-07-01,5788
"117",2020-07-02,5953
"118",2020-07-03,6122
"119",2020-07-04,6296
"120",2020-07-05,6475
"121",2020-07-06,6659
"122",2020-07-07,6848
"123",2020-07-08,7042
"124",2020-07-09,7242
"125",2020-07-10,7448
"126",2020-07-11,7659
"127",2020-07-12,7876
"128",2020-07-13,8099
"129",2020-07-14,8329
"130",2020-07-15,8565
"131",2020-07-16,8807
"132",2020-07-17,9057
"133",2020-07-18,9313
"134",2020-07-19,9577
"135",2020-07-20,9847
"136",2020-07-21,10126
"137",2020-07-22,10412
"138",2020-07-23,10706
"139",2020-07-24,11009
"140",2020-07-25,11319
"141",2020-07-26,11639
"142",2020-07-27,11967
"143",2020-07-28,12305
"144",2020-07-29,12651
"145",2020-07-30,13008
"146",2020-07-31,13374
"147",2020-08-01,13750
"148",2020-08-02,14137
"149",2020-08-03,14535
"150",2020-08-04,14943
"151",2020-08-05,15363
"152",2020-08-06,15794
"153",2020-08-07,16237
"154",2020-08-08,16693
"155",2020-08-09,17160
"156",2020-08-10,17641
"157",2020-08-11,18135
"158",2020-08-12,18642
"159",2020-08-13,19163
"160",2020-08-14,19698
"161",2020-08-15,20248
"162",2020-08-16,20812
"163",2020-08-17,21392
"164",2020-08-18,21988
"165",2020-08-19,22600
"166",2020-08-20,23228
"167",2020-08-21,23873
"168",2020-08-22,24536
"169",2020-08-23,25216
"170",2020-08-24,25915
"171",2020-08-25,26632
"172",2020-08-26,27368
"173",2020-08-27,28124
"174",2020-08-28,28900
"175",2020-08-29,29697
"176",2020-08-30,30515
"177",2020-08-31,31354
"178",2020-09-01,32215
"179",2020-09-02,33099
"180",2020-09-03,34006
"181",2020-09-04,34937
"182",2020-09-05,35892
"183",2020-09-06,36872
"184",2020-09-07,37877
"185",2020-09-08,38908
"186",2020-09-09,39966
"187",2020-09-10,41051
"188",2020-09-11,42163
"189",2020-09-12,43304
"190",2020-09-13,44474
"191",2020-09-14,45674
"192",2020-09-15,46904
"193",2020-09-16,48164
"194",2020-09-17,49457
"195",2020-09-18,50781
"196",2020-09-19,52138
"197",2020-09-20,53529
"198",2020-09-21,54954
"199",2020-09-22,56414
"200",2020-09-23,57910
"201",2020-09-24,59442
"202",2020-09-25,61010
"203",2020-09-26,62617
"204",2020-09-27,64262
"205",2020-09-28,65945
"206",2020-09-29,67669
"207",2020-09-30,69433
"208",2020-10-01,71238
"209",2020-10-02,73085
"210",2020-10-03,74975
"211",2020-10-04,76907
"212",2020-10-05,78884
"213",2020-10-06,80905
"214",2020-10-07,82972
"215",2020-10-08,85084
"216",2020-10-09,87243
"217",2020-10-10,89449
"218",2020-10-11,91703
"219",2020-10-12,94005
"220",2020-10-13,96356
"221",2020-10-14,98757
"222",2020-10-15,101207
"223",2020-10-16,103709
"224",2020-10-17,106261
"225",2020-10-18,108865
"226",2020-10-19,111521
"227",2020-10-20,114229
"228",2020-10-21,116990
"229",2020-10-22,119805
"230",2020-10-23,122672
"231",2020-10-24,125594
"232",2020-10-25,128569
"233",2020-10-26,131598
"234",2020-10-27,134682
"235",2020-10-28,137820
"236",2020-10-29,141012
"237",2020-10-30,144258
"238",2020-10-31,147559
"239",2020-11-01,150913
"240",2020-11-02,154322
"241",2020-11-03,157783
"242",2020-11-04,161298
"243",2020-11-05,164866
"244",2020-11-06,168486
"245",2020-11-07,172157
"246",2020-11-08,175879
"247",2020-11-09,179651
"248",2020-11-10,183473
"249",2020-11-11,187343
"250",2020-11-12,191260
"251",2020-11-13,195223
"252",2020-11-14,199231
"253",2020-11-15,203283
"254",2020-11-16,207377
"255",2020-11-17,211511
"256",2020-11-18,215685
"257",2020-11-19,219895
"258",2020-11-20,224141
"259",2020-11-21,228420
"260",2020-11-22,232730
"261",2020-11-23,237070
"262",2020-11-24,241435
"263",2020-11-25,245826
"264",2020-11-26,250237
"265",2020-11-27,254668
"266",2020-11-28,259115
"267",2020-11-29,263575
"268",2020-11-30,268046
"269",2020-12-01,272523
"270",2020-12-02,277005
"271",2020-12-03,281487
"272",2020-12-04,285966
"273",2020-12-05,290439
"274",2020-12-06,294902
"275",2020-12-07,299351
"276",2020-12-08,303783
"277",2020-12-09,308193
"278",2020-12-10,312578
"279",2020-12-11,316933
"280",2020-12-12,321255
"281",2020-12-13,325539
"282",2020-12-14,329782
"283",2020-12-15,333978
"284",2020-12-16,338124
"285",2020-12-17,342215
"286",2020-12-18,346247
"287",2020-12-19,350216
"288",2020-12-20,354117
"289",2020-12-21,357946
"290",2020-12-22,361699
"291",2020-12-23,365371
"292",2020-12-24,368959
"293",2020-12-25,372458
"294",2020-12-26,375864
"295",2020-12-27,379172
"296",2020-12-28,382380
"297",2020-12-29,385483
"298",2020-12-30,388477
"299",2020-12-31,391360
"300",2021-01-01,394126
"301",2021-01-02,396773
"302",2021-01-03,399298
"303",2021-01-04,401697
"304",2021-01-05,403967
"305",2021-01-06,406107
"306",2021-01-07,408112
"307",2021-01-08,409981
"308",2021-01-09,411712
"309",2021-01-10,413302
"310",2021-01-11,414750
"311",2021-01-12,416053
"312",2021-01-13,417211
"313",2021-01-14,418222
"314",2021-01-15,419086
"315",2021-01-16,419801
"316",2021-01-17,420366
"317",2021-01-18,420782
"318",2021-01-19,421049
"319",2021-01-20,421166
"320",2021-01-21,421134
"321",2021-01-22,420953
"322",2021-01-23,420624
"323",2021-01-24,420148
"324",2021-01-25,419526
"325",2021-01-26,418759
"326",2021-01-27,417849
"327",2021-01-28,416798
"328",2021-01-29,415608
"329",2021-01-30,414280
"330",2021-01-31,412817
"331",2021-02-01,411222
"332",2021-02-02,409497
"333",2021-02-03,407644
"334",2021-02-04,405666
"335",2021-02-05,403568
"336",2021-02-06,401351
"337",2021-02-07,399019
"338",2021-02-08,396575
"339",2021-02-09,394023
"340",2021-02-10,391366
"341",2021-02-11,388607
"342",2021-02-12,385752
"343",2021-02-13,382802
"344",2021-02-14,379763
"345",2021-02-15,376637
"346",2021-02-16,373429
"347",2021-02-17,370142
"348",2021-02-18,366781
"349",2021-02-19,363349
"350",2021-02-20,359850
"351",2021-02-21,356288
"352",2021-02-22,352666
"353",2021-02-23,348990
"354",2021-02-24,345262
"355",2021-02-25,341486
"356",2021-02-26,337666
"357",2021-02-27,333806
"358",2021-02-28,329908
"359",2021-03-01,325978
"360",2021-03-02,322018
"361",2021-03-03,318032
"362",2021-03-04,314023
"363",2021-03-05,309994
"364",2021-03-06,305949
"365",2021-03-07,301890
"366",2021-03-08,297821
"367",2021-03-09,293745
"368",2021-03-10,289665
"369",2021-03-11,285583
"370",2021-03-12,281502
"371",2021-03-13,277424
"372",2021-03-14,273353
"373",2021-03-15,269291
"374",2021-03-16,265239
"375",2021-03-17,261201
"376",2021-03-18,257178
"377",2021-03-19,253172
"378",2021-03-20,249186
"379",2021-03-21,245220
"380",2021-03-22,241278
"381",2021-03-23,237361
"382",2021-03-24,233470
"383",2021-03-25,229606
"384",2021-03-26,225772
"385",2021-03-27,221969
"386",2021-03-28,218197
"387",2021-03-29,214459
"388",2021-03-30,210755
"389",2021-03-31,207086
"390",2021-04-01,203454
"391",2021-04-02,199858
"392",2021-04-03,196301
"393",2021-04-04,192782
"394",2021-04-05,189303
"395",2021-04-06,185864
"396",2021-04-07,182465
"397",2021-04-08,179108
"398",2021-04-09,175792
