"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,4
"19",2020-03-26,4
"20",2020-03-27,4
"21",2020-03-28,5
"22",2020-03-29,6
"23",2020-03-30,7
"24",2020-03-31,8
"25",2020-04-01,10
"26",2020-04-02,12
"27",2020-04-03,14
"28",2020-04-04,18
"29",2020-04-05,22
"30",2020-04-06,29
"31",2020-04-07,36
"32",2020-04-08,44
"33",2020-04-09,57
"34",2020-04-10,68
"35",2020-04-11,88
"36",2020-04-12,105
"37",2020-04-13,129
"38",2020-04-14,156
"39",2020-04-15,188
"40",2020-04-16,213
"41",2020-04-17,246
"42",2020-04-18,262
"43",2020-04-19,299
"44",2020-04-20,329
"45",2020-04-21,356
"46",2020-04-22,393
"47",2020-04-23,416
"48",2020-04-24,454
"49",2020-04-25,488
"50",2020-04-26,501
"51",2020-04-27,532
"52",2020-04-28,599
"53",2020-04-29,625
"54",2020-04-30,655
"55",2020-05-01,687
"56",2020-05-02,703
"57",2020-05-03,738
"58",2020-05-04,746
"59",2020-05-05,791
"60",2020-05-06,792
"61",2020-05-07,835
"62",2020-05-08,878
"63",2020-05-09,909
"64",2020-05-10,952
"65",2020-05-11,972
"66",2020-05-12,1025
"67",2020-05-13,1086
"68",2020-05-14,1133
"69",2020-05-15,1171
"70",2020-05-16,1208
"71",2020-05-17,1322
"72",2020-05-18,1365
"73",2020-05-19,1491
"74",2020-05-20,1599
"75",2020-05-21,1609
"76",2020-05-22,1699
"77",2020-05-23,1838
"78",2020-05-24,1927
"79",2020-05-25,1376
"80",2020-05-26,1394
"81",2020-05-27,1413
"82",2020-05-28,1433
"83",2020-05-29,1452
"84",2020-05-30,1472
"85",2020-05-31,1492
"86",2020-06-01,1513
"87",2020-06-02,1534
"88",2020-06-03,1555
"89",2020-06-04,1576
"90",2020-06-05,1597
"91",2020-06-06,1619
"92",2020-06-07,1641
"93",2020-06-08,1664
"94",2020-06-09,1686
"95",2020-06-10,1710
"96",2020-06-11,1733
"97",2020-06-12,1757
"98",2020-06-13,1781
"99",2020-06-14,1805
"100",2020-06-15,1830
"101",2020-06-16,1855
"102",2020-06-17,1880
"103",2020-06-18,1906
"104",2020-06-19,1932
"105",2020-06-20,1958
"106",2020-06-21,1985
"107",2020-06-22,2012
"108",2020-06-23,2039
"109",2020-06-24,2067
"110",2020-06-25,2095
"111",2020-06-26,2124
"112",2020-06-27,2153
"113",2020-06-28,2182
"114",2020-06-29,2212
"115",2020-06-30,2242
"116",2020-07-01,2273
"117",2020-07-02,2304
"118",2020-07-03,2335
"119",2020-07-04,2367
"120",2020-07-05,2399
"121",2020-07-06,2432
"122",2020-07-07,2465
"123",2020-07-08,2499
"124",2020-07-09,2533
"125",2020-07-10,2567
"126",2020-07-11,2602
"127",2020-07-12,2638
"128",2020-07-13,2674
"129",2020-07-14,2710
"130",2020-07-15,2747
"131",2020-07-16,2784
"132",2020-07-17,2822
"133",2020-07-18,2861
"134",2020-07-19,2900
"135",2020-07-20,2939
"136",2020-07-21,2979
"137",2020-07-22,3020
"138",2020-07-23,3061
"139",2020-07-24,3102
"140",2020-07-25,3144
"141",2020-07-26,3187
"142",2020-07-27,3230
"143",2020-07-28,3274
"144",2020-07-29,3319
"145",2020-07-30,3364
"146",2020-07-31,3410
"147",2020-08-01,3456
"148",2020-08-02,3503
"149",2020-08-03,3550
"150",2020-08-04,3599
"151",2020-08-05,3647
"152",2020-08-06,3697
"153",2020-08-07,3747
"154",2020-08-08,3798
"155",2020-08-09,3849
"156",2020-08-10,3902
"157",2020-08-11,3955
"158",2020-08-12,4008
"159",2020-08-13,4063
"160",2020-08-14,4118
"161",2020-08-15,4173
"162",2020-08-16,4230
"163",2020-08-17,4287
"164",2020-08-18,4345
"165",2020-08-19,4404
"166",2020-08-20,4464
"167",2020-08-21,4524
"168",2020-08-22,4585
"169",2020-08-23,14081
"170",2020-08-24,16642
"171",2020-08-25,19669
"172",2020-08-26,23245
"173",2020-08-27,27470
"174",2020-08-28,32460
"175",2020-08-29,38353
"176",2020-08-30,45312
"177",2020-08-31,53526
"178",2020-09-01,63222
"179",2020-09-02,74661
"180",2020-09-03,88152
"181",2020-09-04,104058
"182",2020-09-05,122800
"183",2020-09-06,144872
"184",2020-09-07,170846
"185",2020-09-08,201387
"186",2020-09-09,237263
"187",2020-09-10,279358
"188",2020-09-11,328681
"189",2020-09-12,386381
"190",2020-09-13,453754
"191",2020-09-14,532244
"192",2020-09-15,623447
"193",2020-09-16,729092
"194",2020-09-17,851021
"195",2020-09-18,991143
"196",2020-09-19,1151361
"197",2020-09-20,1333479
"198",2020-09-21,1539058
"199",2020-09-22,588333
"200",2020-09-23,590022
"201",2020-09-24,591499
"202",2020-09-25,592764
"203",2020-09-26,593815
"204",2020-09-27,594651
"205",2020-09-28,595273
"206",2020-09-29,595679
"207",2020-09-30,595871
"208",2020-10-01,595848
"209",2020-10-02,595612
"210",2020-10-03,595163
"211",2020-10-04,594503
"212",2020-10-05,593635
"213",2020-10-06,592559
"214",2020-10-07,591279
"215",2020-10-08,589797
"216",2020-10-09,588115
"217",2020-10-10,586237
"218",2020-10-11,584167
"219",2020-10-12,581908
"220",2020-10-13,579464
"221",2020-10-14,576839
"222",2020-10-15,574037
"223",2020-10-16,571062
"224",2020-10-17,567920
"225",2020-10-18,564615
"226",2020-10-19,561151
"227",2020-10-20,557535
"228",2020-10-21,553771
"229",2020-10-22,549864
"230",2020-10-23,545820
"231",2020-10-24,541644
"232",2020-10-25,537342
"233",2020-10-26,532919
"234",2020-10-27,528381
"235",2020-10-28,523733
"236",2020-10-29,518981
"237",2020-10-30,514131
"238",2020-10-31,509188
"239",2020-11-01,504157
"240",2020-11-02,499045
"241",2020-11-03,493856
"242",2020-11-04,488596
"243",2020-11-05,483271
"244",2020-11-06,477886
"245",2020-11-07,472445
"246",2020-11-08,466955
"247",2020-11-09,461420
"248",2020-11-10,455845
"249",2020-11-11,450235
"250",2020-11-12,444595
"251",2020-11-13,438928
"252",2020-11-14,433241
"253",2020-11-15,427537
"254",2020-11-16,421820
"255",2020-11-17,416095
"256",2020-11-18,410366
"257",2020-11-19,404636
"258",2020-11-20,398909
"259",2020-11-21,393188
"260",2020-11-22,387479
"261",2020-11-23,381782
"262",2020-11-24,376103
"263",2020-11-25,370443
"264",2020-11-26,364806
"265",2020-11-27,359195
"266",2020-11-28,353612
"267",2020-11-29,348060
"268",2020-11-30,342541
"269",2020-12-01,337058
"270",2020-12-02,331612
"271",2020-12-03,326207
"272",2020-12-04,320843
"273",2020-12-05,315522
"274",2020-12-06,310247
"275",2020-12-07,305019
"276",2020-12-08,299840
"277",2020-12-09,294710
"278",2020-12-10,289631
"279",2020-12-11,284604
"280",2020-12-12,279631
"281",2020-12-13,274712
"282",2020-12-14,269848
"283",2020-12-15,265040
"284",2020-12-16,260289
"285",2020-12-17,255596
"286",2020-12-18,250961
"287",2020-12-19,246384
"288",2020-12-20,241866
"289",2020-12-21,703483
"290",2020-12-22,759717
"291",2020-12-23,818930
"292",2020-12-24,881003
"293",2020-12-25,945758
"294",2020-12-26,1012951
"295",2020-12-27,1082268
"296",2020-12-28,1153319
"297",2020-12-29,1225636
"298",2020-12-30,1298672
"299",2020-12-31,1371805
"300",2021-01-01,1444342
"301",2021-01-02,1515529
"302",2021-01-03,1584561
"303",2021-01-04,1650603
"304",2021-01-05,1712803
"305",2021-01-06,1770322
"306",2021-01-07,1822349
"307",2021-01-08,1868133
"308",2021-01-09,1907004
"309",2021-01-10,1938397
"310",2021-01-11,1961871
"311",2021-01-12,1977122
"312",2021-01-13,1983998
"313",2021-01-14,1982497
"314",2021-01-15,1972771
"315",2021-01-16,1955114
"316",2021-01-17,1929949
"317",2021-01-18,1897812
"318",2021-01-19,1859331
"319",2021-01-20,628342
"320",2021-01-21,594676
"321",2021-01-22,562909
"322",2021-01-23,532929
"323",2021-01-24,504631
"324",2021-01-25,477917
"325",2021-01-26,452692
"326",2021-01-27,428869
"327",2021-01-28,406366
"328",2021-01-29,385104
"329",2021-01-30,365013
"330",2021-01-31,346022
"331",2021-02-01,328069
"332",2021-02-02,311092
"333",2021-02-03,295036
"334",2021-02-04,279846
"335",2021-02-05,265475
"336",2021-02-06,251873
"337",2021-02-07,238999
"338",2021-02-08,226810
"339",2021-02-09,215268
"340",2021-02-10,204336
"341",2021-02-11,193981
"342",2021-02-12,184170
"343",2021-02-13,174872
"344",2021-02-14,166060
"345",2021-02-15,157707
"346",2021-02-16,149788
"347",2021-02-17,142278
"348",2021-02-18,135156
"349",2021-02-19,128401
"350",2021-02-20,121993
"351",2021-02-21,115913
"352",2021-02-22,110144
"353",2021-02-23,104669
"354",2021-02-24,99472
"355",2021-02-25,94540
"356",2021-02-26,89857
"357",2021-02-27,85411
"358",2021-02-28,81189
"359",2021-03-01,77180
"360",2021-03-02,73373
"361",2021-03-03,69756
"362",2021-03-04,66321
"363",2021-03-05,63058
"364",2021-03-06,59958
"365",2021-03-07,57012
"366",2021-03-08,54213
"367",2021-03-09,51554
"368",2021-03-10,49026
"369",2021-03-11,46624
"370",2021-03-12,44341
"371",2021-03-13,42171
"372",2021-03-14,40109
"373",2021-03-15,38148
"374",2021-03-16,36284
"375",2021-03-17,34512
"376",2021-03-18,32828
"377",2021-03-19,31226
"378",2021-03-20,29703
"379",2021-03-21,28255
"380",2021-03-22,26878
"381",2021-03-23,25568
"382",2021-03-24,24323
"383",2021-03-25,23139
"384",2021-03-26,22013
"385",2021-03-27,20942
"386",2021-03-28,19923
"387",2021-03-29,18954
"388",2021-03-30,18033
"389",2021-03-31,17156
"390",2021-04-01,16323
"391",2021-04-02,15530
"392",2021-04-03,14775
"393",2021-04-04,14058
"394",2021-04-05,13375
"395",2021-04-06,12726
"396",2021-04-07,12108
