"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,4
"19",2020-03-26,4
"20",2020-03-27,4
"21",2020-03-28,5
"22",2020-03-29,6
"23",2020-03-30,7
"24",2020-03-31,8
"25",2020-04-01,10
"26",2020-04-02,12
"27",2020-04-03,14
"28",2020-04-04,18
"29",2020-04-05,22
"30",2020-04-06,29
"31",2020-04-07,36
"32",2020-04-08,44
"33",2020-04-09,57
"34",2020-04-10,68
"35",2020-04-11,88
"36",2020-04-12,105
"37",2020-04-13,129
"38",2020-04-14,156
"39",2020-04-15,188
"40",2020-04-16,213
"41",2020-04-17,246
"42",2020-04-18,262
"43",2020-04-19,299
"44",2020-04-20,329
"45",2020-04-21,356
"46",2020-04-22,393
"47",2020-04-23,416
"48",2020-04-24,454
"49",2020-04-25,488
"50",2020-04-26,501
"51",2020-04-27,532
"52",2020-04-28,599
"53",2020-04-29,625
"54",2020-04-30,655
"55",2020-05-01,687
"56",2020-05-02,703
"57",2020-05-03,738
"58",2020-05-04,746
"59",2020-05-05,791
"60",2020-05-06,792
"61",2020-05-07,835
"62",2020-05-08,878
"63",2020-05-09,909
"64",2020-05-10,952
"65",2020-05-11,972
"66",2020-05-12,1025
"67",2020-05-13,1086
"68",2020-05-14,1133
"69",2020-05-15,1171
"70",2020-05-16,1208
"71",2020-05-17,1322
"72",2020-05-18,1365
"73",2020-05-19,1491
"74",2020-05-20,1599
"75",2020-05-21,1609
"76",2020-05-22,1699
"77",2020-05-23,1838
"78",2020-05-24,1927
"79",2020-05-25,1992
"80",2020-05-26,2094
"81",2020-05-27,2200
"82",2020-05-28,2312
"83",2020-05-29,2430
"84",2020-05-30,2553
"85",2020-05-31,2683
"86",2020-06-01,2820
"87",2020-06-02,2964
"88",2020-06-03,3114
"89",2020-06-04,3273
"90",2020-06-05,3439
"91",2020-06-06,3614
"92",2020-06-07,3798
"93",2020-06-08,3992
"94",2020-06-09,4195
"95",2020-06-10,4408
"96",2020-06-11,4632
"97",2020-06-12,4868
"98",2020-06-13,5115
"99",2020-06-14,5375
"100",2020-06-15,5648
"101",2020-06-16,5935
"102",2020-06-17,6237
"103",2020-06-18,6554
"104",2020-06-19,6887
"105",2020-06-20,7237
"106",2020-06-21,7604
"107",2020-06-22,7990
"108",2020-06-23,8396
"109",2020-06-24,8822
"110",2020-06-25,9270
"111",2020-06-26,9740
"112",2020-06-27,10234
"113",2020-06-28,10754
"114",2020-06-29,11299
"115",2020-06-30,11871
"116",2020-07-01,12473
"117",2020-07-02,13105
"118",2020-07-03,13769
"119",2020-07-04,14466
"120",2020-07-05,15198
"121",2020-07-06,15967
"122",2020-07-07,16774
"123",2020-07-08,17622
"124",2020-07-09,18513
"125",2020-07-10,19448
"126",2020-07-11,20429
"127",2020-07-12,21460
"128",2020-07-13,22543
"129",2020-07-14,23679
"130",2020-07-15,24872
"131",2020-07-16,26125
"132",2020-07-17,27439
"133",2020-07-18,28819
"134",2020-07-19,30268
"135",2020-07-20,31788
"136",2020-07-21,33383
"137",2020-07-22,35057
"138",2020-07-23,36814
"139",2020-07-24,38656
"140",2020-07-25,40590
"141",2020-07-26,42618
"142",2020-07-27,44745
"143",2020-07-28,46976
"144",2020-07-29,49316
"145",2020-07-30,51770
"146",2020-07-31,54342
"147",2020-08-01,57039
"148",2020-08-02,59865
"149",2020-08-03,62828
"150",2020-08-04,65932
"151",2020-08-05,69185
"152",2020-08-06,72593
"153",2020-08-07,76162
"154",2020-08-08,79900
"155",2020-08-09,83814
"156",2020-08-10,87911
"157",2020-08-11,92200
"158",2020-08-12,96688
"159",2020-08-13,101383
"160",2020-08-14,106294
"161",2020-08-15,111430
"162",2020-08-16,116799
"163",2020-08-17,122411
"164",2020-08-18,128276
"165",2020-08-19,134402
"166",2020-08-20,140799
"167",2020-08-21,147478
"168",2020-08-22,154447
"169",2020-08-23,337911
"170",2020-08-24,396409
"171",2020-08-25,464553
"172",2020-08-26,543755
"173",2020-08-27,635558
"174",2020-08-28,741634
"175",2020-08-29,863744
"176",2020-08-30,1003703
"177",2020-08-31,1163300
"178",2020-09-01,1344205
"179",2020-09-02,1547829
"180",2020-09-03,1775152
"181",2020-09-04,2026513
"182",2020-09-05,2301355
"183",2020-09-06,2597961
"184",2020-09-07,2913184
"185",2020-09-08,3242220
"186",2020-09-09,3578469
"187",2020-09-10,3913531
"188",2020-09-11,4237410
"189",2020-09-12,4538943
"190",2020-09-13,4806482
"191",2020-09-14,5028768
"192",2020-09-15,5195921
"193",2020-09-16,5300404
"194",2020-09-17,5337803
"195",2020-09-18,5307285
"196",2020-09-19,5211653
"197",2020-09-20,5056983
"198",2020-09-21,4851918
"199",2020-09-22,2297589
"200",2020-09-23,2156515
"201",2020-09-24,2022430
"202",2020-09-25,1895404
"203",2020-09-26,1775402
"204",2020-09-27,1662310
"205",2020-09-28,1555953
"206",2020-09-29,1456104
"207",2020-09-30,1362506
"208",2020-10-01,1274876
"209",2020-10-02,1192916
"210",2020-10-03,1116324
"211",2020-10-04,1044793
"212",2020-10-05,978024
"213",2020-10-06,915721
"214",2020-10-07,857599
"215",2020-10-08,803387
"216",2020-10-09,752822
"217",2020-10-10,705658
"218",2020-10-11,661663
"219",2020-10-12,620615
"220",2020-10-13,582311
"221",2020-10-14,546556
"222",2020-10-15,513173
"223",2020-10-16,481992
"224",2020-10-17,452860
"225",2020-10-18,425632
"226",2020-10-19,400172
"227",2020-10-20,376358
"228",2020-10-21,354073
"229",2020-10-22,333212
"230",2020-10-23,313674
"231",2020-10-24,295369
"232",2020-10-25,278212
"233",2020-10-26,262124
"234",2020-10-27,247033
"235",2020-10-28,232871
"236",2020-10-29,219575
"237",2020-10-30,207089
"238",2020-10-31,195358
"239",2020-11-01,184332
"240",2020-11-02,173967
"241",2020-11-03,164217
"242",2020-11-04,155045
"243",2020-11-05,146413
"244",2020-11-06,138287
"245",2020-11-07,130634
"246",2020-11-08,123425
"247",2020-11-09,116633
"248",2020-11-10,110231
"249",2020-11-11,104195
"250",2020-11-12,98504
"251",2020-11-13,93136
"252",2020-11-14,88071
"253",2020-11-15,83292
"254",2020-11-16,78781
"255",2020-11-17,74523
"256",2020-11-18,70502
"257",2020-11-19,66705
"258",2020-11-20,63118
"259",2020-11-21,59730
"260",2020-11-22,56528
"261",2020-11-23,53502
"262",2020-11-24,50642
"263",2020-11-25,47939
"264",2020-11-26,45383
"265",2020-11-27,42966
"266",2020-11-28,40680
"267",2020-11-29,38518
"268",2020-11-30,36474
"269",2020-12-01,34539
"270",2020-12-02,32709
"271",2020-12-03,30978
"272",2020-12-04,29339
"273",2020-12-05,27789
"274",2020-12-06,26321
"275",2020-12-07,24932
"276",2020-12-08,23617
"277",2020-12-09,22372
"278",2020-12-10,21194
"279",2020-12-11,20078
"280",2020-12-12,19022
"281",2020-12-13,18022
"282",2020-12-14,17074
"283",2020-12-15,16177
"284",2020-12-16,15328
"285",2020-12-17,14523
"286",2020-12-18,13761
"287",2020-12-19,13040
"288",2020-12-20,12356
"289",2020-12-21,23574
"290",2020-12-22,22743
"291",2020-12-23,21941
"292",2020-12-24,21168
"293",2020-12-25,20422
"294",2020-12-26,19702
"295",2020-12-27,19008
"296",2020-12-28,18338
"297",2020-12-29,17691
"298",2020-12-30,17068
"299",2020-12-31,16466
"300",2021-01-01,15885
"301",2021-01-02,15325
"302",2021-01-03,14785
"303",2021-01-04,14264
"304",2021-01-05,13761
"305",2021-01-06,13275
"306",2021-01-07,12807
"307",2021-01-08,12356
"308",2021-01-09,11920
"309",2021-01-10,11500
"310",2021-01-11,11094
"311",2021-01-12,10703
"312",2021-01-13,10326
"313",2021-01-14,9961
"314",2021-01-15,9610
"315",2021-01-16,9271
"316",2021-01-17,8944
"317",2021-01-18,8629
"318",2021-01-19,8325
"319",2021-01-20,3989
"320",2021-01-21,3780
"321",2021-01-22,3582
"322",2021-01-23,3394
"323",2021-01-24,3216
"324",2021-01-25,3048
"325",2021-01-26,2888
"326",2021-01-27,2737
"327",2021-01-28,2593
"328",2021-01-29,2457
"329",2021-01-30,2329
"330",2021-01-31,2207
"331",2021-02-01,2091
"332",2021-02-02,1982
"333",2021-02-03,1878
"334",2021-02-04,1780
"335",2021-02-05,1686
"336",2021-02-06,1598
"337",2021-02-07,1515
"338",2021-02-08,1435
"339",2021-02-09,1360
"340",2021-02-10,1289
"341",2021-02-11,1221
"342",2021-02-12,1158
"343",2021-02-13,1097
"344",2021-02-14,1040
"345",2021-02-15,985
"346",2021-02-16,934
"347",2021-02-17,885
"348",2021-02-18,838
"349",2021-02-19,795
"350",2021-02-20,753
"351",2021-02-21,714
"352",2021-02-22,676
"353",2021-02-23,641
"354",2021-02-24,607
"355",2021-02-25,576
"356",2021-02-26,545
"357",2021-02-27,517
"358",2021-02-28,490
"359",2021-03-01,464
"360",2021-03-02,440
"361",2021-03-03,417
"362",2021-03-04,395
"363",2021-03-05,374
"364",2021-03-06,355
"365",2021-03-07,336
"366",2021-03-08,319
"367",2021-03-09,302
"368",2021-03-10,286
"369",2021-03-11,271
"370",2021-03-12,257
"371",2021-03-13,244
"372",2021-03-14,231
"373",2021-03-15,219
"374",2021-03-16,207
"375",2021-03-17,197
"376",2021-03-18,186
"377",2021-03-19,176
"378",2021-03-20,167
"379",2021-03-21,159
"380",2021-03-22,150
"381",2021-03-23,142
"382",2021-03-24,135
"383",2021-03-25,128
"384",2021-03-26,121
"385",2021-03-27,115
"386",2021-03-28,109
"387",2021-03-29,103
"388",2021-03-30,98
"389",2021-03-31,93
"390",2021-04-01,88
"391",2021-04-02,83
"392",2021-04-03,79
"393",2021-04-04,75
"394",2021-04-05,71
"395",2021-04-06,67
"396",2021-04-07,64
"397",2021-04-08,60
"398",2021-04-09,57
"399",2021-04-10,54
"400",2021-04-11,51
