"","date","cases","reports"
"1",2020-03-08,3,3
"2",2020-03-09,1,0
"3",2020-03-10,1,0
"4",2020-03-11,1,0
"5",2020-03-12,1,0
"6",2020-03-13,1,1
"7",2020-03-14,1,1
"8",2020-03-15,2,1
"9",2020-03-16,2,1
"10",2020-03-17,2,1
"11",2020-03-18,2,1
"12",2020-03-19,3,2
"13",2020-03-20,3,2
"14",2020-03-21,3,2
"15",2020-03-22,4,3
"16",2020-03-23,4,3
"17",2020-03-24,5,3
"18",2020-03-25,5,4
"19",2020-03-26,6,4
"20",2020-03-27,7,5
"21",2020-03-28,9,5
"22",2020-03-29,10,6
"23",2020-03-30,11,7
"24",2020-03-31,14,8
"25",2020-04-01,17,10
"26",2020-04-02,22,12
"27",2020-04-03,27,15
"28",2020-04-04,35,18
"29",2020-04-05,42,22
"30",2020-04-06,55,27
"31",2020-04-07,70,35
"32",2020-04-08,88,44
"33",2020-04-09,112,56
"34",2020-04-10,138,71
"35",2020-04-11,168,89
"36",2020-04-12,200,111
"37",2020-04-13,233,137
"38",2020-04-14,269,164
"39",2020-04-15,295,188
"40",2020-04-16,331,215
"41",2020-04-17,358,243
"42",2020-04-18,395,279
"43",2020-04-19,439,304
"44",2020-04-20,466,339
"45",2020-04-21,489,368
"46",2020-04-22,502,387
"47",2020-04-23,532,408
"48",2020-04-24,546,436
"49",2020-04-25,592,465
"50",2020-04-26,621,493
"51",2020-04-27,643,527
"52",2020-04-28,681,565
"53",2020-04-29,713,591
"54",2020-04-30,755,615
"55",2020-05-01,786,664
"56",2020-05-02,856,706
"57",2020-05-03,872,755
"58",2020-05-04,901,786
"59",2020-05-05,950,822
"60",2020-05-06,985,853
"61",2020-05-07,1030,882
"62",2020-05-08,1055,906
"63",2020-05-09,1136,940
"64",2020-05-10,1161,998
"65",2020-05-11,1206,1036
"66",2020-05-12,1278,1066
"67",2020-05-13,1307,1136
"68",2020-05-14,1419,1180
"69",2020-05-15,1472,1254
"70",2020-05-16,1521,1282
"71",2020-05-17,1540,1329
"72",2020-05-18,1647,1421
"73",2020-05-19,1698,1471
"74",2020-05-20,1769,1516
"75",2020-05-21,1907,1601
"76",2020-05-22,2053,1673
"77",2020-05-23,2138,1756
"78",2020-05-24,2103,1812
"79",2020-05-25,2157,1788
"80",2020-05-26,2216,1877
"81",2020-05-27,2276,1959
"82",2020-05-28,2338,2036
"83",2020-05-29,2401,2109
"84",2020-05-30,2467,2180
"85",2020-05-31,2534,2249
"86",2020-06-01,2602,2318
"87",2020-06-02,2673,2387
"88",2020-06-03,2746,2456
"89",2020-06-04,2820,2526
"90",2020-06-05,2897,2597
"91",2020-06-06,2976,2670
"92",2020-06-07,3056,2744
"93",2020-06-08,3139,2819
"94",2020-06-09,3225,2897
"95",2020-06-10,3312,2976
"96",2020-06-11,3402,3057
"97",2020-06-12,3494,3141
"98",2020-06-13,3589,3226
"99",2020-06-14,3687,3314
"100",2020-06-15,3787,3404
"101",2020-06-16,3889,3497
"102",2020-06-17,3995,3592
"103",2020-06-18,4103,3689
"104",2020-06-19,4215,3789
"105",2020-06-20,4329,3892
"106",2020-06-21,4446,3998
"107",2020-06-22,4567,4106
"108",2020-06-23,4690,4218
"109",2020-06-24,4817,4332
"110",2020-06-25,4948,4449
"111",2020-06-26,5082,4570
"112",2020-06-27,5220,4694
"113",2020-06-28,5361,4821
"114",2020-06-29,5506,4952
"115",2020-06-30,5655,5086
"116",2020-07-01,5808,5223
"117",2020-07-02,5965,5365
"118",2020-07-03,6127,5510
"119",2020-07-04,6292,5659
"120",2020-07-05,6462,5812
"121",2020-07-06,6637,5970
"122",2020-07-07,6816,6131
"123",2020-07-08,7001,6297
"124",2020-07-09,7190,6467
"125",2020-07-10,7384,6642
"126",2020-07-11,7583,6821
"127",2020-07-12,7788,7006
"128",2020-07-13,7998,7195
"129",2020-07-14,8214,7389
"130",2020-07-15,8435,7589
"131",2020-07-16,8663,7794
"132",2020-07-17,8896,8004
"133",2020-07-18,9136,8220
"134",2020-07-19,9382,8441
"135",2020-07-20,9635,8669
"136",2020-07-21,9894,8903
"137",2020-07-22,10160,9142
"138",2020-07-23,10434,9389
"139",2020-07-24,10714,9641
"140",2020-07-25,11002,9901
"141",2020-07-26,11298,10167
"142",2020-07-27,11601,10441
"143",2020-07-28,11913,10722
"144",2020-07-29,12232,11010
"145",2020-07-30,12561,11305
"146",2020-07-31,12897,11609
"147",2020-08-01,13243,11921
"148",2020-08-02,13598,12241
"149",2020-08-03,13962,12569
"150",2020-08-04,14335,12906
"151",2020-08-05,14719,13252
"152",2020-08-06,15112,13607
"153",2020-08-07,15516,13971
"154",2020-08-08,15931,14345
"155",2020-08-09,16356,14728
"156",2020-08-10,16792,15122
"157",2020-08-11,17240,15526
"158",2020-08-12,17699,15941
"159",2020-08-13,18171,16366
"160",2020-08-14,18654,16803
"161",2020-08-15,19150,17251
"162",2020-08-16,19659,17710
"163",2020-08-17,20181,18182
"164",2020-08-18,20717,18665
"165",2020-08-19,21266,19162
"166",2020-08-20,21830,19671
"167",2020-08-21,22408,20193
"168",2020-08-22,23001,20729
