"","date","cases","reports"
"1",2020-03-08,3,3
"2",2020-03-09,1,0
"3",2020-03-10,1,0
"4",2020-03-11,1,0
"5",2020-03-12,1,0
"6",2020-03-13,1,1
"7",2020-03-14,1,1
"8",2020-03-15,2,1
"9",2020-03-16,2,1
"10",2020-03-17,2,1
"11",2020-03-18,2,1
"12",2020-03-19,3,2
"13",2020-03-20,3,2
"14",2020-03-21,3,2
"15",2020-03-22,4,3
"16",2020-03-23,4,3
"17",2020-03-24,5,3
"18",2020-03-25,5,4
"19",2020-03-26,6,4
"20",2020-03-27,7,5
"21",2020-03-28,9,5
"22",2020-03-29,10,6
"23",2020-03-30,11,7
"24",2020-03-31,14,8
"25",2020-04-01,17,10
"26",2020-04-02,22,12
"27",2020-04-03,27,15
"28",2020-04-04,35,18
"29",2020-04-05,42,22
"30",2020-04-06,55,27
"31",2020-04-07,70,35
"32",2020-04-08,88,44
"33",2020-04-09,112,56
"34",2020-04-10,138,71
"35",2020-04-11,168,89
"36",2020-04-12,200,111
"37",2020-04-13,233,137
"38",2020-04-14,269,164
"39",2020-04-15,295,188
"40",2020-04-16,331,215
"41",2020-04-17,358,243
"42",2020-04-18,395,279
"43",2020-04-19,439,304
"44",2020-04-20,466,339
"45",2020-04-21,489,368
"46",2020-04-22,502,387
"47",2020-04-23,532,408
"48",2020-04-24,546,436
"49",2020-04-25,592,465
"50",2020-04-26,621,493
"51",2020-04-27,643,527
"52",2020-04-28,681,565
"53",2020-04-29,713,591
"54",2020-04-30,755,615
"55",2020-05-01,786,664
"56",2020-05-02,856,706
"57",2020-05-03,872,755
"58",2020-05-04,901,786
"59",2020-05-05,950,822
"60",2020-05-06,985,853
"61",2020-05-07,1030,882
"62",2020-05-08,1055,906
"63",2020-05-09,1136,940
"64",2020-05-10,1161,998
"65",2020-05-11,1206,1036
"66",2020-05-12,1278,1066
"67",2020-05-13,1307,1136
"68",2020-05-14,1419,1180
"69",2020-05-15,1472,1254
"70",2020-05-16,1521,1282
"71",2020-05-17,1540,1329
"72",2020-05-18,1647,1421
"73",2020-05-19,1698,1471
"74",2020-05-20,1769,1516
"75",2020-05-21,1907,1601
"76",2020-05-22,2053,1673
"77",2020-05-23,2138,1756
"78",2020-05-24,2103,1812
"79",2020-05-25,1515,1788
"80",2020-05-26,1527,1722
"81",2020-05-27,1538,1675
"82",2020-05-28,1550,1642
"83",2020-05-29,1562,1620
"84",2020-05-30,1574,1606
"85",2020-05-31,1586,1598
"86",2020-06-01,1598,1595
"87",2020-06-02,1610,1596
"88",2020-06-03,1622,1599
"89",2020-06-04,1635,1605
"90",2020-06-05,1647,1612
"91",2020-06-06,1660,1621
"92",2020-06-07,1672,1630
"93",2020-06-08,1685,1640
"94",2020-06-09,1698,1651
"95",2020-06-10,1711,1663
"96",2020-06-11,1724,1674
"97",2020-06-12,1737,1686
"98",2020-06-13,1750,1699
"99",2020-06-14,1764,1711
"100",2020-06-15,1777,1724
"101",2020-06-16,1791,1737
"102",2020-06-17,1804,1750
"103",2020-06-18,1818,1763
"104",2020-06-19,1832,1776
"105",2020-06-20,1846,1790
"106",2020-06-21,1860,1803
"107",2020-06-22,1874,1817
"108",2020-06-23,1888,1831
"109",2020-06-24,1903,1845
"110",2020-06-25,1917,1859
"111",2020-06-26,1932,1873
"112",2020-06-27,1946,1887
"113",2020-06-28,1961,1901
"114",2020-06-29,1976,1916
"115",2020-06-30,1991,1930
"116",2020-07-01,2006,1945
"117",2020-07-02,2021,1960
"118",2020-07-03,2037,1975
"119",2020-07-04,2052,1990
"120",2020-07-05,2068,2005
"121",2020-07-06,2084,2020
"122",2020-07-07,2099,2035
"123",2020-07-08,2115,2051
"124",2020-07-09,2131,2066
"125",2020-07-10,2147,2082
"126",2020-07-11,2164,2098
"127",2020-07-12,2180,2114
"128",2020-07-13,2197,2130
"129",2020-07-14,2213,2146
"130",2020-07-15,2230,2162
"131",2020-07-16,2247,2179
"132",2020-07-17,2264,2195
"133",2020-07-18,2281,2212
"134",2020-07-19,2298,2229
"135",2020-07-20,2316,2246
"136",2020-07-21,2333,2263
"137",2020-07-22,2351,2280
"138",2020-07-23,2369,2297
"139",2020-07-24,2387,2314
"140",2020-07-25,2405,2332
"141",2020-07-26,2423,2350
"142",2020-07-27,2441,2367
"143",2020-07-28,2460,2385
"144",2020-07-29,2478,2403
"145",2020-07-30,2497,2421
"146",2020-07-31,2516,2440
"147",2020-08-01,2535,2458
"148",2020-08-02,2554,2477
"149",2020-08-03,2573,2496
"150",2020-08-04,2593,2514
"151",2020-08-05,2612,2533
"152",2020-08-06,2632,2553
"153",2020-08-07,2652,2572
"154",2020-08-08,2672,2591
"155",2020-08-09,2692,2611
"156",2020-08-10,2713,2630
"157",2020-08-11,2733,2650
"158",2020-08-12,2754,2670
"159",2020-08-13,2774,2690
"160",2020-08-14,2795,2711
"161",2020-08-15,2816,2731
"162",2020-08-16,2838,2752
"163",2020-08-17,2859,2773
"164",2020-08-18,2880,2793
"165",2020-08-19,2902,2814
"166",2020-08-20,2924,2836
"167",2020-08-21,2946,2857
"168",2020-08-22,2968,2879
