"","date","cases","reports"
"1",2020-03-08,3,3
"2",2020-03-09,1,0
"3",2020-03-10,1,0
"4",2020-03-11,1,0
"5",2020-03-12,1,0
"6",2020-03-13,1,1
"7",2020-03-14,1,1
"8",2020-03-15,2,1
"9",2020-03-16,2,1
"10",2020-03-17,2,1
"11",2020-03-18,2,1
"12",2020-03-19,3,2
"13",2020-03-20,3,2
"14",2020-03-21,3,2
"15",2020-03-22,4,3
"16",2020-03-23,4,3
"17",2020-03-24,5,3
"18",2020-03-25,5,4
"19",2020-03-26,6,4
"20",2020-03-27,7,5
"21",2020-03-28,9,5
"22",2020-03-29,10,6
"23",2020-03-30,11,7
"24",2020-03-31,14,8
"25",2020-04-01,17,10
"26",2020-04-02,22,12
"27",2020-04-03,27,15
"28",2020-04-04,35,18
"29",2020-04-05,42,22
"30",2020-04-06,55,27
"31",2020-04-07,70,35
"32",2020-04-08,88,44
"33",2020-04-09,112,56
"34",2020-04-10,138,71
"35",2020-04-11,168,89
"36",2020-04-12,200,111
"37",2020-04-13,233,137
"38",2020-04-14,269,164
"39",2020-04-15,295,188
"40",2020-04-16,331,215
"41",2020-04-17,358,243
"42",2020-04-18,395,279
"43",2020-04-19,439,304
"44",2020-04-20,466,339
"45",2020-04-21,489,368
"46",2020-04-22,502,387
"47",2020-04-23,532,408
"48",2020-04-24,546,436
"49",2020-04-25,592,465
"50",2020-04-26,621,493
"51",2020-04-27,643,527
"52",2020-04-28,681,565
"53",2020-04-29,713,591
"54",2020-04-30,755,615
"55",2020-05-01,786,664
"56",2020-05-02,856,706
"57",2020-05-03,872,755
"58",2020-05-04,901,786
"59",2020-05-05,950,822
"60",2020-05-06,985,853
"61",2020-05-07,1030,882
"62",2020-05-08,1055,906
"63",2020-05-09,1136,940
"64",2020-05-10,1161,998
"65",2020-05-11,1206,1036
"66",2020-05-12,1278,1066
"67",2020-05-13,1307,1136
"68",2020-05-14,1419,1180
"69",2020-05-15,1472,1254
"70",2020-05-16,1521,1282
"71",2020-05-17,1540,1329
"72",2020-05-18,1647,1421
"73",2020-05-19,1698,1471
"74",2020-05-20,1769,1516
"75",2020-05-21,1907,1601
"76",2020-05-22,2053,1673
"77",2020-05-23,2138,1756
"78",2020-05-24,2103,1812
"79",2020-05-25,2205,1937
"80",2020-05-26,2286,2031
"81",2020-05-27,2387,2047
"82",2020-05-28,2493,2144
"83",2020-05-29,2581,2224
"84",2020-05-30,2671,2331
"85",2020-05-31,2769,2411
"86",2020-06-01,2890,2516
"87",2020-06-02,3021,2603
"88",2020-06-03,3181,2691
"89",2020-06-04,3350,2806
"90",2020-06-05,3523,2914
"91",2020-06-06,3679,3063
"92",2020-06-07,3842,3224
"93",2020-06-08,4012,3395
"94",2020-06-09,4190,3551
"95",2020-06-10,4378,3708
"96",2020-06-11,4577,3872
"97",2020-06-12,4784,4044
"98",2020-06-13,5001,4223
"99",2020-06-14,5228,4414
"100",2020-06-15,5461,4614
"101",2020-06-16,5684,4824
"102",2020-06-17,5917,5043
"103",2020-06-18,6158,5271
"104",2020-06-19,6410,5495
"105",2020-06-20,6672,5720
"106",2020-06-21,6945,5954
"107",2020-06-22,7229,6197
"108",2020-06-23,7525,6451
"109",2020-06-24,7832,6714
"110",2020-06-25,8152,6989
"111",2020-06-26,8485,7275
"112",2020-06-27,8832,7572
"113",2020-06-28,9193,7881
"114",2020-06-29,9583,8203
"115",2020-06-30,9990,8538
"116",2020-07-01,10414,8887
"117",2020-07-02,10856,9257
"118",2020-07-03,11316,9650
"119",2020-07-04,11796,10059
"120",2020-07-05,12297,10486
"121",2020-07-06,12818,10931
"122",2020-07-07,13362,11395
"123",2020-07-08,13929,11878
"124",2020-07-09,14519,12382
"125",2020-07-10,15134,12907
"126",2020-07-11,15776,13454
"127",2020-07-12,16444,14025
"128",2020-07-13,17141,14619
"129",2020-07-14,17866,15239
"130",2020-07-15,18623,15884
"131",2020-07-16,19411,16557
"132",2020-07-17,20232,17258
"133",2020-07-18,21087,17989
"134",2020-07-19,21979,18750
"135",2020-07-20,22907,19543
"136",2020-07-21,23875,20370
"137",2020-07-22,24883,21231
"138",2020-07-23,25933,22128
"139",2020-07-24,27027,23063
"140",2020-07-25,28166,24037
"141",2020-07-26,29352,25051
"142",2020-07-27,30588,26108
"143",2020-07-28,31875,27208
"144",2020-07-29,33216,28355
"145",2020-07-30,34612,29549
"146",2020-07-31,36065,30793
"147",2020-08-01,37578,32088
"148",2020-08-02,39154,33436
"149",2020-08-03,40794,34841
"150",2020-08-04,42501,36303
"151",2020-08-05,44179,37825
"152",2020-08-06,45922,39410
"153",2020-08-07,47731,41060
"154",2020-08-08,49609,42736
"155",2020-08-09,51559,44422
"156",2020-08-10,53582,46173
"157",2020-08-11,55682,47991
"158",2020-08-12,57861,49878
"159",2020-08-13,60122,51836
"160",2020-08-14,62467,53869
"161",2020-08-15,64899,55978
"162",2020-08-16,66714,58166
"163",2020-08-17,66325,60437
"164",2020-08-18,68931,62792
"165",2020-08-19,71635,65234
"166",2020-08-20,74439,67767
"167",2020-08-21,77348,69098
"168",2020-08-22,80364,69295
