"","date","cases","reports"
"1",2020-03-08,3,3
"2",2020-03-09,1,0
"3",2020-03-10,1,0
"4",2020-03-11,1,0
"5",2020-03-12,1,0
"6",2020-03-13,1,1
"7",2020-03-14,1,1
"8",2020-03-15,2,1
"9",2020-03-16,2,1
"10",2020-03-17,2,1
"11",2020-03-18,2,1
"12",2020-03-19,3,2
"13",2020-03-20,3,2
"14",2020-03-21,3,2
"15",2020-03-22,4,3
"16",2020-03-23,4,3
"17",2020-03-24,5,3
"18",2020-03-25,5,4
"19",2020-03-26,6,4
"20",2020-03-27,7,5
"21",2020-03-28,9,5
"22",2020-03-29,10,6
"23",2020-03-30,11,7
"24",2020-03-31,14,8
"25",2020-04-01,17,10
"26",2020-04-02,22,12
"27",2020-04-03,27,15
"28",2020-04-04,35,18
"29",2020-04-05,42,22
"30",2020-04-06,55,27
"31",2020-04-07,70,35
"32",2020-04-08,88,44
"33",2020-04-09,112,56
"34",2020-04-10,138,71
"35",2020-04-11,168,89
"36",2020-04-12,200,111
"37",2020-04-13,233,137
"38",2020-04-14,269,164
"39",2020-04-15,295,188
"40",2020-04-16,331,215
"41",2020-04-17,358,243
"42",2020-04-18,395,279
"43",2020-04-19,439,304
"44",2020-04-20,466,339
"45",2020-04-21,489,368
"46",2020-04-22,502,387
"47",2020-04-23,532,408
"48",2020-04-24,546,436
"49",2020-04-25,592,465
"50",2020-04-26,621,493
"51",2020-04-27,643,527
"52",2020-04-28,681,565
"53",2020-04-29,713,591
"54",2020-04-30,755,615
"55",2020-05-01,786,664
"56",2020-05-02,856,706
"57",2020-05-03,872,755
"58",2020-05-04,901,786
"59",2020-05-05,950,822
"60",2020-05-06,985,853
"61",2020-05-07,1030,882
"62",2020-05-08,1055,906
"63",2020-05-09,1136,940
"64",2020-05-10,1161,998
"65",2020-05-11,1206,1036
"66",2020-05-12,1278,1066
"67",2020-05-13,1307,1136
"68",2020-05-14,1419,1180
"69",2020-05-15,1472,1254
"70",2020-05-16,1521,1282
"71",2020-05-17,1540,1329
"72",2020-05-18,1647,1421
"73",2020-05-19,1698,1471
"74",2020-05-20,1769,1516
"75",2020-05-21,1907,1601
"76",2020-05-22,2053,1673
"77",2020-05-23,2138,1756
"78",2020-05-24,2103,1812
"79",2020-05-25,2165,1788
"80",2020-05-26,2254,1879
"81",2020-05-27,2348,1970
"82",2020-05-28,2445,2061
"83",2020-05-29,2546,2154
"84",2020-05-30,2652,2249
"85",2020-05-31,2761,2346
"86",2020-06-01,2876,2447
"87",2020-06-02,2995,2550
"88",2020-06-03,3119,2658
"89",2020-06-04,3248,2769
"90",2020-06-05,3382,2885
"91",2020-06-06,3522,3005
"92",2020-06-07,3668,3131
"93",2020-06-08,3820,3261
"94",2020-06-09,3978,3396
"95",2020-06-10,4143,3537
"96",2020-06-11,4314,3683
"97",2020-06-12,4493,3836
"98",2020-06-13,4679,3995
"99",2020-06-14,4872,4160
"100",2020-06-15,5074,4332
"101",2020-06-16,5283,4512
"102",2020-06-17,5502,4698
"103",2020-06-18,5729,4893
"104",2020-06-19,5966,5095
"105",2020-06-20,6213,5306
"106",2020-06-21,6470,5525
"107",2020-06-22,6737,5754
"108",2020-06-23,7015,5992
"109",2020-06-24,7305,6239
"110",2020-06-25,7607,6497
"111",2020-06-26,7921,6765
"112",2020-06-27,8248,7045
"113",2020-06-28,8588,7336
"114",2020-06-29,8942,7639
"115",2020-06-30,9311,7954
"116",2020-07-01,9695,8283
"117",2020-07-02,10095,8624
"118",2020-07-03,10511,8980
"119",2020-07-04,10945,9351
"120",2020-07-05,11396,9736
"121",2020-07-06,11865,10138
"122",2020-07-07,12354,10556
"123",2020-07-08,12862,10990
"124",2020-07-09,13391,11443
"125",2020-07-10,13942,11915
"126",2020-07-11,14516,12405
"127",2020-07-12,15113,12916
"128",2020-07-13,15734,13447
"129",2020-07-14,16380,14000
"130",2020-07-15,17052,14576
"131",2020-07-16,17752,15175
"132",2020-07-17,18481,15799
"133",2020-07-18,19239,16447
"134",2020-07-19,20027,17123
"135",2020-07-20,20848,17825
"136",2020-07-21,21701,18556
"137",2020-07-22,22589,19317
"138",2020-07-23,23513,20109
"139",2020-07-24,24475,20932
"140",2020-07-25,25474,21789
"141",2020-07-26,26514,22681
"142",2020-07-27,27596,23608
"143",2020-07-28,28721,24573
"144",2020-07-29,29892,25577
"145",2020-07-30,31108,26620
"146",2020-07-31,32374,27706
"147",2020-08-01,33690,28835
"148",2020-08-02,35058,30010
"149",2020-08-03,36481,31231
"150",2020-08-04,37960,32501
"151",2020-08-05,39497,33822
"152",2020-08-06,41095,35195
"153",2020-08-07,42756,36622
"154",2020-08-08,44482,38106
"155",2020-08-09,46276,39649
"156",2020-08-10,48141,41252
"157",2020-08-11,50077,42918
"158",2020-08-12,52090,44650
"159",2020-08-13,54180,46450
"160",2020-08-14,56351,48320
"161",2020-08-15,58606,50263
"162",2020-08-16,60948,52281
"163",2020-08-17,63380,54378
"164",2020-08-18,65904,56556
"165",2020-08-19,68525,58817
"166",2020-08-20,71245,61166
"167",2020-08-21,74068,63604
"168",2020-08-22,76997,66135
