"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,4
"19",2020-03-26,4
"20",2020-03-27,5
"21",2020-03-28,5
"22",2020-03-29,6
"23",2020-03-30,6
"24",2020-03-31,8
"25",2020-04-01,9
"26",2020-04-02,12
"27",2020-04-03,14
"28",2020-04-04,18
"29",2020-04-05,23
"30",2020-04-06,28
"31",2020-04-07,38
"32",2020-04-08,48
"33",2020-04-09,60
"34",2020-04-10,74
"35",2020-04-11,89
"36",2020-04-12,109
"37",2020-04-13,133
"38",2020-04-14,153
"39",2020-04-15,183
"40",2020-04-16,217
"41",2020-04-17,249
"42",2020-04-18,279
"43",2020-04-19,314
"44",2020-04-20,338
"45",2020-04-21,362
"46",2020-04-22,385
"47",2020-04-23,390
"48",2020-04-24,425
"49",2020-04-25,445
"50",2020-04-26,474
"51",2020-04-27,519
"52",2020-04-28,543
"53",2020-04-29,582
"54",2020-04-30,611
"55",2020-05-01,641
"56",2020-05-02,667
"57",2020-05-03,714
"58",2020-05-04,731
"59",2020-05-05,776
"60",2020-05-06,844
"61",2020-05-07,865
"62",2020-05-08,917
"63",2020-05-09,957
"64",2020-05-10,1005
"65",2020-05-11,1046
"66",2020-05-12,1070
"67",2020-05-13,1146
"68",2020-05-14,1201
"69",2020-05-15,1262
"70",2020-05-16,1301
"71",2020-05-17,1395
"72",2020-05-18,1497
"73",2020-05-19,1503
"74",2020-05-20,1591
"75",2020-05-21,1657
"76",2020-05-22,1817
"77",2020-05-23,1913
"78",2020-05-24,1892
"79",2020-05-25,1848
"80",2020-05-26,1918
"81",2020-05-27,1991
"82",2020-05-28,2067
"83",2020-05-29,2146
"84",2020-05-30,2227
"85",2020-05-31,2312
"86",2020-06-01,2400
"87",2020-06-02,2491
"88",2020-06-03,2586
"89",2020-06-04,2685
"90",2020-06-05,2787
"91",2020-06-06,2893
"92",2020-06-07,3003
"93",2020-06-08,3117
"94",2020-06-09,3236
"95",2020-06-10,3359
"96",2020-06-11,3487
"97",2020-06-12,3619
"98",2020-06-13,3757
"99",2020-06-14,3900
"100",2020-06-15,4048
"101",2020-06-16,4202
"102",2020-06-17,4362
"103",2020-06-18,4527
"104",2020-06-19,4699
"105",2020-06-20,4878
"106",2020-06-21,5063
"107",2020-06-22,5256
"108",2020-06-23,5455
"109",2020-06-24,5662
"110",2020-06-25,5877
"111",2020-06-26,6101
"112",2020-06-27,6332
"113",2020-06-28,6572
"114",2020-06-29,6822
"115",2020-06-30,7081
"116",2020-07-01,7349
"117",2020-07-02,7628
"118",2020-07-03,7917
"119",2020-07-04,8217
"120",2020-07-05,8529
"121",2020-07-06,8852
"122",2020-07-07,9187
"123",2020-07-08,9535
"124",2020-07-09,9896
"125",2020-07-10,10271
"126",2020-07-11,10659
"127",2020-07-12,11063
"128",2020-07-13,11481
"129",2020-07-14,11915
"130",2020-07-15,12366
"131",2020-07-16,12833
"132",2020-07-17,13318
"133",2020-07-18,13821
"134",2020-07-19,14342
"135",2020-07-20,14883
"136",2020-07-21,15445
"137",2020-07-22,16027
"138",2020-07-23,16631
"139",2020-07-24,17257
"140",2020-07-25,17907
"141",2020-07-26,18581
"142",2020-07-27,19280
"143",2020-07-28,20005
"144",2020-07-29,20757
"145",2020-07-30,21536
"146",2020-07-31,22344
"147",2020-08-01,23183
"148",2020-08-02,24052
"149",2020-08-03,24953
"150",2020-08-04,25887
"151",2020-08-05,26855
"152",2020-08-06,27859
"153",2020-08-07,28900
"154",2020-08-08,29979
"155",2020-08-09,31097
"156",2020-08-10,32256
"157",2020-08-11,33457
"158",2020-08-12,34702
"159",2020-08-13,35992
"160",2020-08-14,37328
"161",2020-08-15,38713
"162",2020-08-16,40147
"163",2020-08-17,41633
"164",2020-08-18,43173
"165",2020-08-19,44767
"166",2020-08-20,46418
"167",2020-08-21,48128
"168",2020-08-22,49899
"169",2020-08-23,51732
"170",2020-08-24,53630
"171",2020-08-25,55595
"172",2020-08-26,57629
"173",2020-08-27,59734
"174",2020-08-28,61912
"175",2020-08-29,64166
"176",2020-08-30,66497
"177",2020-08-31,68909
"178",2020-09-01,71404
"179",2020-09-02,73984
"180",2020-09-03,76652
"181",2020-09-04,79410
"182",2020-09-05,82261
"183",2020-09-06,85208
"184",2020-09-07,88253
"185",2020-09-08,91399
"186",2020-09-09,94649
"187",2020-09-10,98006
"188",2020-09-11,101472
"189",2020-09-12,105050
"190",2020-09-13,108744
"191",2020-09-14,112556
"192",2020-09-15,116489
"193",2020-09-16,120546
"194",2020-09-17,124730
"195",2020-09-18,129044
"196",2020-09-19,133490
"197",2020-09-20,138072
"198",2020-09-21,142792
"199",2020-09-22,147654
"200",2020-09-23,152660
"201",2020-09-24,157812
"202",2020-09-25,163114
"203",2020-09-26,168568
"204",2020-09-27,174176
"205",2020-09-28,179940
"206",2020-09-29,185864
"207",2020-09-30,191949
"208",2020-10-01,198197
"209",2020-10-02,204609
"210",2020-10-03,211188
"211",2020-10-04,217935
"212",2020-10-05,224851
"213",2020-10-06,231937
"214",2020-10-07,239194
"215",2020-10-08,246622
"216",2020-10-09,254222
"217",2020-10-10,261993
"218",2020-10-11,269934
"219",2020-10-12,278046
"220",2020-10-13,286326
"221",2020-10-14,294774
"222",2020-10-15,303386
"223",2020-10-16,312162
"224",2020-10-17,321097
"225",2020-10-18,330188
"226",2020-10-19,339432
"227",2020-10-20,348824
"228",2020-10-21,358359
"229",2020-10-22,368032
"230",2020-10-23,377836
"231",2020-10-24,387765
"232",2020-10-25,397812
"233",2020-10-26,407969
"234",2020-10-27,418226
"235",2020-10-28,428576
"236",2020-10-29,439008
"237",2020-10-30,449513
"238",2020-10-31,460078
"239",2020-11-01,470693
"240",2020-11-02,481344
"241",2020-11-03,492020
"242",2020-11-04,502707
"243",2020-11-05,513391
"244",2020-11-06,524057
"245",2020-11-07,534690
"246",2020-11-08,545275
"247",2020-11-09,555795
"248",2020-11-10,566234
"249",2020-11-11,576576
"250",2020-11-12,586803
"251",2020-11-13,596898
"252",2020-11-14,606844
"253",2020-11-15,616622
"254",2020-11-16,626215
"255",2020-11-17,635604
"256",2020-11-18,644773
"257",2020-11-19,653703
"258",2020-11-20,662378
"259",2020-11-21,670779
"260",2020-11-22,678889
"261",2020-11-23,686693
"262",2020-11-24,694175
"263",2020-11-25,701318
"264",2020-11-26,708108
"265",2020-11-27,714532
"266",2020-11-28,720574
"267",2020-11-29,726224
"268",2020-11-30,731469
"269",2020-12-01,736299
"270",2020-12-02,740704
"271",2020-12-03,744675
"272",2020-12-04,748205
"273",2020-12-05,751288
"274",2020-12-06,753917
"275",2020-12-07,756089
"276",2020-12-08,757801
"277",2020-12-09,759051
"278",2020-12-10,759838
"279",2020-12-11,760164
"280",2020-12-12,760029
"281",2020-12-13,759437
"282",2020-12-14,758392
"283",2020-12-15,756899
"284",2020-12-16,754963
"285",2020-12-17,752594
"286",2020-12-18,749798
"287",2020-12-19,746585
"288",2020-12-20,742965
"289",2020-12-21,738948
"290",2020-12-22,734547
"291",2020-12-23,729773
"292",2020-12-24,724639
"293",2020-12-25,719160
"294",2020-12-26,713349
"295",2020-12-27,707220
"296",2020-12-28,826471
"297",2020-12-29,954010
"298",2020-12-30,1093151
"299",2020-12-31,1247208
"300",2021-01-01,1419508
"301",2021-01-02,1613334
"302",2021-01-03,1831779
"303",2021-01-04,1919670
"304",2021-01-05,2002669
"305",2021-01-06,2079452
"306",2021-01-07,2148731
"307",2021-01-08,2209307
"308",2021-01-09,2260110
"309",2021-01-10,2300243
"310",2021-01-11,2329025
"311",2021-01-12,2346011
"312",2021-01-13,2351016
"313",2021-01-14,2344118
"314",2021-01-15,2325648
"315",2021-01-16,2296178
"316",2021-01-17,2256485
"317",2021-01-18,2207517
"318",2021-01-19,2150350
"319",2021-01-20,2086147
"320",2021-01-21,2016110
"321",2021-01-22,1941443
"322",2021-01-23,1863317
"323",2021-01-24,1782839
"324",2021-01-25,1701031
"325",2021-01-26,725417
"326",2021-01-27,681996
"327",2021-01-28,641351
"328",2021-01-29,603297
"329",2021-01-30,567661
"330",2021-01-31,534282
"331",2021-02-01,503009
"332",2021-02-02,473700
"333",2021-02-03,446224
"334",2021-02-04,420458
"335",2021-02-05,396287
"336",2021-02-06,373606
"337",2021-02-07,352315
"338",2021-02-08,332321
"339",2021-02-09,313540
"340",2021-02-10,295893
"341",2021-02-11,279303
"342",2021-02-12,263704
"343",2021-02-13,249031
"344",2021-02-14,235224
"345",2021-02-15,222228
"346",2021-02-16,209992
"347",2021-02-17,198467
"348",2021-02-18,187609
"349",2021-02-19,177376
"350",2021-02-20,167730
"351",2021-02-21,158634
"352",2021-02-22,150055
"353",2021-02-23,141961
"354",2021-02-24,134323
"355",2021-02-25,127113
"356",2021-02-26,120306
"357",2021-02-27,113878
"358",2021-02-28,107806
"359",2021-03-01,102070
"360",2021-03-02,96650
"361",2021-03-03,91526
"362",2021-03-04,86684
"363",2021-03-05,82105
"364",2021-03-06,77775
"365",2021-03-07,73680
"366",2021-03-08,69806
"367",2021-03-09,66141
"368",2021-03-10,62673
"369",2021-03-11,59392
"370",2021-03-12,56286
"371",2021-03-13,53345
"372",2021-03-14,50562
"373",2021-03-15,47927
"374",2021-03-16,45431
"375",2021-03-17,43068
"376",2021-03-18,40830
"377",2021-03-19,38710
"378",2021-03-20,36701
"379",2021-03-21,34799
"380",2021-03-22,32996
"381",2021-03-23,31288
"382",2021-03-24,29670
"383",2021-03-25,28136
"384",2021-03-26,26683
"385",2021-03-27,25305
"386",2021-03-28,23999
"387",2021-03-29,22761
"388",2021-03-30,21588
"389",2021-03-31,20476
"390",2021-04-01,19421
"391",2021-04-02,18422
"392",2021-04-03,17474
"393",2021-04-04,16575
"394",2021-04-05,15723
"395",2021-04-06,14915
"396",2021-04-07,14148
