"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,3
"19",2020-03-26,4
"20",2020-03-27,4
"21",2020-03-28,5
"22",2020-03-29,5
"23",2020-03-30,6
"24",2020-03-31,7
"25",2020-04-01,9
"26",2020-04-02,11
"27",2020-04-03,13
"28",2020-04-04,17
"29",2020-04-05,20
"30",2020-04-06,26
"31",2020-04-07,34
"32",2020-04-08,44
"33",2020-04-09,57
"34",2020-04-10,71
"35",2020-04-11,88
"36",2020-04-12,109
"37",2020-04-13,136
"38",2020-04-14,162
"39",2020-04-15,190
"40",2020-04-16,215
"41",2020-04-17,241
"42",2020-04-18,279
"43",2020-04-19,314
"44",2020-04-20,335
"45",2020-04-21,370
"46",2020-04-22,419
"47",2020-04-23,421
"48",2020-04-24,460
"49",2020-04-25,483
"50",2020-04-26,517
"51",2020-04-27,539
"52",2020-04-28,559
"53",2020-04-29,607
"54",2020-04-30,636
"55",2020-05-01,662
"56",2020-05-02,675
"57",2020-05-03,725
"58",2020-05-04,754
"59",2020-05-05,805
"60",2020-05-06,861
"61",2020-05-07,870
"62",2020-05-08,921
"63",2020-05-09,927
"64",2020-05-10,987
"65",2020-05-11,1035
"66",2020-05-12,1091
"67",2020-05-13,1138
"68",2020-05-14,1196
"69",2020-05-15,1212
"70",2020-05-16,1310
"71",2020-05-17,1378
"72",2020-05-18,1470
"73",2020-05-19,1534
"74",2020-05-20,1606
"75",2020-05-21,1669
"76",2020-05-22,1758
"77",2020-05-23,1815
"78",2020-05-24,2035
"79",2020-05-25,1637
"80",2020-05-26,1658
"81",2020-05-27,1680
"82",2020-05-28,1702
"83",2020-05-29,1724
"84",2020-05-30,1747
"85",2020-05-31,1769
"86",2020-06-01,1793
"87",2020-06-02,1816
"88",2020-06-03,1840
"89",2020-06-04,1864
"90",2020-06-05,1888
"91",2020-06-06,1913
"92",2020-06-07,1938
"93",2020-06-08,1963
"94",2020-06-09,1988
"95",2020-06-10,2014
"96",2020-06-11,2041
"97",2020-06-12,2067
"98",2020-06-13,2094
"99",2020-06-14,2121
"100",2020-06-15,2149
"101",2020-06-16,2177
"102",2020-06-17,2205
"103",2020-06-18,2234
"104",2020-06-19,2263
"105",2020-06-20,2293
"106",2020-06-21,2323
"107",2020-06-22,2353
"108",2020-06-23,2383
"109",2020-06-24,2414
"110",2020-06-25,2446
"111",2020-06-26,2478
"112",2020-06-27,2510
"113",2020-06-28,2543
"114",2020-06-29,2576
"115",2020-06-30,2609
"116",2020-07-01,2643
"117",2020-07-02,2677
"118",2020-07-03,2712
"119",2020-07-04,2747
"120",2020-07-05,2783
"121",2020-07-06,2819
"122",2020-07-07,2856
"123",2020-07-08,2893
"124",2020-07-09,2931
"125",2020-07-10,2969
"126",2020-07-11,3007
"127",2020-07-12,3046
"128",2020-07-13,3086
"129",2020-07-14,3126
"130",2020-07-15,3166
"131",2020-07-16,3207
"132",2020-07-17,3249
"133",2020-07-18,3291
"134",2020-07-19,3334
"135",2020-07-20,3377
"136",2020-07-21,3421
"137",2020-07-22,3465
"138",2020-07-23,3510
"139",2020-07-24,3555
"140",2020-07-25,3601
"141",2020-07-26,3648
"142",2020-07-27,3695
"143",2020-07-28,3743
"144",2020-07-29,3791
"145",2020-07-30,3840
"146",2020-07-31,3890
"147",2020-08-01,3940
"148",2020-08-02,3991
"149",2020-08-03,4043
"150",2020-08-04,4095
"151",2020-08-05,4148
"152",2020-08-06,4201
"153",2020-08-07,4256
"154",2020-08-08,4311
"155",2020-08-09,4366
"156",2020-08-10,4422
"157",2020-08-11,4479
"158",2020-08-12,4537
"159",2020-08-13,4596
"160",2020-08-14,4655
"161",2020-08-15,4715
"162",2020-08-16,4776
"163",2020-08-17,4837
"164",2020-08-18,4899
"165",2020-08-19,4962
"166",2020-08-20,5026
"167",2020-08-21,5091
"168",2020-08-22,5156
"169",2020-08-23,5223
"170",2020-08-24,5290
"171",2020-08-25,5358
"172",2020-08-26,5426
"173",2020-08-27,5496
"174",2020-08-28,5567
"175",2020-08-29,5638
"176",2020-08-30,5710
"177",2020-08-31,5783
"178",2020-09-01,5858
"179",2020-09-02,5933
"180",2020-09-03,6009
"181",2020-09-04,6085
"182",2020-09-05,6163
"183",2020-09-06,6242
"184",2020-09-07,6322
"185",2020-09-08,6403
"186",2020-09-09,6485
"187",2020-09-10,6567
"188",2020-09-11,6651
"189",2020-09-12,6736
"190",2020-09-13,6822
"191",2020-09-14,6909
"192",2020-09-15,6997
"193",2020-09-16,7086
"194",2020-09-17,7177
"195",2020-09-18,7268
"196",2020-09-19,7360
"197",2020-09-20,7454
"198",2020-09-21,7549
"199",2020-09-22,7645
"200",2020-09-23,7742
"201",2020-09-24,7840
"202",2020-09-25,7940
"203",2020-09-26,8040
"204",2020-09-27,8142
"205",2020-09-28,8245
"206",2020-09-29,8350
"207",2020-09-30,8456
"208",2020-10-01,8563
"209",2020-10-02,8671
"210",2020-10-03,8781
"211",2020-10-04,8891
"212",2020-10-05,9004
"213",2020-10-06,9117
"214",2020-10-07,9232
"215",2020-10-08,9349
"216",2020-10-09,9467
"217",2020-10-10,9586
"218",2020-10-11,9706
"219",2020-10-12,9829
"220",2020-10-13,9952
"221",2020-10-14,10077
"222",2020-10-15,10204
"223",2020-10-16,10332
"224",2020-10-17,10461
"225",2020-10-18,10592
"226",2020-10-19,10725
"227",2020-10-20,10859
"228",2020-10-21,10995
"229",2020-10-22,11133
"230",2020-10-23,11272
"231",2020-10-24,11412
"232",2020-10-25,11555
"233",2020-10-26,11699
"234",2020-10-27,11845
"235",2020-10-28,11992
"236",2020-10-29,12141
"237",2020-10-30,12292
"238",2020-10-31,12445
"239",2020-11-01,12599
"240",2020-11-02,12756
"241",2020-11-03,12914
"242",2020-11-04,13074
"243",2020-11-05,13235
"244",2020-11-06,13399
"245",2020-11-07,13565
"246",2020-11-08,13732
"247",2020-11-09,13901
"248",2020-11-10,14073
"249",2020-11-11,14246
"250",2020-11-12,14421
"251",2020-11-13,14598
"252",2020-11-14,14778
"253",2020-11-15,14959
"254",2020-11-16,15142
"255",2020-11-17,15328
"256",2020-11-18,15515
"257",2020-11-19,15705
"258",2020-11-20,15897
"259",2020-11-21,16091
"260",2020-11-22,16287
"261",2020-11-23,16485
"262",2020-11-24,16686
"263",2020-11-25,16888
"264",2020-11-26,17093
"265",2020-11-27,17301
"266",2020-11-28,17510
"267",2020-11-29,17722
"268",2020-11-30,17936
"269",2020-12-01,18153
"270",2020-12-02,18372
"271",2020-12-03,18593
"272",2020-12-04,18817
"273",2020-12-05,19043
"274",2020-12-06,19271
"275",2020-12-07,19502
"276",2020-12-08,19736
"277",2020-12-09,19972
"278",2020-12-10,20211
"279",2020-12-11,20452
"280",2020-12-12,20695
"281",2020-12-13,20942
"282",2020-12-14,21190
"283",2020-12-15,21442
"284",2020-12-16,21696
"285",2020-12-17,21953
"286",2020-12-18,22212
"287",2020-12-19,22474
"288",2020-12-20,22739
"289",2020-12-21,23007
"290",2020-12-22,23277
"291",2020-12-23,23550
"292",2020-12-24,23826
"293",2020-12-25,24105
"294",2020-12-26,24387
"295",2020-12-27,24671
"296",2020-12-28,24958
"297",2020-12-29,25248
"298",2020-12-30,25541
"299",2020-12-31,25837
"300",2021-01-01,26136
"301",2021-01-02,26438
"302",2021-01-03,26743
"303",2021-01-04,27051
"304",2021-01-05,27361
"305",2021-01-06,27675
"306",2021-01-07,27992
"307",2021-01-08,28312
"308",2021-01-09,28635
"309",2021-01-10,28961
"310",2021-01-11,29290
"311",2021-01-12,29622
"312",2021-01-13,29957
"313",2021-01-14,30296
"314",2021-01-15,30638
"315",2021-01-16,30982
"316",2021-01-17,31330
"317",2021-01-18,31681
"318",2021-01-19,32035
"319",2021-01-20,32393
"320",2021-01-21,32754
"321",2021-01-22,33117
"322",2021-01-23,33485
"323",2021-01-24,33855
"324",2021-01-25,34229
"325",2021-01-26,34605
"326",2021-01-27,34986
"327",2021-01-28,35369
"328",2021-01-29,35756
"329",2021-01-30,36145
"330",2021-01-31,36539
"331",2021-02-01,36935
"332",2021-02-02,37335
"333",2021-02-03,37738
"334",2021-02-04,38144
"335",2021-02-05,38554
"336",2021-02-06,38967
"337",2021-02-07,39383
"338",2021-02-08,39803
"339",2021-02-09,40226
"340",2021-02-10,40652
"341",2021-02-11,41082
"342",2021-02-12,41514
"343",2021-02-13,41950
"344",2021-02-14,42390
"345",2021-02-15,42832
"346",2021-02-16,43278
"347",2021-02-17,43727
"348",2021-02-18,44180
"349",2021-02-19,44635
"350",2021-02-20,45094
"351",2021-02-21,45556
"352",2021-02-22,46022
"353",2021-02-23,46490
"354",2021-02-24,46962
"355",2021-02-25,47437
"356",2021-02-26,47915
"357",2021-02-27,48396
"358",2021-02-28,48880
"359",2021-03-01,49367
"360",2021-03-02,49857
"361",2021-03-03,50351
"362",2021-03-04,50847
"363",2021-03-05,51347
"364",2021-03-06,51849
"365",2021-03-07,52354
"366",2021-03-08,52862
"367",2021-03-09,53373
"368",2021-03-10,53887
"369",2021-03-11,54404
"370",2021-03-12,54924
"371",2021-03-13,55446
"372",2021-03-14,55971
"373",2021-03-15,56499
"374",2021-03-16,57029
"375",2021-03-17,57562
"376",2021-03-18,58097
"377",2021-03-19,58635
"378",2021-03-20,59176
"379",2021-03-21,59719
"380",2021-03-22,60264
"381",2021-03-23,60812
"382",2021-03-24,61361
"383",2021-03-25,61914
"384",2021-03-26,62468
"385",2021-03-27,63024
"386",2021-03-28,63583
"387",2021-03-29,64143
"388",2021-03-30,64705
"389",2021-03-31,65270
"390",2021-04-01,65836
"391",2021-04-02,66403
"392",2021-04-03,66973
"393",2021-04-04,67544
"394",2021-04-05,68117
"395",2021-04-06,68691
"396",2021-04-07,69267
"397",2021-04-08,69844
"398",2021-04-09,70422
