"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,3
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,4
"19",2020-03-26,4
"20",2020-03-27,4
"21",2020-03-28,5
"22",2020-03-29,6
"23",2020-03-30,7
"24",2020-03-31,8
"25",2020-04-01,9
"26",2020-04-02,11
"27",2020-04-03,14
"28",2020-04-04,17
"29",2020-04-05,22
"30",2020-04-06,29
"31",2020-04-07,37
"32",2020-04-08,46
"33",2020-04-09,60
"34",2020-04-10,72
"35",2020-04-11,90
"36",2020-04-12,111
"37",2020-04-13,136
"38",2020-04-14,162
"39",2020-04-15,187
"40",2020-04-16,222
"41",2020-04-17,255
"42",2020-04-18,288
"43",2020-04-19,313
"44",2020-04-20,351
"45",2020-04-21,382
"46",2020-04-22,402
"47",2020-04-23,422
"48",2020-04-24,457
"49",2020-04-25,471
"50",2020-04-26,501
"51",2020-04-27,530
"52",2020-04-28,564
"53",2020-04-29,597
"54",2020-04-30,620
"55",2020-05-01,662
"56",2020-05-02,670
"57",2020-05-03,690
"58",2020-05-04,722
"59",2020-05-05,773
"60",2020-05-06,802
"61",2020-05-07,832
"62",2020-05-08,866
"63",2020-05-09,888
"64",2020-05-10,937
"65",2020-05-11,973
"66",2020-05-12,981
"67",2020-05-13,1043
"68",2020-05-14,1098
"69",2020-05-15,1162
"70",2020-05-16,1240
"71",2020-05-17,1280
"72",2020-05-18,1407
"73",2020-05-19,1451
"74",2020-05-20,1552
"75",2020-05-21,1639
"76",2020-05-22,1779
"77",2020-05-23,1855
"78",2020-05-24,1881
"79",2020-05-25,3235.66528460775
"80",2020-05-26,4607.90052226571
"81",2020-05-27,5997.93235942405
"82",2020-05-28,7405.99033387464
"83",2020-05-29,8832.30691078922
"84",2020-05-30,10277.1175191846
"85",2020-05-31,11740.6605888191
"86",2020-06-01,13223.1775875251
"87",2020-06-02,14724.9130589813
"88",2020-06-03,16246.1146609309
"89",2020-06-04,17787.0332038486
"90",2020-06-05,19347.9226900616
"91",2020-06-06,20929.04035333
"92",2020-06-07,22530.64669889
"93",2020-06-08,24153.0055439657
"94",2020-06-09,25796.3840587532
"95",2020-06-10,27461.0528078827
"96",2020-06-11,29147.2857923633
"97",2020-06-12,30855.3604920135
"98",2020-06-13,32585.5579083856
"99",2020-06-14,34338.1626081856
"100",2020-06-15,36113.4627671952
"101",2020-06-16,37911.7502147003
"102",2020-06-17,39733.3204784314
"103",2020-06-18,41578.47283002
"104",2020-06-19,43447.5103309764
"105",2020-06-20,45340.7398791941
"106",2020-06-21,47258.4722559859
"107",2020-06-22,49201.0221736555
"108",2020-06-23,51168.7083236116
"109",2020-06-24,53161.8534250275
"110",2020-06-25,55180.7842740531
"111",2020-06-26,57225.831793583
"112",2020-06-27,59297.3310835868
"113",2020-06-28,61395.6214720054
"114",2020-06-29,63521.0465662207
"115",2020-06-30,65673.9543051005
"116",2020-07-01,67854.6970116275
"117",2020-07-02,70063.6314461147
"118",2020-07-03,72301.1188600129
"119",2020-07-04,74567.5250503173
"120",2020-07-05,76863.2204145753
"121",2020-07-06,79188.5800065038
"122",2020-07-07,81543.9835922184
"123",2020-07-08,83929.8157070818
"124",2020-07-09,86346.4657131755
"125",2020-07-10,88794.3278573996
"126",2020-07-11,91273.8013302073
"127",2020-07-12,93785.2903249773
"128",2020-07-13,96329.2040980312
"129",2020-07-14,98905.9570292994
"130",2020-07-15,101515.968683642
"131",2020-07-16,104159.663872826
"132",2020-07-17,106837.472718175
"133",2020-07-18,109549.830713876
"134",2020-07-19,112297.178790973
"135",2020-07-20,115079.963382032
"136",2020-07-21,117898.63648649
"137",2020-07-22,120753.655736705
"138",2020-07-23,123645.484464682
"139",2020-07-24,126574.591769513
"140",2020-07-25,129541.452585516
"141",2020-07-26,132546.54775108
"142",2020-07-27,135590.364078228
"143",2020-07-28,138673.394422893
"144",2020-07-29,141796.137755925
"145",2020-07-30,144959.099234817
"146",2020-07-31,148162.790276167
"147",2020-08-01,151407.728628875
"148",2020-08-02,154694.438448084
"149",2020-08-03,158023.450369861
"150",2020-08-04,161395.301586634
"151",2020-08-05,164810.535923373
"152",2020-08-06,168269.70391454
"153",2020-08-07,171773.362881792
"154",2020-08-08,175322.077012456
"155",2020-08-09,178916.417438765
"156",2020-08-10,182556.96231788
"157",2020-08-11,186244.296912676
"158",2020-08-12,189979.013673314
"159",2020-08-13,193761.712319603
"160",2020-08-14,197592.999924133
"161",2020-08-15,201473.49099622
"162",2020-08-16,205403.807566622
"163",2020-08-17,209384.579273068
"164",2020-08-18,213416.443446582
"165",2020-08-19,217500.045198599
"166",2020-08-20,221636.037508901
"167",2020-08-21,225825.081314349
"168",2020-08-22,230067.845598423
