"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,4
"19",2020-03-26,4
"20",2020-03-27,4
"21",2020-03-28,5
"22",2020-03-29,5
"23",2020-03-30,6
"24",2020-03-31,8
"25",2020-04-01,9
"26",2020-04-02,11
"27",2020-04-03,14
"28",2020-04-04,17
"29",2020-04-05,21
"30",2020-04-06,27
"31",2020-04-07,36
"32",2020-04-08,46
"33",2020-04-09,57
"34",2020-04-10,71
"35",2020-04-11,86
"36",2020-04-12,103
"37",2020-04-13,127
"38",2020-04-14,157
"39",2020-04-15,184
"40",2020-04-16,218
"41",2020-04-17,249
"42",2020-04-18,278
"43",2020-04-19,320
"44",2020-04-20,340
"45",2020-04-21,377
"46",2020-04-22,415
"47",2020-04-23,439
"48",2020-04-24,456
"49",2020-04-25,484
"50",2020-04-26,517
"51",2020-04-27,576
"52",2020-04-28,573
"53",2020-04-29,593
"54",2020-04-30,636
"55",2020-05-01,665
"56",2020-05-02,679
"57",2020-05-03,692
"58",2020-05-04,758
"59",2020-05-05,780
"60",2020-05-06,838
"61",2020-05-07,851
"62",2020-05-08,891
"63",2020-05-09,931
"64",2020-05-10,981
"65",2020-05-11,1013
"66",2020-05-12,1063
"67",2020-05-13,1159
"68",2020-05-14,1180
"69",2020-05-15,1212
"70",2020-05-16,1287
"71",2020-05-17,1352
"72",2020-05-18,1382
"73",2020-05-19,1409
"74",2020-05-20,1470
"75",2020-05-21,1559
"76",2020-05-22,1752
"77",2020-05-23,1789
"78",2020-05-24,1761
"79",2020-05-25,1899
"80",2020-05-26,1987
"81",2020-05-27,2078
"82",2020-05-28,2174
"83",2020-05-29,2274
"84",2020-05-30,2379
"85",2020-05-31,2489
"86",2020-06-01,2603
"87",2020-06-02,2723
"88",2020-06-03,2848
"89",2020-06-04,2979
"90",2020-06-05,3117
"91",2020-06-06,3260
"92",2020-06-07,3410
"93",2020-06-08,3567
"94",2020-06-09,3731
"95",2020-06-10,3903
"96",2020-06-11,4082
"97",2020-06-12,4270
"98",2020-06-13,4467
"99",2020-06-14,4672
"100",2020-06-15,4887
"101",2020-06-16,5112
"102",2020-06-17,5347
"103",2020-06-18,5593
"104",2020-06-19,5850
"105",2020-06-20,6118
"106",2020-06-21,6400
"107",2020-06-22,6694
"108",2020-06-23,7001
"109",2020-06-24,7323
"110",2020-06-25,7659
"111",2020-06-26,8011
"112",2020-06-27,8378
"113",2020-06-28,8763
"114",2020-06-29,9165
"115",2020-06-30,9585
"116",2020-07-01,10025
"117",2020-07-02,10485
"118",2020-07-03,10965
"119",2020-07-04,11468
"120",2020-07-05,11993
"121",2020-07-06,12542
"122",2020-07-07,13117
"123",2020-07-08,13717
"124",2020-07-09,14345
"125",2020-07-10,15001
"126",2020-07-11,15687
"127",2020-07-12,16404
"128",2020-07-13,17153
"129",2020-07-14,17937
"130",2020-07-15,18755
"131",2020-07-16,19611
"132",2020-07-17,20506
"133",2020-07-18,21441
"134",2020-07-19,22417
"135",2020-07-20,23438
"136",2020-07-21,24505
"137",2020-07-22,25619
"138",2020-07-23,26784
"139",2020-07-24,58477
"140",2020-07-25,68437
"141",2020-07-26,80081
"142",2020-07-27,93686
"143",2020-07-28,109578
"144",2020-07-29,128130
"145",2020-07-30,149775
"146",2020-07-31,175011
"147",2020-08-01,204410
"148",2020-08-02,238626
"149",2020-08-03,278404
"150",2020-08-04,324586
"151",2020-08-05,378123
"152",2020-08-06,440074
"153",2020-08-07,511614
"154",2020-08-08,594024
"155",2020-08-09,688689
"156",2020-08-10,797070
"157",2020-08-11,920676
"158",2020-08-12,1061016
"159",2020-08-13,1219521
"160",2020-08-14,1397459
"161",2020-08-15,1595807
"162",2020-08-16,1815098
"163",2020-08-17,2055246
"164",2020-08-18,2315346
"165",2020-08-19,2593464
"166",2020-08-20,2886443
"167",2020-08-21,3189755
"168",2020-08-22,3497422
"169",2020-08-23,1848356
"170",2020-08-24,1856734
"171",2020-08-25,1861870
"172",2020-08-26,1863757
"173",2020-08-27,1862418
"174",2020-08-28,1857896
"175",2020-08-29,1850257
"176",2020-08-30,1839588
"177",2020-08-31,1825998
"178",2020-09-01,1809611
"179",2020-09-02,1790570
"180",2020-09-03,1769027
"181",2020-09-04,1745150
"182",2020-09-05,1719113
"183",2020-09-06,1691098
"184",2020-09-07,1661290
"185",2020-09-08,1629877
"186",2020-09-09,1597047
"187",2020-09-10,1562985
"188",2020-09-11,1527873
"189",2020-09-12,1491889
"190",2020-09-13,1455203
"191",2020-09-14,1417979
"192",2020-09-15,1380370
"193",2020-09-16,1342522
"194",2020-09-17,1304571
"195",2020-09-18,1266644
"196",2020-09-19,1228855
"197",2020-09-20,1191312
"198",2020-09-21,1154108
"199",2020-09-22,1117331
"200",2020-09-23,1081057
"201",2020-09-24,1045353
"202",2020-09-25,1010278
"203",2020-09-26,975881
"204",2020-09-27,942207
"205",2020-09-28,909289
"206",2020-09-29,877158
"207",2020-09-30,845835
"208",2020-10-01,815339
"209",2020-10-02,785680
"210",2020-10-03,756866
"211",2020-10-04,728901
"212",2020-10-05,701784
"213",2020-10-06,675511
"214",2020-10-07,650075
"215",2020-10-08,625469
"216",2020-10-09,601680
"217",2020-10-10,578695
"218",2020-10-11,556499
"219",2020-10-12,535077
"220",2020-10-13,514412
"221",2020-10-14,494485
"222",2020-10-15,475278
"223",2020-10-16,456772
"224",2020-10-17,438948
"225",2020-10-18,421784
"226",2020-10-19,405263
"227",2020-10-20,389363
"228",2020-10-21,374066
"229",2020-10-22,727098
"230",2020-10-23,720058
"231",2020-10-24,712233
"232",2020-10-25,703669
"233",2020-10-26,694415
"234",2020-10-27,684523
"235",2020-10-28,674044
"236",2020-10-29,663031
"237",2020-10-30,651537
"238",2020-10-31,639614
"239",2020-11-01,627314
"240",2020-11-02,614689
"241",2020-11-03,601787
"242",2020-11-04,588656
"243",2020-11-05,575344
"244",2020-11-06,561893
"245",2020-11-07,548347
"246",2020-11-08,534743
"247",2020-11-09,521120
"248",2020-11-10,507512
"249",2020-11-11,493951
"250",2020-11-12,480467
"251",2020-11-13,467087
"252",2020-11-14,453835
"253",2020-11-15,440734
"254",2020-11-16,427804
"255",2020-11-17,415063
"256",2020-11-18,402527
"257",2020-11-19,390208
"258",2020-11-20,378120
"259",2020-11-21,181792
"260",2020-11-22,172628
"261",2020-11-23,163944
"262",2020-11-24,155714
"263",2020-11-25,147912
"264",2020-11-26,140515
"265",2020-11-27,133501
"266",2020-11-28,126849
"267",2020-11-29,120539
"268",2020-11-30,114553
"269",2020-12-01,108874
"270",2020-12-02,103484
"271",2020-12-03,98368
"272",2020-12-04,93513
"273",2020-12-05,88903
"274",2020-12-06,84526
"275",2020-12-07,80371
"276",2020-12-08,76424
"277",2020-12-09,72675
"278",2020-12-10,69114
"279",2020-12-11,65732
"280",2020-12-12,62518
"281",2020-12-13,59464
"282",2020-12-14,56562
"283",2020-12-15,53804
"284",2020-12-16,51183
"285",2020-12-17,48692
"286",2020-12-18,46324
"287",2020-12-19,44073
"288",2020-12-20,41932
"289",2020-12-21,39897
"290",2020-12-22,37962
"291",2020-12-23,36123
"292",2020-12-24,34373
"293",2020-12-25,32709
"294",2020-12-26,31126
"295",2020-12-27,29621
"296",2020-12-28,28189
"297",2020-12-29,26828
"298",2020-12-30,25532
"299",2020-12-31,24300
"300",2021-01-01,23127
"301",2021-01-02,22012
"302",2021-01-03,20951
"303",2021-01-04,19941
"304",2021-01-05,18980
"305",2021-01-06,18066
"306",2021-01-07,17197
"307",2021-01-08,16369
"308",2021-01-09,15581
"309",2021-01-10,14832
"310",2021-01-11,14118
"311",2021-01-12,13440
"312",2021-01-13,12794
"313",2021-01-14,12179
"314",2021-01-15,11594
"315",2021-01-16,11037
"316",2021-01-17,10507
"317",2021-01-18,10002
"318",2021-01-19,9522
"319",2021-01-20,18283
"320",2021-01-21,17802
"321",2021-01-22,17333
"322",2021-01-23,16877
"323",2021-01-24,16433
"324",2021-01-25,16000
"325",2021-01-26,15578
"326",2021-01-27,15167
"327",2021-01-28,14767
"328",2021-01-29,14377
"329",2021-01-30,13998
"330",2021-01-31,13628
"331",2021-02-01,13268
"332",2021-02-02,12918
"333",2021-02-03,12576
"334",2021-02-04,12244
"335",2021-02-05,11920
"336",2021-02-06,11605
"337",2021-02-07,11298
"338",2021-02-08,10999
"339",2021-02-09,10707
"340",2021-02-10,10424
"341",2021-02-11,10148
"342",2021-02-12,9879
"343",2021-02-13,9617
"344",2021-02-14,9362
"345",2021-02-15,9114
"346",2021-02-16,8872
"347",2021-02-17,8637
"348",2021-02-18,8408
"349",2021-02-19,4058
"350",2021-02-20,3863
"351",2021-02-21,3677
"352",2021-02-22,3500
"353",2021-02-23,3332
"354",2021-02-24,3172
"355",2021-02-25,3019
"356",2021-02-26,2874
"357",2021-02-27,2736
"358",2021-02-28,2604
"359",2021-03-01,2479
"360",2021-03-02,2360
"361",2021-03-03,2246
"362",2021-03-04,2138
"363",2021-03-05,2035
"364",2021-03-06,1937
"365",2021-03-07,1844
"366",2021-03-08,1756
"367",2021-03-09,1671
"368",2021-03-10,1591
"369",2021-03-11,1514
"370",2021-03-12,1442
"371",2021-03-13,1372
"372",2021-03-14,1306
"373",2021-03-15,1243
"374",2021-03-16,1184
"375",2021-03-17,1127
"376",2021-03-18,1073
"377",2021-03-19,1021
"378",2021-03-20,972
"379",2021-03-21,925
"380",2021-03-22,881
"381",2021-03-23,838
"382",2021-03-24,798
"383",2021-03-25,760
"384",2021-03-26,723
"385",2021-03-27,689
"386",2021-03-28,655
"387",2021-03-29,624
"388",2021-03-30,594
"389",2021-03-31,565
"390",2021-04-01,538
"391",2021-04-02,512
"392",2021-04-03,488
"393",2021-04-04,464
"394",2021-04-05,442
"395",2021-04-06,421
"396",2021-04-07,401
