"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,4
"19",2020-03-26,4
"20",2020-03-27,5
"21",2020-03-28,5
"22",2020-03-29,6
"23",2020-03-30,6
"24",2020-03-31,8
"25",2020-04-01,9
"26",2020-04-02,12
"27",2020-04-03,14
"28",2020-04-04,18
"29",2020-04-05,23
"30",2020-04-06,28
"31",2020-04-07,38
"32",2020-04-08,48
"33",2020-04-09,60
"34",2020-04-10,74
"35",2020-04-11,89
"36",2020-04-12,109
"37",2020-04-13,133
"38",2020-04-14,153
"39",2020-04-15,183
"40",2020-04-16,217
"41",2020-04-17,249
"42",2020-04-18,279
"43",2020-04-19,314
"44",2020-04-20,338
"45",2020-04-21,362
"46",2020-04-22,385
"47",2020-04-23,390
"48",2020-04-24,425
"49",2020-04-25,445
"50",2020-04-26,474
"51",2020-04-27,519
"52",2020-04-28,543
"53",2020-04-29,582
"54",2020-04-30,611
"55",2020-05-01,641
"56",2020-05-02,667
"57",2020-05-03,714
"58",2020-05-04,731
"59",2020-05-05,776
"60",2020-05-06,844
"61",2020-05-07,865
"62",2020-05-08,917
"63",2020-05-09,957
"64",2020-05-10,1005
"65",2020-05-11,1046
"66",2020-05-12,1070
"67",2020-05-13,1146
"68",2020-05-14,1201
"69",2020-05-15,1262
"70",2020-05-16,1301
"71",2020-05-17,1395
"72",2020-05-18,1497
"73",2020-05-19,1503
"74",2020-05-20,1591
"75",2020-05-21,1657
"76",2020-05-22,1817
"77",2020-05-23,1913
"78",2020-05-24,1892
"79",2020-05-25,2062
"80",2020-05-26,2167
"81",2020-05-27,2276
"82",2020-05-28,2391
"83",2020-05-29,2512
"84",2020-05-30,2639
"85",2020-05-31,2773
"86",2020-06-01,2913
"87",2020-06-02,3060
"88",2020-06-03,3215
"89",2020-06-04,3377
"90",2020-06-05,3548
"91",2020-06-06,3727
"92",2020-06-07,3915
"93",2020-06-08,4113
"94",2020-06-09,4321
"95",2020-06-10,4539
"96",2020-06-11,4768
"97",2020-06-12,5009
"98",2020-06-13,5262
"99",2020-06-14,5527
"100",2020-06-15,5806
"101",2020-06-16,6099
"102",2020-06-17,6407
"103",2020-06-18,6730
"104",2020-06-19,7070
"105",2020-06-20,7426
"106",2020-06-21,7801
"107",2020-06-22,8194
"108",2020-06-23,8607
"109",2020-06-24,9041
"110",2020-06-25,9497
"111",2020-06-26,9975
"112",2020-06-27,10477
"113",2020-06-28,11005
"114",2020-06-29,11559
"115",2020-06-30,12141
"116",2020-07-01,12752
"117",2020-07-02,13393
"118",2020-07-03,14066
"119",2020-07-04,14773
"120",2020-07-05,15516
"121",2020-07-06,16295
"122",2020-07-07,17113
"123",2020-07-08,17972
"124",2020-07-09,18874
"125",2020-07-10,19820
"126",2020-07-11,20814
"127",2020-07-12,21856
"128",2020-07-13,22951
"129",2020-07-14,24099
"130",2020-07-15,25305
"131",2020-07-16,26570
"132",2020-07-17,27897
"133",2020-07-18,29290
"134",2020-07-19,30751
"135",2020-07-20,32284
"136",2020-07-21,33892
"137",2020-07-22,35579
"138",2020-07-23,37349
"139",2020-07-24,39205
"140",2020-07-25,41151
"141",2020-07-26,43192
"142",2020-07-27,45332
"143",2020-07-28,47575
"144",2020-07-29,49927
"145",2020-07-30,52393
"146",2020-07-31,54976
"147",2020-08-01,57684
"148",2020-08-02,60521
"149",2020-08-03,63493
"150",2020-08-04,66607
"151",2020-08-05,69868
"152",2020-08-06,73283
"153",2020-08-07,76859
"154",2020-08-08,80602
"155",2020-08-09,84520
"156",2020-08-10,88620
"157",2020-08-11,92910
"158",2020-08-12,97397
"159",2020-08-13,102090
"160",2020-08-14,106996
"161",2020-08-15,112126
"162",2020-08-16,117486
"163",2020-08-17,123087
"164",2020-08-18,128936
"165",2020-08-19,135045
"166",2020-08-20,141422
"167",2020-08-21,148076
"168",2020-08-22,155018
"169",2020-08-23,162257
"170",2020-08-24,169804
"171",2020-08-25,177669
"172",2020-08-26,185861
"173",2020-08-27,194390
"174",2020-08-28,203267
"175",2020-08-29,212502
"176",2020-08-30,222104
"177",2020-08-31,232082
"178",2020-09-01,242447
"179",2020-09-02,253206
"180",2020-09-03,264369
"181",2020-09-04,275944
"182",2020-09-05,287937
"183",2020-09-06,300356
"184",2020-09-07,313207
"185",2020-09-08,326496
"186",2020-09-09,340225
"187",2020-09-10,354400
"188",2020-09-11,369021
"189",2020-09-12,384090
"190",2020-09-13,399606
"191",2020-09-14,415567
"192",2020-09-15,431968
"193",2020-09-16,448805
"194",2020-09-17,466071
"195",2020-09-18,483754
"196",2020-09-19,501844
"197",2020-09-20,520327
"198",2020-09-21,539186
"199",2020-09-22,558402
"200",2020-09-23,577954
"201",2020-09-24,597817
"202",2020-09-25,617965
"203",2020-09-26,638367
"204",2020-09-27,658991
"205",2020-09-28,679801
"206",2020-09-29,700760
"207",2020-09-30,721824
"208",2020-10-01,742951
"209",2020-10-02,764094
"210",2020-10-03,785203
"211",2020-10-04,806227
"212",2020-10-05,827112
"213",2020-10-06,847802
"214",2020-10-07,868239
"215",2020-10-08,888365
"216",2020-10-09,908118
"217",2020-10-10,927439
"218",2020-10-11,946265
"219",2020-10-12,964535
"220",2020-10-13,982188
"221",2020-10-14,999164
"222",2020-10-15,1015404
"223",2020-10-16,1030850
"224",2020-10-17,1045448
"225",2020-10-18,1059145
"226",2020-10-19,1071891
"227",2020-10-20,1083642
"228",2020-10-21,1094353
"229",2020-10-22,1103989
"230",2020-10-23,1112514
"231",2020-10-24,1119901
"232",2020-10-25,1126126
"233",2020-10-26,1131170
"234",2020-10-27,1135020
"235",2020-10-28,1137670
"236",2020-10-29,1139115
"237",2020-10-30,1139361
"238",2020-10-31,1138414
"239",2020-11-01,1136290
"240",2020-11-02,1133006
"241",2020-11-03,1128586
"242",2020-11-04,1123059
"243",2020-11-05,1116456
"244",2020-11-06,1108815
"245",2020-11-07,1100173
"246",2020-11-08,1090576
"247",2020-11-09,1080067
"248",2020-11-10,1068696
"249",2020-11-11,1056511
"250",2020-11-12,1043565
"251",2020-11-13,1029910
"252",2020-11-14,1015599
"253",2020-11-15,1000687
"254",2020-11-16,985227
"255",2020-11-17,969272
"256",2020-11-18,952875
"257",2020-11-19,936089
"258",2020-11-20,918964
"259",2020-11-21,901550
"260",2020-11-22,883894
"261",2020-11-23,866044
"262",2020-11-24,848043
"263",2020-11-25,829933
"264",2020-11-26,811756
"265",2020-11-27,793548
"266",2020-11-28,775347
"267",2020-11-29,757186
"268",2020-11-30,739095
"269",2020-12-01,721105
"270",2020-12-02,703243
"271",2020-12-03,685533
"272",2020-12-04,667999
"273",2020-12-05,650661
"274",2020-12-06,633537
"275",2020-12-07,616646
"276",2020-12-08,600001
"277",2020-12-09,583617
"278",2020-12-10,567504
"279",2020-12-11,551674
"280",2020-12-12,536134
"281",2020-12-13,520892
"282",2020-12-14,505954
"283",2020-12-15,491325
"284",2020-12-16,477008
"285",2020-12-17,463006
"286",2020-12-18,449321
"287",2020-12-19,435953
"288",2020-12-20,422903
"289",2020-12-21,410169
"290",2020-12-22,397751
"291",2020-12-23,385645
"292",2020-12-24,373850
"293",2020-12-25,362363
"294",2020-12-26,351179
"295",2020-12-27,340295
"296",2020-12-28,329708
"297",2020-12-29,319411
"298",2020-12-30,309401
"299",2020-12-31,299673
"300",2021-01-01,290220
"301",2021-01-02,281039
"302",2021-01-03,272123
"303",2021-01-04,263468
"304",2021-01-05,255066
"305",2021-01-06,246913
"306",2021-01-07,239003
"307",2021-01-08,231330
"308",2021-01-09,223889
"309",2021-01-10,216673
"310",2021-01-11,209677
"311",2021-01-12,202895
"312",2021-01-13,196322
"313",2021-01-14,189953
"314",2021-01-15,183781
"315",2021-01-16,177801
"316",2021-01-17,172009
"317",2021-01-18,166398
"318",2021-01-19,160964
"319",2021-01-20,155702
"320",2021-01-21,150607
"321",2021-01-22,145673
"322",2021-01-23,140896
"323",2021-01-24,136272
"324",2021-01-25,131796
"325",2021-01-26,127464
"326",2021-01-27,123270
"327",2021-01-28,119212
"328",2021-01-29,115285
"329",2021-01-30,111484
"330",2021-01-31,107807
"331",2021-02-01,104249
"332",2021-02-02,100806
"333",2021-02-03,97475
"334",2021-02-04,94253
"335",2021-02-05,91135
"336",2021-02-06,88120
"337",2021-02-07,85203
"338",2021-02-08,82381
"339",2021-02-09,79652
"340",2021-02-10,77012
"341",2021-02-11,74459
"342",2021-02-12,71989
"343",2021-02-13,69601
"344",2021-02-14,67291
"345",2021-02-15,65057
"346",2021-02-16,62897
"347",2021-02-17,60808
"348",2021-02-18,58788
"349",2021-02-19,56834
"350",2021-02-20,54945
"351",2021-02-21,53119
"352",2021-02-22,51352
"353",2021-02-23,49645
"354",2021-02-24,47993
"355",2021-02-25,46396
"356",2021-02-26,44852
"357",2021-02-27,43360
"358",2021-02-28,41916
"359",2021-03-01,40521
"360",2021-03-02,39171
"361",2021-03-03,37867
"362",2021-03-04,36606
"363",2021-03-05,35386
"364",2021-03-06,34207
"365",2021-03-07,33068
"366",2021-03-08,31966
"367",2021-03-09,30900
"368",2021-03-10,29870
"369",2021-03-11,28875
"370",2021-03-12,27912
"371",2021-03-13,26982
"372",2021-03-14,26082
"373",2021-03-15,25212
"374",2021-03-16,24372
"375",2021-03-17,23559
"376",2021-03-18,22773
"377",2021-03-19,22013
"378",2021-03-20,21279
"379",2021-03-21,20569
"380",2021-03-22,19883
"381",2021-03-23,19220
"382",2021-03-24,18578
"383",2021-03-25,17958
"384",2021-03-26,17359
"385",2021-03-27,16780
"386",2021-03-28,16220
"387",2021-03-29,15679
"388",2021-03-30,15155
"389",2021-03-31,14649
"390",2021-04-01,14160
"391",2021-04-02,13688
"392",2021-04-03,13231
"393",2021-04-04,12789
"394",2021-04-05,12362
"395",2021-04-06,11950
"396",2021-04-07,11551
