"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,3
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,4
"19",2020-03-26,4
"20",2020-03-27,4
"21",2020-03-28,5
"22",2020-03-29,6
"23",2020-03-30,7
"24",2020-03-31,8
"25",2020-04-01,9
"26",2020-04-02,11
"27",2020-04-03,14
"28",2020-04-04,17
"29",2020-04-05,22
"30",2020-04-06,29
"31",2020-04-07,37
"32",2020-04-08,46
"33",2020-04-09,60
"34",2020-04-10,72
"35",2020-04-11,90
"36",2020-04-12,111
"37",2020-04-13,136
"38",2020-04-14,162
"39",2020-04-15,187
"40",2020-04-16,222
"41",2020-04-17,255
"42",2020-04-18,288
"43",2020-04-19,313
"44",2020-04-20,351
"45",2020-04-21,382
"46",2020-04-22,402
"47",2020-04-23,422
"48",2020-04-24,457
"49",2020-04-25,471
"50",2020-04-26,501
"51",2020-04-27,530
"52",2020-04-28,564
"53",2020-04-29,597
"54",2020-04-30,620
"55",2020-05-01,662
"56",2020-05-02,670
"57",2020-05-03,690
"58",2020-05-04,722
"59",2020-05-05,773
"60",2020-05-06,802
"61",2020-05-07,832
"62",2020-05-08,866
"63",2020-05-09,888
"64",2020-05-10,937
"65",2020-05-11,973
"66",2020-05-12,981
"67",2020-05-13,1043
"68",2020-05-14,1098
"69",2020-05-15,1162
"70",2020-05-16,1240
"71",2020-05-17,1280
"72",2020-05-18,1407
"73",2020-05-19,1451
"74",2020-05-20,1552
"75",2020-05-21,1639
"76",2020-05-22,1779
"77",2020-05-23,1855
"78",2020-05-24,1881
"79",2020-05-25,3842.54603393421
"80",2020-05-26,5901.91364704546
"81",2020-05-27,8063.97621210727
"82",2020-05-28,10333.8493818867
"83",2020-05-29,12716.9030823003
"84",2020-05-30,15218.774093943
"85",2020-05-31,17845.3792503118
"86",2020-06-01,20602.9292823515
"87",2020-06-02,23497.9433403125
"88",2020-06-03,26537.2642253284
"89",2020-06-04,29728.0743645951
"90",2020-06-05,33077.9125655701
"91",2020-06-06,36594.6915862019
"92",2020-06-07,40286.7165598631
"93",2020-06-08,44162.704315374
"94",2020-06-09,48231.803634298
"95",2020-06-10,52503.6164895344
"96",2020-06-11,56988.2203111571
"97",2020-06-12,61696.1913274345
"98",2020-06-13,66638.6290310174
"99",2020-06-14,71827.181822409
"100",2020-06-15,77274.0738850196
"101",2020-06-16,82992.1333483726
"102",2020-06-17,88994.8217983534
"103",2020-06-18,95296.265195791
"104",2020-06-19,101911.286267119
"105",2020-06-20,108855.438433388
"106",2020-06-21,116145.041346488
"107",2020-06-22,123797.218104068
"108",2020-06-23,131829.934217349
"109",2020-06-24,140262.038408763
"110",2020-06-25,149113.305319113
"111",2020-06-26,158404.480206803
"112",2020-06-27,168157.325724493
"113",2020-06-28,178394.67086142
"114",2020-06-29,189140.462142462
"115",2020-06-30,200419.817177917
"116",2020-07-01,212259.080660747
"117",2020-07-02,224685.882910889
"118",2020-07-03,237729.201068921
"119",2020-07-04,251419.423044044
"120",2020-07-05,265788.414323892
"121",2020-07-06,280869.587756084
"122",2020-07-07,296697.976413694
"123",2020-07-08,313310.309658855
"124",2020-07-09,330745.092520547
"125",2020-07-10,349042.688504138
"126",2020-07-11,368245.405951459
"127",2020-07-12,388397.588071047
"128",2020-07-13,409545.706758537
"129",2020-07-14,431738.460327115
"130",2020-07-15,455026.875267228
"131",2020-07-16,479464.412153428
"132",2020-07-17,505107.075814131
"133",2020-07-18,532013.529877168
"134",2020-07-19,560245.215800162
"135",2020-07-20,589866.476489853
"136",2020-07-21,620944.684608425
"137",2020-07-22,653550.375657508
"138",2020-07-23,687757.385921691
"139",2020-07-24,723642.995342926
"140",2020-07-25,761288.075384974
"141",2020-07-26,800777.241932847
"142",2020-07-27,842199.013255798
"143",2020-07-28,885645.973043679
"144",2020-07-29,931214.938505108
"145",2020-07-30,979007.133491623
"146",2020-07-31,1029128.36658467
"147",2020-08-01,1081689.2140515
"148",2020-08-02,1136805.20754156
"149",2020-08-03,1194597.02635659
"150",2020-08-04,1255190.69408453
"151",2020-08-05,1318717.77934039
"152",2020-08-06,1385315.60030406
"153",2020-08-07,1455127.43268751
"154",2020-08-08,1528302.72070004
"155",2020-08-09,1604997.29051018
"156",2020-08-10,1685373.56562642
"157",2020-08-11,1769600.78353565
"158",2020-08-12,1857855.21284717
"159",2020-08-13,1950320.37009169
"160",2020-08-14,2047187.23521837
"161",2020-08-15,2148654.46471743
"162",2020-08-16,2254928.60117276
"163",2020-08-17,2366224.2779157
"164",2020-08-18,2482764.41730976
"165",2020-08-19,2604780.42104468
"166",2020-08-20,2732512.35065803
"167",2020-08-21,2866209.09633292
"168",2020-08-22,3006128.53184187
