"","date","cases","reports"
"1",2020-03-08,3,3
"2",2020-03-09,1,0
"3",2020-03-10,1,0
"4",2020-03-11,1,0
"5",2020-03-12,1,0
"6",2020-03-13,1,1
"7",2020-03-14,1,1
"8",2020-03-15,2,1
"9",2020-03-16,2,1
"10",2020-03-17,2,1
"11",2020-03-18,2,1
"12",2020-03-19,3,2
"13",2020-03-20,3,2
"14",2020-03-21,3,2
"15",2020-03-22,4,2
"16",2020-03-23,4,3
"17",2020-03-24,5,3
"18",2020-03-25,5,4
"19",2020-03-26,6,4
"20",2020-03-27,7,5
"21",2020-03-28,8,5
"22",2020-03-29,10,6
"23",2020-03-30,12,7
"24",2020-03-31,15,9
"25",2020-04-01,19,10
"26",2020-04-02,22,12
"27",2020-04-03,29,15
"28",2020-04-04,36,19
"29",2020-04-05,45,24
"30",2020-04-06,58,29
"31",2020-04-07,72,37
"32",2020-04-08,90,46
"33",2020-04-09,110,57
"34",2020-04-10,130,70
"35",2020-04-11,156,85
"36",2020-04-12,183,101
"37",2020-04-13,210,124
"38",2020-04-14,243,145
"39",2020-04-15,283,170
"40",2020-04-16,326,203
"41",2020-04-17,367,234
"42",2020-04-18,390,264
"43",2020-04-19,434,300
"44",2020-04-20,455,334
"45",2020-04-21,489,370
"46",2020-04-22,503,397
"47",2020-04-23,563,429
"48",2020-04-24,607,473
"49",2020-04-25,617,502
"50",2020-04-26,638,531
"51",2020-04-27,660,560
"52",2020-04-28,681,581
"53",2020-04-29,709,606
"54",2020-04-30,743,624
"55",2020-05-01,774,654
"56",2020-05-02,809,690
"57",2020-05-03,818,716
"58",2020-05-04,876,749
"59",2020-05-05,905,779
"60",2020-05-06,959,811
"61",2020-05-07,1007,854
"62",2020-05-08,1050,902
"63",2020-05-09,1095,941
"64",2020-05-10,1178,989
"65",2020-05-11,1163,1035
"66",2020-05-12,1261,1067
"67",2020-05-13,1294,1109
"68",2020-05-14,1310,1176
"69",2020-05-15,1316,1206
"70",2020-05-16,1412,1262
"71",2020-05-17,1471,1296
"72",2020-05-18,1538,1345
"73",2020-05-19,1656,1405
"74",2020-05-20,1778,1445
"75",2020-05-21,1830,1545
"76",2020-05-22,1953,1638
"77",2020-05-23,2005,1759
"78",2020-05-24,2097,1819
"79",2020-05-25,2182,1722
"80",2020-05-26,2229,1833
"81",2020-05-27,2277,1929
"82",2020-05-28,2326,2013
"83",2020-05-29,2377,2089
"84",2020-05-30,2428,2159
"85",2020-05-31,2481,2224
"86",2020-06-01,2534,2286
"87",2020-06-02,2589,2346
"88",2020-06-03,2645,2405
"89",2020-06-04,2702,2463
"90",2020-06-05,2760,2521
"91",2020-06-06,2820,2579
"92",2020-06-07,2881,2637
"93",2020-06-08,2943,2696
"94",2020-06-09,3007,2756
"95",2020-06-10,3072,2817
"96",2020-06-11,3138,2878
"97",2020-06-12,3206,2941
"98",2020-06-13,3275,3005
"99",2020-06-14,3346,3070
"100",2020-06-15,3418,3137
"101",2020-06-16,3492,3205
"102",2020-06-17,3567,3274
"103",2020-06-18,3644,3345
"104",2020-06-19,3722,3417
"105",2020-06-20,3803,3491
"106",2020-06-21,3885,3567
"107",2020-06-22,3968,3643
"108",2020-06-23,4054,3722
"109",2020-06-24,4141,3802
"110",2020-06-25,4230,3884
"111",2020-06-26,4322,3968
"112",2020-06-27,4415,4054
"113",2020-06-28,4510,4141
"114",2020-06-29,4607,4230
"115",2020-06-30,4706,4321
"116",2020-07-01,4807,4414
"117",2020-07-02,4911,4509
"118",2020-07-03,5016,4606
"119",2020-07-04,5124,4706
"120",2020-07-05,5234,4807
"121",2020-07-06,5347,4910
"122",2020-07-07,5462,5016
"123",2020-07-08,5579,5124
"124",2020-07-09,5699,5234
"125",2020-07-10,5821,5346
"126",2020-07-11,5946,5461
"127",2020-07-12,6074,5579
"128",2020-07-13,6204,5698
"129",2020-07-14,6337,5821
"130",2020-07-15,6473,5946
"131",2020-07-16,6612,6073
"132",2020-07-17,6754,6204
"133",2020-07-18,6898,6337
"134",2020-07-19,7046,6473
"135",2020-07-20,7197,6611
"136",2020-07-21,7351,6753
