"","cases","dt"
"1",39,"2020-03-08"
"2",1,"2020-03-09"
"3",2,"2020-03-10"
"4",2,"2020-03-11"
"5",3,"2020-03-12"
"6",4,"2020-03-13"
"7",4,"2020-03-14"
"8",7752,"2020-03-15"
"9",7751,"2020-03-16"
"10",7749,"2020-03-17"
"11",7749,"2020-03-18"
"12",7749,"2020-03-19"
"13",7752,"2020-03-20"
"14",7849,"2020-03-21"
"15",7836,"2020-03-22"
"16",7811,"2020-03-23"
"17",7797,"2020-03-24"
"18",7796,"2020-03-25"
"19",7732,"2020-03-26"
"20",7697,"2020-03-27"
"21",7679,"2020-03-28"
"22",7670,"2020-03-29"
"23",7670,"2020-03-30"
"24",7683,"2020-03-31"
"25",7658,"2020-04-01"
"26",7721,"2020-04-02"
"27",7756,"2020-04-03"
"28",7772,"2020-04-04"
"29",7794,"2020-04-05"
"30",7815,"2020-04-06"
"31",7810,"2020-04-07"
"32",7833,"2020-04-08"
"33",7829,"2020-04-09"
"34",7821,"2020-04-10"
"35",7816,"2020-04-11"
"36",7804,"2020-04-12"
"37",7793,"2020-04-13"
"38",7781,"2020-04-14"
"39",7757,"2020-04-15"
"40",7706,"2020-04-16"
"41",7686,"2020-04-17"
"42",7667,"2020-04-18"
"43",7656,"2020-04-19"
"44",7648,"2020-04-20"
"45",7630,"2020-04-21"
"46",7602,"2020-04-22"
"47",7586,"2020-04-23"
"48",7576,"2020-04-24"
"49",7563,"2020-04-25"
"50",7582,"2020-04-26"
"51",7599,"2020-04-27"
"52",7596,"2020-04-28"
"53",7571,"2020-04-29"
"54",7586,"2020-04-30"
"55",7606,"2020-05-01"
"56",7663,"2020-05-02"
"57",7667,"2020-05-03"
"58",7705,"2020-05-04"
"59",7757,"2020-05-05"
"60",7727,"2020-05-06"
"61",7685,"2020-05-07"
"62",7719,"2020-05-08"
"63",7792,"2020-05-09"
"64",7855,"2020-05-10"
"65",7904,"2020-05-11"
"66",7882,"2020-05-12"
"67",7855,"2020-05-13"
"68",7852,"2020-05-14"
"69",7882,"2020-05-15"
"70",7979,"2020-05-16"
"71",8095,"2020-05-17"
"72",8102,"2020-05-18"
"73",8112,"2020-05-19"
"74",8094,"2020-05-20"
"75",8191,"2020-05-21"
"76",8328,"2020-05-22"
"77",8477,"2020-05-23"
"78",8665,"2020-05-24"
"79",8753,"2020-05-25"
"80",8845,"2020-05-26"
"81",8998,"2020-05-27"
"82",9101,"2020-05-28"
"83",9594,"2020-05-29"
"84",9684,"2020-05-30"
"85",9702,"2020-05-31"
"86",9888,"2020-06-01"
"87",9939,"2020-06-02"
"88",10089,"2020-06-03"
"89",10440,"2020-06-04"
"90",10282,"2020-06-05"
"91",10586,"2020-06-06"
"92",10445,"2020-06-07"
"93",11587,"2020-06-08"
"94",12579,"2020-06-09"
"95",12819,"2020-06-10"
"96",12756,"2020-06-11"
"97",13777,"2020-06-12"
"98",13990,"2020-06-13"
"99",14489,"2020-06-14"
"100",14332,"2020-06-15"
"101",14557,"2020-06-16"
"102",15212,"2020-06-17"
"103",15463,"2020-06-18"
"104",15803,"2020-06-19"
"105",16296,"2020-06-20"
"106",17002,"2020-06-21"
"107",17387,"2020-06-22"
"108",17917,"2020-06-23"
"109",18175,"2020-06-24"
"110",17703,"2020-06-25"
"111",18465,"2020-06-26"
"112",19234,"2020-06-27"
"113",20353,"2020-06-28"
"114",19906,"2020-06-29"
"115",18919,"2020-06-30"
"116",18422,"2020-07-01"
"117",18976,"2020-07-02"
"118",19477,"2020-07-03"
"119",19597,"2020-07-04"
"120",19999,"2020-07-05"
"121",20597,"2020-07-06"
"122",21267,"2020-07-07"
"123",20980,"2020-07-08"
"124",20458,"2020-07-09"
"125",20759,"2020-07-10"
"126",20171,"2020-07-11"
"127",19206,"2020-07-12"
"128",18850,"2020-07-13"
"129",18199,"2020-07-14"
"130",16874,"2020-07-15"
"131",16678,"2020-07-16"
"132",16079,"2020-07-17"
"133",16487,"2020-07-18"
"134",16476,"2020-07-19"
"135",16804,"2020-07-20"
