"","cases","dt"
"1",1,"2020-03-08"
"2",0,"2020-03-09"
"3",0,"2020-03-10"
"4",0,"2020-03-11"
"5",0,"2020-03-12"
"6",0,"2020-03-13"
"7",0,"2020-03-14"
"8",139,"2020-03-15"
"9",139,"2020-03-16"
"10",139,"2020-03-17"
"11",139,"2020-03-18"
"12",139,"2020-03-19"
"13",139,"2020-03-20"
"14",140,"2020-03-21"
"15",140,"2020-03-22"
"16",140,"2020-03-23"
"17",140,"2020-03-24"
"18",139,"2020-03-25"
"19",138,"2020-03-26"
"20",138,"2020-03-27"
"21",137,"2020-03-28"
"22",137,"2020-03-29"
"23",137,"2020-03-30"
"24",137,"2020-03-31"
"25",137,"2020-04-01"
"26",138,"2020-04-02"
"27",139,"2020-04-03"
"28",139,"2020-04-04"
"29",139,"2020-04-05"
"30",140,"2020-04-06"
"31",140,"2020-04-07"
"32",140,"2020-04-08"
"33",140,"2020-04-09"
"34",140,"2020-04-10"
"35",140,"2020-04-11"
"36",140,"2020-04-12"
"37",139,"2020-04-13"
"38",139,"2020-04-14"
"39",139,"2020-04-15"
"40",138,"2020-04-16"
"41",138,"2020-04-17"
"42",137,"2020-04-18"
"43",137,"2020-04-19"
"44",137,"2020-04-20"
"45",137,"2020-04-21"
"46",136,"2020-04-22"
"47",136,"2020-04-23"
"48",136,"2020-04-24"
"49",135,"2020-04-25"
"50",136,"2020-04-26"
"51",136,"2020-04-27"
"52",136,"2020-04-28"
"53",135,"2020-04-29"
"54",136,"2020-04-30"
"55",136,"2020-05-01"
"56",137,"2020-05-02"
"57",137,"2020-05-03"
"58",138,"2020-05-04"
"59",139,"2020-05-05"
"60",138,"2020-05-06"
"61",138,"2020-05-07"
"62",138,"2020-05-08"
"63",139,"2020-05-09"
"64",141,"2020-05-10"
"65",141,"2020-05-11"
"66",141,"2020-05-12"
"67",141,"2020-05-13"
"68",141,"2020-05-14"
"69",141,"2020-05-15"
"70",143,"2020-05-16"
"71",145,"2020-05-17"
"72",145,"2020-05-18"
"73",145,"2020-05-19"
"74",145,"2020-05-20"
"75",147,"2020-05-21"
"76",149,"2020-05-22"
"77",152,"2020-05-23"
"78",155,"2020-05-24"
"79",157,"2020-05-25"
"80",158,"2020-05-26"
"81",161,"2020-05-27"
"82",163,"2020-05-28"
"83",172,"2020-05-29"
"84",173,"2020-05-30"
"85",174,"2020-05-31"
"86",177,"2020-06-01"
"87",178,"2020-06-02"
"88",181,"2020-06-03"
"89",187,"2020-06-04"
"90",184,"2020-06-05"
"91",189,"2020-06-06"
"92",187,"2020-06-07"
"93",207,"2020-06-08"
"94",225,"2020-06-09"
"95",229,"2020-06-10"
"96",228,"2020-06-11"
"97",247,"2020-06-12"
"98",250,"2020-06-13"
"99",259,"2020-06-14"
"100",256,"2020-06-15"
"101",260,"2020-06-16"
"102",272,"2020-06-17"
"103",277,"2020-06-18"
"104",283,"2020-06-19"
"105",292,"2020-06-20"
"106",304,"2020-06-21"
"107",311,"2020-06-22"
"108",321,"2020-06-23"
"109",325,"2020-06-24"
"110",317,"2020-06-25"
"111",330,"2020-06-26"
"112",344,"2020-06-27"
"113",364,"2020-06-28"
"114",356,"2020-06-29"
"115",339,"2020-06-30"
"116",330,"2020-07-01"
"117",340,"2020-07-02"
"118",349,"2020-07-03"
"119",351,"2020-07-04"
"120",358,"2020-07-05"
"121",369,"2020-07-06"
"122",381,"2020-07-07"
"123",375,"2020-07-08"
"124",366,"2020-07-09"
"125",371,"2020-07-10"
"126",361,"2020-07-11"
"127",344,"2020-07-12"
"128",337,"2020-07-13"
"129",326,"2020-07-14"
"130",302,"2020-07-15"
"131",298,"2020-07-16"
"132",288,"2020-07-17"
"133",295,"2020-07-18"
"134",295,"2020-07-19"
"135",301,"2020-07-20"
