"","cases","dt"
"1",17,"2020-03-08"
"2",0,"2020-03-09"
"3",1,"2020-03-10"
"4",1,"2020-03-11"
"5",1,"2020-03-12"
"6",2,"2020-03-13"
"7",2,"2020-03-14"
"8",3392,"2020-03-15"
"9",3392,"2020-03-16"
"10",3391,"2020-03-17"
"11",3391,"2020-03-18"
"12",3391,"2020-03-19"
"13",3392,"2020-03-20"
"14",3435,"2020-03-21"
"15",3429,"2020-03-22"
"16",3418,"2020-03-23"
"17",3412,"2020-03-24"
"18",3411,"2020-03-25"
"19",3383,"2020-03-26"
"20",3368,"2020-03-27"
"21",3360,"2020-03-28"
"22",3356,"2020-03-29"
"23",3356,"2020-03-30"
"24",3362,"2020-03-31"
"25",3351,"2020-04-01"
"26",3378,"2020-04-02"
"27",3394,"2020-04-03"
"28",3401,"2020-04-04"
"29",3410,"2020-04-05"
"30",3420,"2020-04-06"
"31",3418,"2020-04-07"
"32",3428,"2020-04-08"
"33",3426,"2020-04-09"
"34",3423,"2020-04-10"
"35",3420,"2020-04-11"
"36",3415,"2020-04-12"
"37",3410,"2020-04-13"
"38",3405,"2020-04-14"
"39",3394,"2020-04-15"
"40",3372,"2020-04-16"
"41",3363,"2020-04-17"
"42",3355,"2020-04-18"
"43",3350,"2020-04-19"
"44",3347,"2020-04-20"
"45",3339,"2020-04-21"
"46",3327,"2020-04-22"
"47",3319,"2020-04-23"
"48",3315,"2020-04-24"
"49",3310,"2020-04-25"
"50",3318,"2020-04-26"
"51",3325,"2020-04-27"
"52",3324,"2020-04-28"
"53",3313,"2020-04-29"
"54",3319,"2020-04-30"
"55",3328,"2020-05-01"
"56",3353,"2020-05-02"
"57",3355,"2020-05-03"
"58",3371,"2020-05-04"
"59",3394,"2020-05-05"
"60",3381,"2020-05-06"
"61",3363,"2020-05-07"
"62",3378,"2020-05-08"
"63",3409,"2020-05-09"
"64",3437,"2020-05-10"
"65",3458,"2020-05-11"
"66",3449,"2020-05-12"
"67",3437,"2020-05-13"
"68",3436,"2020-05-14"
"69",3449,"2020-05-15"
"70",3492,"2020-05-16"
"71",3542,"2020-05-17"
"72",3545,"2020-05-18"
"73",3550,"2020-05-19"
"74",3542,"2020-05-20"
"75",3584,"2020-05-21"
"76",3644,"2020-05-22"
"77",3710,"2020-05-23"
"78",3792,"2020-05-24"
"79",3830,"2020-05-25"
"80",3870,"2020-05-26"
"81",3937,"2020-05-27"
"82",3983,"2020-05-28"
"83",4198,"2020-05-29"
"84",4237,"2020-05-30"
"85",4246,"2020-05-31"
"86",4327,"2020-06-01"
"87",4349,"2020-06-02"
"88",4415,"2020-06-03"
"89",4568,"2020-06-04"
"90",4499,"2020-06-05"
"91",4632,"2020-06-06"
"92",4570,"2020-06-07"
"93",5071,"2020-06-08"
"94",5505,"2020-06-09"
"95",5609,"2020-06-10"
"96",5582,"2020-06-11"
"97",6029,"2020-06-12"
"98",6122,"2020-06-13"
"99",6340,"2020-06-14"
"100",6272,"2020-06-15"
"101",6370,"2020-06-16"
"102",6657,"2020-06-17"
"103",6766,"2020-06-18"
"104",6915,"2020-06-19"
"105",7131,"2020-06-20"
"106",7440,"2020-06-21"
"107",7608,"2020-06-22"
"108",7840,"2020-06-23"
"109",7953,"2020-06-24"
"110",7747,"2020-06-25"
"111",8080,"2020-06-26"
"112",8417,"2020-06-27"
"113",8906,"2020-06-28"
"114",8710,"2020-06-29"
"115",8278,"2020-06-30"
"116",8061,"2020-07-01"
"117",8304,"2020-07-02"
"118",8523,"2020-07-03"
"119",8575,"2020-07-04"
"120",8751,"2020-07-05"
"121",9013,"2020-07-06"
"122",9306,"2020-07-07"
"123",9180,"2020-07-08"
"124",8952,"2020-07-09"
"125",9084,"2020-07-10"
"126",8827,"2020-07-11"
"127",8404,"2020-07-12"
"128",8248,"2020-07-13"
"129",7964,"2020-07-14"
"130",7384,"2020-07-15"
"131",7298,"2020-07-16"
"132",7036,"2020-07-17"
"133",7214,"2020-07-18"
"134",7210,"2020-07-19"
"135",7353,"2020-07-20"
