"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,4
"18",2020-03-25,4
"19",2020-03-26,4
"20",2020-03-27,5
"21",2020-03-28,5
"22",2020-03-29,6
"23",2020-03-30,7
"24",2020-03-31,8
"25",2020-04-01,10
"26",2020-04-02,12
"27",2020-04-03,15
"28",2020-04-04,18
"29",2020-04-05,23
"30",2020-04-06,29
"31",2020-04-07,36
"32",2020-04-08,47
"33",2020-04-09,61
"34",2020-04-10,75
"35",2020-04-11,90
"36",2020-04-12,113
"37",2020-04-13,138
"38",2020-04-14,166
"39",2020-04-15,185
"40",2020-04-16,209
"41",2020-04-17,235
"42",2020-04-18,254
"43",2020-04-19,289
"44",2020-04-20,327
"45",2020-04-21,345
"46",2020-04-22,388
"47",2020-04-23,416
"48",2020-04-24,437
"49",2020-04-25,462
"50",2020-04-26,488
"51",2020-04-27,516
"52",2020-04-28,550
"53",2020-04-29,580
"54",2020-04-30,604
"55",2020-05-01,636
"56",2020-05-02,665
"57",2020-05-03,704
"58",2020-05-04,741
"59",2020-05-05,776
"60",2020-05-06,810
"61",2020-05-07,859
"62",2020-05-08,856
"63",2020-05-09,903
"64",2020-05-10,938
"65",2020-05-11,981
"66",2020-05-12,1034
"67",2020-05-13,1117
"68",2020-05-14,1226
"69",2020-05-15,1212
"70",2020-05-16,1272
"71",2020-05-17,1335
"72",2020-05-18,1406
"73",2020-05-19,1448
"74",2020-05-20,1547
"75",2020-05-21,1565
"76",2020-05-22,1646
"77",2020-05-23,1740
"78",2020-05-24,1826
"79",2020-05-25,1865
"80",2020-05-26,1903
"81",2020-05-27,2061
"82",2020-05-28,2148
"83",2020-05-29,2191
"84",2020-05-30,2227
"85",2020-05-31,2303
"86",2020-06-01,2464
"87",2020-06-02,2556
"88",2020-06-03,2561
"89",2020-06-04,2666
"90",2020-06-05,2677
"91",2020-06-06,2763
"92",2020-06-07,2895
"93",2020-06-08,2874
"94",2020-06-09,3080
"95",2020-06-10,3131
"96",2020-06-11,3114
"97",2020-06-12,3150
"98",2020-06-13,3231
"99",2020-06-14,3312
"100",2020-06-15,3491
"101",2020-06-16,3525
"102",2020-06-17,3549
"103",2020-06-18,3511
"104",2020-06-19,3460
"105",2020-06-20,3477
"106",2020-06-21,3600
"107",2020-06-22,3578
"108",2020-06-23,3569
"109",2020-06-24,3450
"110",2020-06-25,3501
"111",2020-06-26,3520
"112",2020-06-27,3419
"113",2020-06-28,3458
"114",2020-06-29,3476
"115",2020-06-30,3448
"116",2020-07-01,3456
"117",2020-07-02,3346
"118",2020-07-03,3416
"119",2020-07-04,3374
"120",2020-07-05,3353
"121",2020-07-06,3197
"122",2020-07-07,3149
"123",2020-07-08,3169
"124",2020-07-09,3139
"125",2020-07-10,3162
"126",2020-07-11,3169
"127",2020-07-12,3085
"128",2020-07-13,3201
"129",2020-07-14,3181
"130",2020-07-15,3176
"131",2020-07-16,3110
"132",2020-07-17,3010
"133",2020-07-18,3096
"134",2020-07-19,3030
"135",2020-07-20,2905
"136",2020-07-21,2949
"137",2020-07-22,2908
"138",2020-07-23,2867
"139",2020-07-24,2827
"140",2020-07-25,2788
"141",2020-07-26,2749
"142",2020-07-27,2711
"143",2020-07-28,2673
"144",2020-07-29,2636
"145",2020-07-30,2599
"146",2020-07-31,2563
"147",2020-08-01,2527
"148",2020-08-02,2492
"149",2020-08-03,2457
"150",2020-08-04,2423
"151",2020-08-05,2389
"152",2020-08-06,2356
"153",2020-08-07,2323
"154",2020-08-08,2291
"155",2020-08-09,2259
"156",2020-08-10,2228
"157",2020-08-11,2197
"158",2020-08-12,2166
"159",2020-08-13,2136
"160",2020-08-14,2106
"161",2020-08-15,2077
"162",2020-08-16,2048
"163",2020-08-17,2019
"164",2020-08-18,1991
"165",2020-08-19,1963
"166",2020-08-20,1936
"167",2020-08-21,1909
"168",2020-08-22,1882
"169",2020-08-23,1856
"170",2020-08-24,1830
"171",2020-08-25,1804
"172",2020-08-26,1779
"173",2020-08-27,1754
"174",2020-08-28,1730
"175",2020-08-29,1706
"176",2020-08-30,1682
"177",2020-08-31,1659
"178",2020-09-01,1635
"179",2020-09-02,1613
"180",2020-09-03,1590
"181",2020-09-04,1568
"182",2020-09-05,1546
"183",2020-09-06,1524
"184",2020-09-07,1503
"185",2020-09-08,1482
"186",2020-09-09,1461
"187",2020-09-10,1441
"188",2020-09-11,1421
"189",2020-09-12,1401
"190",2020-09-13,1382
"191",2020-09-14,1362
"192",2020-09-15,1343
"193",2020-09-16,1324
"194",2020-09-17,1306
"195",2020-09-18,1288
"196",2020-09-19,1270
"197",2020-09-20,1252
"198",2020-09-21,1235
"199",2020-09-22,1217
"200",2020-09-23,1200
"201",2020-09-24,1184
"202",2020-09-25,1167
"203",2020-09-26,1151
"204",2020-09-27,1135
"205",2020-09-28,1119
"206",2020-09-29,1103
"207",2020-09-30,1088
"208",2020-10-01,1073
"209",2020-10-02,1058
"210",2020-10-03,1043
"211",2020-10-04,1028
"212",2020-10-05,1014
"213",2020-10-06,1000
"214",2020-10-07,986
"215",2020-10-08,972
"216",2020-10-09,958
"217",2020-10-10,945
"218",2020-10-11,932
"219",2020-10-12,919
"220",2020-10-13,906
"221",2020-10-14,893
"222",2020-10-15,881
"223",2020-10-16,868
"224",2020-10-17,856
"225",2020-10-18,844
"226",2020-10-19,833
"227",2020-10-20,821
"228",2020-10-21,809
"229",2020-10-22,798
"230",2020-10-23,787
"231",2020-10-24,776
"232",2020-10-25,765
"233",2020-10-26,754
"234",2020-10-27,744
"235",2020-10-28,733
"236",2020-10-29,723
"237",2020-10-30,713
"238",2020-10-31,703
"239",2020-11-01,693
"240",2020-11-02,684
"241",2020-11-03,674
"242",2020-11-04,665
"243",2020-11-05,655
"244",2020-11-06,646
"245",2020-11-07,637
"246",2020-11-08,628
"247",2020-11-09,619
"248",2020-11-10,611
"249",2020-11-11,602
"250",2020-11-12,594
"251",2020-11-13,585
"252",2020-11-14,577
"253",2020-11-15,569
"254",2020-11-16,561
"255",2020-11-17,553
"256",2020-11-18,546
"257",2020-11-19,538
"258",2020-11-20,530
"259",2020-11-21,523
"260",2020-11-22,516
"261",2020-11-23,509
"262",2020-11-24,501
"263",2020-11-25,494
"264",2020-11-26,487
"265",2020-11-27,481
"266",2020-11-28,474
"267",2020-11-29,467
"268",2020-11-30,461
"269",2020-12-01,454
"270",2020-12-02,448
"271",2020-12-03,442
"272",2020-12-04,436
"273",2020-12-05,429
"274",2020-12-06,423
"275",2020-12-07,418
"276",2020-12-08,412
"277",2020-12-09,406
"278",2020-12-10,400
"279",2020-12-11,395
"280",2020-12-12,389
"281",2020-12-13,384
"282",2020-12-14,378
"283",2020-12-15,373
"284",2020-12-16,368
"285",2020-12-17,363
"286",2020-12-18,358
"287",2020-12-19,353
"288",2020-12-20,348
"289",2020-12-21,343
"290",2020-12-22,338
"291",2020-12-23,333
"292",2020-12-24,329
"293",2020-12-25,324
"294",2020-12-26,319
"295",2020-12-27,315
"296",2020-12-28,311
"297",2020-12-29,306
"298",2020-12-30,302
"299",2020-12-31,298
"300",2021-01-01,294
"301",2021-01-02,289
"302",2021-01-03,285
"303",2021-01-04,281
"304",2021-01-05,277
"305",2021-01-06,274
"306",2021-01-07,270
"307",2021-01-08,266
"308",2021-01-09,262
"309",2021-01-10,259
"310",2021-01-11,255
"311",2021-01-12,251
"312",2021-01-13,248
"313",2021-01-14,244
"314",2021-01-15,241
"315",2021-01-16,238
"316",2021-01-17,234
"317",2021-01-18,231
"318",2021-01-19,228
"319",2021-01-20,225
"320",2021-01-21,221
"321",2021-01-22,218
"322",2021-01-23,215
"323",2021-01-24,212
"324",2021-01-25,209
"325",2021-01-26,206
"326",2021-01-27,203
"327",2021-01-28,201
"328",2021-01-29,198
"329",2021-01-30,195
"330",2021-01-31,192
"331",2021-02-01,190
"332",2021-02-02,187
"333",2021-02-03,184
"334",2021-02-04,182
"335",2021-02-05,179
"336",2021-02-06,177
"337",2021-02-07,174
"338",2021-02-08,172
"339",2021-02-09,169
"340",2021-02-10,167
"341",2021-02-11,165
"342",2021-02-12,162
"343",2021-02-13,160
"344",2021-02-14,158
"345",2021-02-15,156
"346",2021-02-16,153
"347",2021-02-17,151
"348",2021-02-18,149
"349",2021-02-19,147
"350",2021-02-20,145
"351",2021-02-21,143
"352",2021-02-22,141
"353",2021-02-23,139
"354",2021-02-24,137
"355",2021-02-25,135
"356",2021-02-26,133
"357",2021-02-27,131
"358",2021-02-28,130
"359",2021-03-01,128
"360",2021-03-02,126
"361",2021-03-03,124
"362",2021-03-04,122
"363",2021-03-05,121
"364",2021-03-06,119
"365",2021-03-07,117
"366",2021-03-08,116
"367",2021-03-09,114
"368",2021-03-10,113
"369",2021-03-11,111
"370",2021-03-12,109
"371",2021-03-13,108
"372",2021-03-14,106
"373",2021-03-15,105
"374",2021-03-16,103
"375",2021-03-17,102
"376",2021-03-18,101
"377",2021-03-19,99
"378",2021-03-20,98
"379",2021-03-21,96
"380",2021-03-22,95
"381",2021-03-23,94
"382",2021-03-24,92
"383",2021-03-25,91
"384",2021-03-26,90
"385",2021-03-27,89
"386",2021-03-28,87
"387",2021-03-29,86
"388",2021-03-30,85
"389",2021-03-31,84
"390",2021-04-01,83
"391",2021-04-02,81
"392",2021-04-03,80
"393",2021-04-04,79
"394",2021-04-05,78
"395",2021-04-06,77
"396",2021-04-07,76
"397",2021-04-08,75
"398",2021-04-09,74
"399",2021-04-10,73
"400",2021-04-11,72
"401",2021-04-12,71
"402",2021-04-13,70
"403",2021-04-14,69
"404",2021-04-15,68
"405",2021-04-16,67
"406",2021-04-17,66
"407",2021-04-18,65
"408",2021-04-19,64
"409",2021-04-20,63
"410",2021-04-21,62
"411",2021-04-22,61
"412",2021-04-23,61
"413",2021-04-24,60
"414",2021-04-25,59
