"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,3
"19",2020-03-26,4
"20",2020-03-27,4
"21",2020-03-28,5
"22",2020-03-29,5
"23",2020-03-30,6
"24",2020-03-31,7
"25",2020-04-01,9
"26",2020-04-02,11
"27",2020-04-03,13
"28",2020-04-04,17
"29",2020-04-05,20
"30",2020-04-06,26
"31",2020-04-07,34
"32",2020-04-08,44
"33",2020-04-09,57
"34",2020-04-10,71
"35",2020-04-11,88
"36",2020-04-12,109
"37",2020-04-13,136
"38",2020-04-14,162
"39",2020-04-15,190
"40",2020-04-16,215
"41",2020-04-17,241
"42",2020-04-18,279
"43",2020-04-19,314
"44",2020-04-20,335
"45",2020-04-21,370
"46",2020-04-22,419
"47",2020-04-23,421
"48",2020-04-24,460
"49",2020-04-25,483
"50",2020-04-26,517
"51",2020-04-27,539
"52",2020-04-28,559
"53",2020-04-29,607
"54",2020-04-30,636
"55",2020-05-01,662
"56",2020-05-02,675
"57",2020-05-03,725
"58",2020-05-04,754
"59",2020-05-05,805
"60",2020-05-06,861
"61",2020-05-07,870
"62",2020-05-08,921
"63",2020-05-09,927
"64",2020-05-10,987
"65",2020-05-11,1035
"66",2020-05-12,1091
"67",2020-05-13,1138
"68",2020-05-14,1196
"69",2020-05-15,1212
"70",2020-05-16,1310
"71",2020-05-17,1378
"72",2020-05-18,1470
"73",2020-05-19,1534
"74",2020-05-20,1606
"75",2020-05-21,1669
"76",2020-05-22,1758
"77",2020-05-23,1815
"78",2020-05-24,2035
"79",2020-05-25,1422
"80",2020-05-26,1413
"81",2020-05-27,1404
"82",2020-05-28,1395
"83",2020-05-29,1386
"84",2020-05-30,1377
"85",2020-05-31,1368
"86",2020-06-01,1359
"87",2020-06-02,1351
"88",2020-06-03,1342
"89",2020-06-04,1333
"90",2020-06-05,1325
"91",2020-06-06,1316
"92",2020-06-07,1308
"93",2020-06-08,1299
"94",2020-06-09,1291
"95",2020-06-10,1283
"96",2020-06-11,1274
"97",2020-06-12,1266
"98",2020-06-13,1258
"99",2020-06-14,1250
"100",2020-06-15,1242
"101",2020-06-16,1234
"102",2020-06-17,1226
"103",2020-06-18,1218
"104",2020-06-19,1210
"105",2020-06-20,1202
"106",2020-06-21,1195
"107",2020-06-22,1187
"108",2020-06-23,1179
"109",2020-06-24,1172
"110",2020-06-25,1164
"111",2020-06-26,1157
"112",2020-06-27,1149
"113",2020-06-28,1142
"114",2020-06-29,1134
"115",2020-06-30,1127
"116",2020-07-01,1120
"117",2020-07-02,1113
"118",2020-07-03,1106
"119",2020-07-04,1098
"120",2020-07-05,1091
"121",2020-07-06,1084
"122",2020-07-07,1077
"123",2020-07-08,1070
"124",2020-07-09,1063
"125",2020-07-10,1057
"126",2020-07-11,1050
"127",2020-07-12,1043
"128",2020-07-13,1036
"129",2020-07-14,1030
"130",2020-07-15,1023
"131",2020-07-16,1016
"132",2020-07-17,1010
"133",2020-07-18,1003
"134",2020-07-19,997
"135",2020-07-20,990
"136",2020-07-21,984
"137",2020-07-22,978
"138",2020-07-23,971
"139",2020-07-24,965
"140",2020-07-25,959
"141",2020-07-26,953
"142",2020-07-27,946
"143",2020-07-28,940
"144",2020-07-29,934
"145",2020-07-30,928
"146",2020-07-31,922
"147",2020-08-01,916
"148",2020-08-02,910
"149",2020-08-03,904
"150",2020-08-04,899
"151",2020-08-05,893
"152",2020-08-06,887
"153",2020-08-07,881
"154",2020-08-08,876
"155",2020-08-09,870
"156",2020-08-10,864
"157",2020-08-11,859
"158",2020-08-12,853
"159",2020-08-13,848
"160",2020-08-14,842
"161",2020-08-15,837
"162",2020-08-16,831
"163",2020-08-17,826
"164",2020-08-18,821
"165",2020-08-19,815
"166",2020-08-20,810
"167",2020-08-21,805
"168",2020-08-22,800
"169",2020-08-23,794
"170",2020-08-24,789
"171",2020-08-25,784
"172",2020-08-26,779
"173",2020-08-27,774
"174",2020-08-28,769
"175",2020-08-29,764
"176",2020-08-30,759
"177",2020-08-31,754
"178",2020-09-01,749
"179",2020-09-02,744
"180",2020-09-03,740
"181",2020-09-04,735
"182",2020-09-05,730
"183",2020-09-06,725
"184",2020-09-07,721
"185",2020-09-08,716
"186",2020-09-09,711
"187",2020-09-10,707
"188",2020-09-11,702
"189",2020-09-12,698
"190",2020-09-13,693
"191",2020-09-14,689
"192",2020-09-15,684
"193",2020-09-16,680
"194",2020-09-17,675
"195",2020-09-18,671
"196",2020-09-19,667
"197",2020-09-20,662
"198",2020-09-21,658
"199",2020-09-22,654
"200",2020-09-23,649
"201",2020-09-24,645
"202",2020-09-25,641
"203",2020-09-26,637
"204",2020-09-27,633
"205",2020-09-28,629
"206",2020-09-29,625
"207",2020-09-30,621
"208",2020-10-01,617
"209",2020-10-02,613
"210",2020-10-03,609
"211",2020-10-04,605
"212",2020-10-05,601
"213",2020-10-06,597
"214",2020-10-07,593
"215",2020-10-08,589
"216",2020-10-09,585
"217",2020-10-10,581
"218",2020-10-11,578
"219",2020-10-12,574
"220",2020-10-13,570
"221",2020-10-14,566
"222",2020-10-15,563
"223",2020-10-16,559
"224",2020-10-17,556
"225",2020-10-18,552
"226",2020-10-19,548
"227",2020-10-20,545
"228",2020-10-21,541
"229",2020-10-22,538
"230",2020-10-23,534
"231",2020-10-24,531
"232",2020-10-25,527
"233",2020-10-26,524
"234",2020-10-27,521
"235",2020-10-28,517
"236",2020-10-29,514
"237",2020-10-30,510
"238",2020-10-31,507
"239",2020-11-01,504
"240",2020-11-02,501
"241",2020-11-03,497
"242",2020-11-04,494
"243",2020-11-05,491
"244",2020-11-06,488
"245",2020-11-07,484
"246",2020-11-08,481
"247",2020-11-09,478
"248",2020-11-10,475
"249",2020-11-11,472
"250",2020-11-12,469
"251",2020-11-13,466
"252",2020-11-14,463
"253",2020-11-15,460
"254",2020-11-16,457
"255",2020-11-17,454
"256",2020-11-18,451
"257",2020-11-19,448
"258",2020-11-20,445
"259",2020-11-21,442
"260",2020-11-22,439
"261",2020-11-23,437
"262",2020-11-24,434
"263",2020-11-25,431
"264",2020-11-26,428
"265",2020-11-27,425
"266",2020-11-28,422
"267",2020-11-29,420
"268",2020-11-30,417
"269",2020-12-01,414
"270",2020-12-02,412
"271",2020-12-03,409
"272",2020-12-04,406
"273",2020-12-05,404
"274",2020-12-06,401
"275",2020-12-07,398
"276",2020-12-08,396
"277",2020-12-09,393
"278",2020-12-10,391
"279",2020-12-11,388
"280",2020-12-12,386
"281",2020-12-13,383
"282",2020-12-14,381
"283",2020-12-15,378
"284",2020-12-16,376
"285",2020-12-17,373
"286",2020-12-18,371
"287",2020-12-19,368
"288",2020-12-20,366
"289",2020-12-21,364
"290",2020-12-22,361
"291",2020-12-23,359
"292",2020-12-24,357
"293",2020-12-25,354
"294",2020-12-26,352
"295",2020-12-27,350
"296",2020-12-28,347
"297",2020-12-29,345
"298",2020-12-30,343
"299",2020-12-31,341
"300",2021-01-01,338
"301",2021-01-02,336
"302",2021-01-03,334
"303",2021-01-04,332
"304",2021-01-05,330
"305",2021-01-06,328
"306",2021-01-07,325
"307",2021-01-08,323
"308",2021-01-09,321
"309",2021-01-10,319
"310",2021-01-11,317
"311",2021-01-12,315
"312",2021-01-13,313
"313",2021-01-14,311
"314",2021-01-15,309
"315",2021-01-16,307
"316",2021-01-17,305
"317",2021-01-18,303
"318",2021-01-19,301
"319",2021-01-20,299
"320",2021-01-21,297
"321",2021-01-22,295
"322",2021-01-23,293
"323",2021-01-24,291
"324",2021-01-25,289
"325",2021-01-26,287
"326",2021-01-27,286
"327",2021-01-28,284
"328",2021-01-29,282
"329",2021-01-30,280
"330",2021-01-31,278
"331",2021-02-01,276
"332",2021-02-02,275
"333",2021-02-03,273
"334",2021-02-04,271
"335",2021-02-05,269
"336",2021-02-06,267
"337",2021-02-07,266
"338",2021-02-08,264
"339",2021-02-09,262
"340",2021-02-10,261
"341",2021-02-11,259
"342",2021-02-12,257
"343",2021-02-13,256
"344",2021-02-14,254
"345",2021-02-15,252
"346",2021-02-16,251
"347",2021-02-17,249
"348",2021-02-18,247
"349",2021-02-19,246
"350",2021-02-20,244
"351",2021-02-21,243
"352",2021-02-22,241
"353",2021-02-23,239
"354",2021-02-24,238
"355",2021-02-25,236
"356",2021-02-26,235
"357",2021-02-27,233
"358",2021-02-28,232
"359",2021-03-01,230
"360",2021-03-02,229
"361",2021-03-03,227
"362",2021-03-04,226
"363",2021-03-05,224
"364",2021-03-06,223
"365",2021-03-07,221
"366",2021-03-08,220
"367",2021-03-09,218
"368",2021-03-10,217
"369",2021-03-11,216
"370",2021-03-12,214
"371",2021-03-13,213
"372",2021-03-14,211
"373",2021-03-15,210
"374",2021-03-16,209
"375",2021-03-17,207
"376",2021-03-18,206
"377",2021-03-19,205
"378",2021-03-20,203
"379",2021-03-21,202
"380",2021-03-22,201
"381",2021-03-23,199
"382",2021-03-24,198
"383",2021-03-25,197
"384",2021-03-26,195
"385",2021-03-27,194
"386",2021-03-28,193
"387",2021-03-29,192
"388",2021-03-30,190
"389",2021-03-31,189
"390",2021-04-01,188
"391",2021-04-02,187
"392",2021-04-03,185
"393",2021-04-04,184
"394",2021-04-05,183
"395",2021-04-06,182
"396",2021-04-07,181
"397",2021-04-08,179
"398",2021-04-09,178
"399",2021-04-10,177
"400",2021-04-11,176
"401",2021-04-12,175
"402",2021-04-13,174
"403",2021-04-14,173
"404",2021-04-15,171
"405",2021-04-16,170
"406",2021-04-17,169
"407",2021-04-18,168
"408",2021-04-19,167
"409",2021-04-20,166
"410",2021-04-21,165
"411",2021-04-22,164
"412",2021-04-23,163
"413",2021-04-24,162
"414",2021-04-25,161
"415",2021-04-26,160
"416",2021-04-27,159
"417",2021-04-28,157
"418",2021-04-29,156
"419",2021-04-30,155
"420",2021-05-01,154
