"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,4
"19",2020-03-26,4
"20",2020-03-27,4
"21",2020-03-28,5
"22",2020-03-29,5
"23",2020-03-30,6
"24",2020-03-31,8
"25",2020-04-01,9
"26",2020-04-02,11
"27",2020-04-03,14
"28",2020-04-04,17
"29",2020-04-05,21
"30",2020-04-06,27
"31",2020-04-07,36
"32",2020-04-08,46
"33",2020-04-09,57
"34",2020-04-10,71
"35",2020-04-11,86
"36",2020-04-12,103
"37",2020-04-13,127
"38",2020-04-14,157
"39",2020-04-15,184
"40",2020-04-16,218
"41",2020-04-17,249
"42",2020-04-18,278
"43",2020-04-19,320
"44",2020-04-20,340
"45",2020-04-21,377
"46",2020-04-22,415
"47",2020-04-23,439
"48",2020-04-24,456
"49",2020-04-25,484
"50",2020-04-26,517
"51",2020-04-27,576
"52",2020-04-28,573
"53",2020-04-29,593
"54",2020-04-30,636
"55",2020-05-01,665
"56",2020-05-02,679
"57",2020-05-03,692
"58",2020-05-04,758
"59",2020-05-05,780
"60",2020-05-06,838
"61",2020-05-07,851
"62",2020-05-08,891
"63",2020-05-09,931
"64",2020-05-10,981
"65",2020-05-11,1013
"66",2020-05-12,1063
"67",2020-05-13,1159
"68",2020-05-14,1180
"69",2020-05-15,1212
"70",2020-05-16,1287
"71",2020-05-17,1352
"72",2020-05-18,1382
"73",2020-05-19,1409
"74",2020-05-20,1470
"75",2020-05-21,1559
"76",2020-05-22,1752
"77",2020-05-23,1789
"78",2020-05-24,1761
"79",2020-05-25,1312
"80",2020-05-26,1326
"81",2020-05-27,1340
"82",2020-05-28,1354
"83",2020-05-29,1368
"84",2020-05-30,1382
"85",2020-05-31,1396
"86",2020-06-01,1411
"87",2020-06-02,1425
"88",2020-06-03,1440
"89",2020-06-04,1455
"90",2020-06-05,1470
"91",2020-06-06,1485
"92",2020-06-07,1501
"93",2020-06-08,1516
"94",2020-06-09,1532
"95",2020-06-10,1548
"96",2020-06-11,1564
"97",2020-06-12,1580
"98",2020-06-13,1596
"99",2020-06-14,1613
"100",2020-06-15,1630
"101",2020-06-16,1646
"102",2020-06-17,1663
"103",2020-06-18,1681
"104",2020-06-19,1698
"105",2020-06-20,1716
"106",2020-06-21,1733
"107",2020-06-22,1751
"108",2020-06-23,1769
"109",2020-06-24,1788
"110",2020-06-25,1806
"111",2020-06-26,1825
"112",2020-06-27,1844
"113",2020-06-28,1863
"114",2020-06-29,1882
"115",2020-06-30,1902
"116",2020-07-01,1921
"117",2020-07-02,1941
"118",2020-07-03,1961
"119",2020-07-04,1981
"120",2020-07-05,2002
"121",2020-07-06,2023
"122",2020-07-07,2043
"123",2020-07-08,2065
"124",2020-07-09,2086
"125",2020-07-10,2107
"126",2020-07-11,2129
"127",2020-07-12,2151
"128",2020-07-13,2173
"129",2020-07-14,2196
"130",2020-07-15,2218
"131",2020-07-16,2241
"132",2020-07-17,2264
"133",2020-07-18,2288
"134",2020-07-19,2311
"135",2020-07-20,2335
"136",2020-07-21,2359
"137",2020-07-22,2384
"138",2020-07-23,2408
"139",2020-07-24,7356
"140",2020-07-25,8618
"141",2020-07-26,10097
"142",2020-07-27,11830
"143",2020-07-28,13859
"144",2020-07-29,16237
"145",2020-07-30,19021
"146",2020-07-31,22281
"147",2020-08-01,26099
"148",2020-08-02,30569
"149",2020-08-03,35802
"150",2020-08-04,41926
"151",2020-08-05,49094
"152",2020-08-06,57479
"153",2020-08-07,67288
"154",2020-08-08,78757
"155",2020-08-09,92162
"156",2020-08-10,107825
"157",2020-08-11,126115
"158",2020-08-12,147462
"159",2020-08-13,172358
"160",2020-08-14,201371
"161",2020-08-15,235149
"162",2020-08-16,274433
"163",2020-08-17,320059
"164",2020-08-18,372973
"165",2020-08-19,434230
"166",2020-08-20,505001
"167",2020-08-21,586567
"168",2020-08-22,680312
"169",2020-08-23,261380
"170",2020-08-24,262886
"171",2020-08-25,264359
"172",2020-08-26,265798
"173",2020-08-27,267203
"174",2020-08-28,268573
"175",2020-08-29,269906
"176",2020-08-30,271203
"177",2020-08-31,272462
"178",2020-09-01,273683
"179",2020-09-02,274865
"180",2020-09-03,276007
"181",2020-09-04,277109
"182",2020-09-05,278170
"183",2020-09-06,279190
"184",2020-09-07,280167
"185",2020-09-08,281102
"186",2020-09-09,281994
"187",2020-09-10,282842
"188",2020-09-11,283645
"189",2020-09-12,284405
"190",2020-09-13,285119
"191",2020-09-14,285788
"192",2020-09-15,286411
"193",2020-09-16,286988
"194",2020-09-17,287518
"195",2020-09-18,288002
"196",2020-09-19,288439
"197",2020-09-20,288829
"198",2020-09-21,289172
"199",2020-09-22,289467
"200",2020-09-23,289715
"201",2020-09-24,289916
"202",2020-09-25,290069
"203",2020-09-26,290174
"204",2020-09-27,290231
"205",2020-09-28,290242
"206",2020-09-29,290204
"207",2020-09-30,290120
"208",2020-10-01,289988
"209",2020-10-02,289809
"210",2020-10-03,289583
"211",2020-10-04,289311
"212",2020-10-05,288993
"213",2020-10-06,288629
"214",2020-10-07,288219
"215",2020-10-08,287763
"216",2020-10-09,287263
"217",2020-10-10,286718
"218",2020-10-11,286130
"219",2020-10-12,285497
"220",2020-10-13,284822
"221",2020-10-14,284104
"222",2020-10-15,283344
"223",2020-10-16,282543
"224",2020-10-17,281700
"225",2020-10-18,280817
"226",2020-10-19,279895
"227",2020-10-20,278933
"228",2020-10-21,277933
"229",2020-10-22,828919
"230",2020-10-23,932643
"231",2020-10-24,1046951
"232",2020-10-25,1172262
"233",2020-10-26,1308816
"234",2020-10-27,1456613
"235",2020-10-28,1615354
"236",2020-10-29,1784363
"237",2020-10-30,1962529
"238",2020-10-31,2148241
"239",2020-11-01,2339344
"240",2020-11-02,2533124
"241",2020-11-03,2726318
"242",2020-11-04,2915174
"243",2020-11-05,3095558
"244",2020-11-06,3263106
"245",2020-11-07,3413431
"246",2020-11-08,3542354
"247",2020-11-09,3646152
"248",2020-11-10,3721802
"249",2020-11-11,3767180
"250",2020-11-12,3781211
"251",2020-11-13,3763933
"252",2020-11-14,3716481
"253",2020-11-15,3640986
"254",2020-11-16,3540406
"255",2020-11-17,3418312
"256",2020-11-18,3278650
"257",2020-11-19,3125500
"258",2020-11-20,2962874
"259",2020-11-21,975631
"260",2020-11-22,912369
"261",2020-11-23,853576
"262",2020-11-24,798916
"263",2020-11-25,748075
"264",2020-11-26,700765
"265",2020-11-27,656720
"266",2020-11-28,615696
"267",2020-11-29,577465
"268",2020-11-30,541819
"269",2020-12-01,508567
"270",2020-12-02,477532
"271",2020-12-03,448552
"272",2020-12-04,421476
"273",2020-12-05,396167
"274",2020-12-06,372499
"275",2020-12-07,350354
"276",2020-12-08,329624
"277",2020-12-09,310210
"278",2020-12-10,292020
"279",2020-12-11,274970
"280",2020-12-12,258981
"281",2020-12-13,243982
"282",2020-12-14,229904
"283",2020-12-15,216688
"284",2020-12-16,204274
"285",2020-12-17,192612
"286",2020-12-18,181650
"287",2020-12-19,171344
"288",2020-12-20,161651
"289",2020-12-21,152532
"290",2020-12-22,143951
"291",2020-12-23,135874
"292",2020-12-24,128268
"293",2020-12-25,121105
"294",2020-12-26,114357
"295",2020-12-27,107999
"296",2020-12-28,102006
"297",2020-12-29,96357
"298",2020-12-30,91030
"299",2020-12-31,86007
"300",2021-01-01,81269
"301",2021-01-02,76799
"302",2021-01-03,72581
"303",2021-01-04,68601
"304",2021-01-05,64844
"305",2021-01-06,61297
"306",2021-01-07,57949
"307",2021-01-08,54787
"308",2021-01-09,51801
"309",2021-01-10,48980
"310",2021-01-11,46316
"311",2021-01-12,43800
"312",2021-01-13,41422
"313",2021-01-14,39175
"314",2021-01-15,37052
"315",2021-01-16,35045
"316",2021-01-17,33149
"317",2021-01-18,31356
"318",2021-01-19,29661
"319",2021-01-20,81074
"320",2021-01-21,79041
"321",2021-01-22,77054
"322",2021-01-23,75113
"323",2021-01-24,73215
"324",2021-01-25,71361
"325",2021-01-26,69551
"326",2021-01-27,67782
"327",2021-01-28,66054
"328",2021-01-29,64367
"329",2021-01-30,62721
"330",2021-01-31,61113
"331",2021-02-01,59543
"332",2021-02-02,58011
"333",2021-02-03,56516
"334",2021-02-04,55057
"335",2021-02-05,53634
"336",2021-02-06,52245
"337",2021-02-07,50890
"338",2021-02-08,49568
"339",2021-02-09,48279
"340",2021-02-10,47021
"341",2021-02-11,45795
"342",2021-02-12,44599
"343",2021-02-13,43433
"344",2021-02-14,42296
"345",2021-02-15,41188
"346",2021-02-16,40108
"347",2021-02-17,39054
"348",2021-02-18,38027
"349",2021-02-19,12819
"350",2021-02-20,12121
"351",2021-02-21,11461
"352",2021-02-22,10838
"353",2021-02-23,10248
"354",2021-02-24,9691
"355",2021-02-25,9164
"356",2021-02-26,8666
"357",2021-02-27,8195
"358",2021-02-28,7750
"359",2021-03-01,7329
"360",2021-03-02,6931
"361",2021-03-03,6554
"362",2021-03-04,6198
"363",2021-03-05,5862
"364",2021-03-06,5544
"365",2021-03-07,5243
"366",2021-03-08,4958
"367",2021-03-09,4689
"368",2021-03-10,4435
"369",2021-03-11,4194
"370",2021-03-12,3967
"371",2021-03-13,3752
"372",2021-03-14,3548
"373",2021-03-15,3356
"374",2021-03-16,3174
"375",2021-03-17,3002
"376",2021-03-18,2839
"377",2021-03-19,2685
"378",2021-03-20,2539
"379",2021-03-21,2402
"380",2021-03-22,2272
"381",2021-03-23,2148
"382",2021-03-24,2032
"383",2021-03-25,1922
"384",2021-03-26,1818
"385",2021-03-27,1719
"386",2021-03-28,1626
"387",2021-03-29,1538
"388",2021-03-30,1455
"389",2021-03-31,1376
"390",2021-04-01,1301
"391",2021-04-02,1231
"392",2021-04-03,1164
"393",2021-04-04,1101
"394",2021-04-05,1041
"395",2021-04-06,985
"396",2021-04-07,932
