"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,4
"19",2020-03-26,4
"20",2020-03-27,5
"21",2020-03-28,5
"22",2020-03-29,6
"23",2020-03-30,6
"24",2020-03-31,8
"25",2020-04-01,9
"26",2020-04-02,12
"27",2020-04-03,14
"28",2020-04-04,18
"29",2020-04-05,23
"30",2020-04-06,28
"31",2020-04-07,38
"32",2020-04-08,48
"33",2020-04-09,60
"34",2020-04-10,74
"35",2020-04-11,89
"36",2020-04-12,109
"37",2020-04-13,133
"38",2020-04-14,153
"39",2020-04-15,183
"40",2020-04-16,217
"41",2020-04-17,249
"42",2020-04-18,279
"43",2020-04-19,314
"44",2020-04-20,338
"45",2020-04-21,362
"46",2020-04-22,385
"47",2020-04-23,390
"48",2020-04-24,425
"49",2020-04-25,445
"50",2020-04-26,474
"51",2020-04-27,519
"52",2020-04-28,543
"53",2020-04-29,582
"54",2020-04-30,611
"55",2020-05-01,641
"56",2020-05-02,667
"57",2020-05-03,714
"58",2020-05-04,731
"59",2020-05-05,776
"60",2020-05-06,844
"61",2020-05-07,865
"62",2020-05-08,917
"63",2020-05-09,957
"64",2020-05-10,1005
"65",2020-05-11,1046
"66",2020-05-12,1070
"67",2020-05-13,1146
"68",2020-05-14,1201
"69",2020-05-15,1262
"70",2020-05-16,1301
"71",2020-05-17,1395
"72",2020-05-18,1497
"73",2020-05-19,1503
"74",2020-05-20,1591
"75",2020-05-21,1657
"76",2020-05-22,1817
"77",2020-05-23,1913
"78",2020-05-24,1892
"79",2020-05-25,1424
"80",2020-05-26,1443
"81",2020-05-27,1463
"82",2020-05-28,1482
"83",2020-05-29,1502
"84",2020-05-30,1523
"85",2020-05-31,1543
"86",2020-06-01,1564
"87",2020-06-02,1585
"88",2020-06-03,1606
"89",2020-06-04,1628
"90",2020-06-05,1649
"91",2020-06-06,1672
"92",2020-06-07,1694
"93",2020-06-08,1717
"94",2020-06-09,1740
"95",2020-06-10,1763
"96",2020-06-11,1787
"97",2020-06-12,1811
"98",2020-06-13,1835
"99",2020-06-14,1860
"100",2020-06-15,1885
"101",2020-06-16,1910
"102",2020-06-17,1936
"103",2020-06-18,1962
"104",2020-06-19,1988
"105",2020-06-20,2015
"106",2020-06-21,2042
"107",2020-06-22,2069
"108",2020-06-23,2097
"109",2020-06-24,2125
"110",2020-06-25,2153
"111",2020-06-26,2182
"112",2020-06-27,2211
"113",2020-06-28,2241
"114",2020-06-29,2271
"115",2020-06-30,2301
"116",2020-07-01,2332
"117",2020-07-02,2364
"118",2020-07-03,2395
"119",2020-07-04,2427
"120",2020-07-05,2460
"121",2020-07-06,2493
"122",2020-07-07,2526
"123",2020-07-08,2560
"124",2020-07-09,2594
"125",2020-07-10,2629
"126",2020-07-11,2664
"127",2020-07-12,2700
"128",2020-07-13,2736
"129",2020-07-14,2772
"130",2020-07-15,2809
"131",2020-07-16,2847
"132",2020-07-17,2885
"133",2020-07-18,2924
"134",2020-07-19,2963
"135",2020-07-20,3002
"136",2020-07-21,3042
"137",2020-07-22,3083
"138",2020-07-23,3124
"139",2020-07-24,3166
"140",2020-07-25,3208
"141",2020-07-26,3251
"142",2020-07-27,3294
"143",2020-07-28,3338
"144",2020-07-29,3383
"145",2020-07-30,3428
"146",2020-07-31,3474
"147",2020-08-01,3520
"148",2020-08-02,3567
"149",2020-08-03,3615
"150",2020-08-04,3663
"151",2020-08-05,3712
"152",2020-08-06,3761
"153",2020-08-07,3811
"154",2020-08-08,3862
"155",2020-08-09,3913
"156",2020-08-10,3966
"157",2020-08-11,4018
"158",2020-08-12,4072
"159",2020-08-13,4126
"160",2020-08-14,4181
"161",2020-08-15,4236
"162",2020-08-16,4293
"163",2020-08-17,4350
"164",2020-08-18,4408
"165",2020-08-19,4466
"166",2020-08-20,4526
"167",2020-08-21,4586
"168",2020-08-22,4647
"169",2020-08-23,4708
"170",2020-08-24,5579
"171",2020-08-25,6569
"172",2020-08-26,7722
"173",2020-08-27,9092
"174",2020-08-28,10746
"175",2020-08-29,12768
"176",2020-08-30,15273
"177",2020-08-31,17017
"178",2020-09-01,18959
"179",2020-09-02,21122
"180",2020-09-03,23531
"181",2020-09-04,26213
"182",2020-09-05,29200
"183",2020-09-06,32526
"184",2020-09-07,36228
"185",2020-09-08,40349
"186",2020-09-09,44935
"187",2020-09-10,50038
"188",2020-09-11,55715
"189",2020-09-12,62030
"190",2020-09-13,69053
"191",2020-09-14,76861
"192",2020-09-15,85539
"193",2020-09-16,95182
"194",2020-09-17,105893
"195",2020-09-18,117787
"196",2020-09-19,130987
"197",2020-09-20,145631
"198",2020-09-21,161868
"199",2020-09-22,81009
"200",2020-09-23,81969
"201",2020-09-24,82935
"202",2020-09-25,83908
"203",2020-09-26,84889
"204",2020-09-27,85875
"205",2020-09-28,86869
"206",2020-09-29,87869
"207",2020-09-30,88875
"208",2020-10-01,89888
"209",2020-10-02,90907
"210",2020-10-03,91933
"211",2020-10-04,92964
"212",2020-10-05,94001
"213",2020-10-06,95044
"214",2020-10-07,96093
"215",2020-10-08,97148
"216",2020-10-09,98207
"217",2020-10-10,99272
"218",2020-10-11,100343
"219",2020-10-12,101418
"220",2020-10-13,102498
"221",2020-10-14,103583
"222",2020-10-15,104672
"223",2020-10-16,105765
"224",2020-10-17,106863
"225",2020-10-18,107965
"226",2020-10-19,109071
"227",2020-10-20,110180
"228",2020-10-21,111292
"229",2020-10-22,112408
"230",2020-10-23,113527
"231",2020-10-24,114649
"232",2020-10-25,115773
"233",2020-10-26,116900
"234",2020-10-27,118029
"235",2020-10-28,119160
"236",2020-10-29,120292
"237",2020-10-30,121426
"238",2020-10-31,122561
"239",2020-11-01,123698
"240",2020-11-02,124835
"241",2020-11-03,125972
"242",2020-11-04,127110
"243",2020-11-05,128247
"244",2020-11-06,129384
"245",2020-11-07,130521
"246",2020-11-08,131657
"247",2020-11-09,132791
"248",2020-11-10,133924
"249",2020-11-11,135055
"250",2020-11-12,136185
"251",2020-11-13,137312
"252",2020-11-14,138436
"253",2020-11-15,139557
"254",2020-11-16,140675
"255",2020-11-17,141790
"256",2020-11-18,142900
"257",2020-11-19,144006
"258",2020-11-20,145108
"259",2020-11-21,146205
"260",2020-11-22,147297
"261",2020-11-23,148383
"262",2020-11-24,149463
"263",2020-11-25,150537
"264",2020-11-26,151605
"265",2020-11-27,152666
"266",2020-11-28,153719
"267",2020-11-29,154765
"268",2020-11-30,155803
"269",2020-12-01,156833
"270",2020-12-02,157854
"271",2020-12-03,158867
"272",2020-12-04,159870
"273",2020-12-05,160863
"274",2020-12-06,161847
"275",2020-12-07,162820
"276",2020-12-08,163783
"277",2020-12-09,164735
"278",2020-12-10,165675
"279",2020-12-11,166604
"280",2020-12-12,167521
"281",2020-12-13,168425
"282",2020-12-14,169317
"283",2020-12-15,170196
"284",2020-12-16,171062
"285",2020-12-17,171914
"286",2020-12-18,172752
"287",2020-12-19,173576
"288",2020-12-20,174385
"289",2020-12-21,175180
"290",2020-12-22,205636
"291",2020-12-23,239525
"292",2020-12-24,278095
"293",2020-12-25,322806
"294",2020-12-26,375412
"295",2020-12-27,438061
"296",2020-12-28,513413
"297",2020-12-29,559468
"298",2020-12-30,609028
"299",2020-12-31,662240
"300",2021-01-01,719227
"301",2021-01-02,780092
"302",2021-01-03,844902
"303",2021-01-04,913688
"304",2021-01-05,986430
"305",2021-01-06,1063054
"306",2021-01-07,1143420
"307",2021-01-08,1227316
"308",2021-01-09,1314446
"309",2021-01-10,1404427
"310",2021-01-11,1496779
"311",2021-01-12,1590924
"312",2021-01-13,1686184
"313",2021-01-14,1781783
"314",2021-01-15,1876853
"315",2021-01-16,1970444
"316",2021-01-17,2061538
"317",2021-01-18,2149070
"318",2021-01-19,2231949
"319",2021-01-20,1055620
"320",2021-01-21,1031863
"321",2021-01-22,1008175
"322",2021-01-23,984593
"323",2021-01-24,961153
"324",2021-01-25,937886
"325",2021-01-26,914822
"326",2021-01-27,891988
"327",2021-01-28,869408
"328",2021-01-29,847106
"329",2021-01-30,825102
"330",2021-01-31,803413
"331",2021-02-01,782055
"332",2021-02-02,761044
"333",2021-02-03,740390
"334",2021-02-04,720104
"335",2021-02-05,700196
"336",2021-02-06,680672
"337",2021-02-07,661539
"338",2021-02-08,642802
"339",2021-02-09,624462
"340",2021-02-10,606524
"341",2021-02-11,588987
"342",2021-02-12,571852
"343",2021-02-13,555118
"344",2021-02-14,538785
"345",2021-02-15,522848
"346",2021-02-16,507307
"347",2021-02-17,492156
"348",2021-02-18,477392
"349",2021-02-19,463010
"350",2021-02-20,449006
"351",2021-02-21,435374
"352",2021-02-22,422108
"353",2021-02-23,409202
"354",2021-02-24,396650
"355",2021-02-25,384446
"356",2021-02-26,372583
"357",2021-02-27,361054
"358",2021-02-28,349853
"359",2021-03-01,338972
"360",2021-03-02,328405
"361",2021-03-03,318144
"362",2021-03-04,308182
"363",2021-03-05,298513
"364",2021-03-06,289129
"365",2021-03-07,280024
"366",2021-03-08,271190
"367",2021-03-09,262621
"368",2021-03-10,254309
"369",2021-03-11,246249
"370",2021-03-12,238433
"371",2021-03-13,230855
"372",2021-03-14,223508
"373",2021-03-15,216387
"374",2021-03-16,209485
"375",2021-03-17,202795
"376",2021-03-18,196312
"377",2021-03-19,190030
"378",2021-03-20,183944
"379",2021-03-21,178047
"380",2021-03-22,172334
"381",2021-03-23,166800
"382",2021-03-24,161440
"383",2021-03-25,156248
"384",2021-03-26,151219
"385",2021-03-27,146349
"386",2021-03-28,141633
"387",2021-03-29,137066
"388",2021-03-30,132643
"389",2021-03-31,128361
"390",2021-04-01,124215
"391",2021-04-02,120201
"392",2021-04-03,116315
"393",2021-04-04,112552
"394",2021-04-05,108910
"395",2021-04-06,105384
"396",2021-04-07,101971
"397",2021-04-08,98667
