"","date","cases"
"1",2020-03-08,3
"2",2020-03-09,1
"3",2020-03-10,1
"4",2020-03-11,1
"5",2020-03-12,1
"6",2020-03-13,1
"7",2020-03-14,1
"8",2020-03-15,1
"9",2020-03-16,1
"10",2020-03-17,2
"11",2020-03-18,2
"12",2020-03-19,2
"13",2020-03-20,2
"14",2020-03-21,2
"15",2020-03-22,3
"16",2020-03-23,3
"17",2020-03-24,3
"18",2020-03-25,4
"19",2020-03-26,4
"20",2020-03-27,4
"21",2020-03-28,5
"22",2020-03-29,6
"23",2020-03-30,6
"24",2020-03-31,7
"25",2020-04-01,9
"26",2020-04-02,11
"27",2020-04-03,13
"28",2020-04-04,17
"29",2020-04-05,23
"30",2020-04-06,29
"31",2020-04-07,36
"32",2020-04-08,47
"33",2020-04-09,59
"34",2020-04-10,73
"35",2020-04-11,90
"36",2020-04-12,107
"37",2020-04-13,133
"38",2020-04-14,157
"39",2020-04-15,185
"40",2020-04-16,212
"41",2020-04-17,242
"42",2020-04-18,273
"43",2020-04-19,297
"44",2020-04-20,325
"45",2020-04-21,352
"46",2020-04-22,391
"47",2020-04-23,417
"48",2020-04-24,456
"49",2020-04-25,486
"50",2020-04-26,520
"51",2020-04-27,542
"52",2020-04-28,574
"53",2020-04-29,614
"54",2020-04-30,663
"55",2020-05-01,667
"56",2020-05-02,693
"57",2020-05-03,709
"58",2020-05-04,741
"59",2020-05-05,762
"60",2020-05-06,789
"61",2020-05-07,856
"62",2020-05-08,845
"63",2020-05-09,915
"64",2020-05-10,941
"65",2020-05-11,992
"66",2020-05-12,1047
"67",2020-05-13,1100
"68",2020-05-14,1148
"69",2020-05-15,1182
"70",2020-05-16,1210
"71",2020-05-17,1269
"72",2020-05-18,1349
"73",2020-05-19,1434
"74",2020-05-20,1508
"75",2020-05-21,1578
"76",2020-05-22,1677
"77",2020-05-23,1693
"78",2020-05-24,1810
"79",2020-05-25,1957.85254071381
"80",2020-05-26,2055.50212474846
"81",2020-05-27,2158.01713082867
"82",2020-05-28,2265.63947543663
"83",2020-05-29,2378.62305189506
"84",2020-05-30,2497.23431803333
"85",2020-05-31,2621.75291214642
"86",2020-06-01,2752.47229855262
"87",2020-06-02,2889.70044411079
"88",2020-06-03,3033.7605271137
"89",2020-06-04,3184.99168003197
"90",2020-06-05,3343.74976764214
"91",2020-06-06,3510.40820213319
"92",2020-06-07,3685.35879684839
"93",2020-06-08,3869.01266038224
"94",2020-06-09,4061.80113281806
"95",2020-06-10,4264.17676595664
"96",2020-06-11,4476.61434945464
"97",2020-06-12,4699.61198485762
"98",2020-06-13,4933.69220958257
"99",2020-06-14,5179.40317297222
"100",2020-06-15,5437.319866613
"101",2020-06-16,5708.0454111764
"102",2020-06-17,5992.21240211205
"103",2020-06-18,6290.48431658724
"104",2020-06-19,6603.5569841329
"105",2020-06-20,6932.16012351908
"106",2020-06-21,7277.0589484447
"107",2020-06-22,7639.05584468131
"108",2020-06-23,8018.99212136574
"109",2020-06-24,8417.74983918268
"110",2020-06-25,8836.25371822101
"111",2020-06-26,9275.47312832245
"112",2020-06-27,9736.42416476621
"113",2020-06-28,10220.1718121517
"114",2020-06-29,10727.8321993451
"115",2020-06-30,11260.5749483482
"116",2020-07-01,11819.6256199273
"117",2020-07-02,12406.2682587976
"118",2020-07-03,13021.8480411027
"119",2020-07-04,13667.7740268477
"120",2020-07-05,14345.5220198405
"121",2020-07-06,15056.6375375626
"122",2020-07-07,15802.7388932311
"123",2020-07-08,16585.5203921128
"124",2020-07-09,17406.7556439185
"125",2020-07-10,18268.300992828
"126",2020-07-11,19172.099066368
"127",2020-07-12,20120.182443988
"128",2020-07-13,21114.677445744
"129",2020-07-14,22157.8080409967
"130",2020-07-15,23251.8998764593
"131",2020-07-16,24399.3844222783
"132",2020-07-17,25602.803234098
"133",2020-07-18,26864.8123282223
"134",2020-07-19,28188.1866660579
"135",2020-07-20,29575.8247429749
"136",2020-07-21,31030.7532755465
"137",2020-07-22,32556.1319798301
"138",2020-07-23,34155.2584318977
"139",2020-07-24,35831.5730002138
"140",2020-07-25,37588.663837682
"141",2020-07-26,39430.2719192116
"142",2020-07-27,41360.2961084944
"143",2020-07-28,43382.798235297
"144",2020-07-29,45502.0081619702
"145",2020-07-30,47722.3288150162
"146",2020-07-31,50048.3411544367
"147",2020-08-01,52484.8090501905
"148",2020-08-02,55036.6840313948
"149",2020-08-03,57709.1098698922
"150",2020-08-04,60507.4269554915
"151",2020-08-05,63437.176415487
"152",2020-08-06,66504.1039260568
"153",2020-08-07,69714.1631577127
"154",2020-08-08,73073.5187912097
"155",2020-08-09,76588.5490341396
"156",2020-08-10,80265.8475618793
"157",2020-08-11,84112.2247996014
"158",2020-08-12,88134.7084547132
"159",2020-08-13,92340.5432013758
"160",2020-08-14,96737.1894106551
"161",2020-08-15,101332.32081147
"162",2020-08-16,106133.820958768
"163",2020-08-17,111149.77837641
"164",2020-08-18,116388.480233082
"165",2020-08-19,121858.404400309
"166",2020-08-20,127568.209732316
"167",2020-08-21,133526.724398328
"168",2020-08-22,139742.932088844
