"","date","cases","reports"
"1",2020-03-08,3,3
"2",2020-03-09,1,0
"3",2020-03-10,1,0
"4",2020-03-11,1,0
"5",2020-03-12,1,0
"6",2020-03-13,1,1
"7",2020-03-14,1,1
"8",2020-03-15,2,1
"9",2020-03-16,2,1
"10",2020-03-17,2,1
"11",2020-03-18,2,1
"12",2020-03-19,3,2
"13",2020-03-20,3,2
"14",2020-03-21,3,2
"15",2020-03-22,4,3
"16",2020-03-23,4,3
"17",2020-03-24,5,3
"18",2020-03-25,5,4
"19",2020-03-26,6,4
"20",2020-03-27,7,5
"21",2020-03-28,9,5
"22",2020-03-29,10,6
"23",2020-03-30,11,7
"24",2020-03-31,14,8
"25",2020-04-01,17,10
"26",2020-04-02,22,12
"27",2020-04-03,27,15
"28",2020-04-04,35,18
"29",2020-04-05,42,22
"30",2020-04-06,55,27
"31",2020-04-07,70,35
"32",2020-04-08,88,44
"33",2020-04-09,112,56
"34",2020-04-10,138,71
"35",2020-04-11,168,89
"36",2020-04-12,200,111
"37",2020-04-13,233,137
"38",2020-04-14,269,164
"39",2020-04-15,295,188
"40",2020-04-16,331,215
"41",2020-04-17,358,243
"42",2020-04-18,395,279
"43",2020-04-19,439,304
"44",2020-04-20,466,339
"45",2020-04-21,489,368
"46",2020-04-22,502,387
"47",2020-04-23,532,408
"48",2020-04-24,546,436
"49",2020-04-25,592,465
"50",2020-04-26,621,493
"51",2020-04-27,643,527
"52",2020-04-28,681,565
"53",2020-04-29,713,591
"54",2020-04-30,755,615
"55",2020-05-01,786,664
"56",2020-05-02,856,706
"57",2020-05-03,872,755
"58",2020-05-04,901,786
"59",2020-05-05,950,822
"60",2020-05-06,985,853
"61",2020-05-07,1030,882
"62",2020-05-08,1055,906
"63",2020-05-09,1136,940
"64",2020-05-10,1161,998
"65",2020-05-11,1206,1036
"66",2020-05-12,1278,1066
"67",2020-05-13,1307,1136
"68",2020-05-14,1419,1180
"69",2020-05-15,1472,1254
"70",2020-05-16,1521,1282
"71",2020-05-17,1540,1329
"72",2020-05-18,1647,1421
"73",2020-05-19,1698,1471
"74",2020-05-20,1769,1516
"75",2020-05-21,1907,1601
"76",2020-05-22,2053,1673
"77",2020-05-23,2138,1756
"78",2020-05-24,2103,1812
"79",2020-05-25,1732,1788
"80",2020-05-26,1764,1774
"81",2020-05-27,1798,1772
"82",2020-05-28,1832,1778
"83",2020-05-29,1866,1791
"84",2020-05-30,1902,1809
"85",2020-05-31,1937,1832
"86",2020-06-01,1974,1857
"87",2020-06-02,2011,1885
"88",2020-06-03,2049,1916
"89",2020-06-04,2088,1948
"90",2020-06-05,2127,1982
"91",2020-06-06,2168,2017
"92",2020-06-07,2209,2054
"93",2020-06-08,2250,2091
"94",2020-06-09,2293,2130
"95",2020-06-10,2336,2169
"96",2020-06-11,2380,2209
"97",2020-06-12,2425,2251
"98",2020-06-13,2471,2293
"99",2020-06-14,2517,2336
"100",2020-06-15,2565,2380
"101",2020-06-16,2613,2425
"102",2020-06-17,2663,2470
"103",2020-06-18,2713,2517
"104",2020-06-19,2764,2564
"105",2020-06-20,2816,2613
"106",2020-06-21,2869,2662
"107",2020-06-22,2923,2712
"108",2020-06-23,2978,2763
"109",2020-06-24,3035,2815
"110",2020-06-25,3092,2868
"111",2020-06-26,3150,2922
"112",2020-06-27,3209,2977
"113",2020-06-28,3270,3033
"114",2020-06-29,3331,3091
"115",2020-06-30,3394,3149
"116",2020-07-01,3458,3208
"117",2020-07-02,3523,3269
"118",2020-07-03,3590,3330
"119",2020-07-04,3657,3393
"120",2020-07-05,3726,3457
"121",2020-07-06,3796,3522
"122",2020-07-07,3867,3588
"123",2020-07-08,3940,3656
"124",2020-07-09,4014,3725
"125",2020-07-10,4090,3795
"126",2020-07-11,4167,3866
"127",2020-07-12,4245,3939
"128",2020-07-13,4325,4013
"129",2020-07-14,4406,4088
"130",2020-07-15,4489,4165
"131",2020-07-16,4573,4244
"132",2020-07-17,4659,4323
"133",2020-07-18,4747,4405
"134",2020-07-19,4836,4487
"135",2020-07-20,4927,4572
"136",2020-07-21,5019,4658
"137",2020-07-22,5113,4745
"138",2020-07-23,5209,4834
"139",2020-07-24,5307,4925
"140",2020-07-25,5407,5017
"141",2020-07-26,5508,5112
"142",2020-07-27,5611,5207
"143",2020-07-28,5716,5305
"144",2020-07-29,5824,5405
"145",2020-07-30,5933,5506
"146",2020-07-31,6044,5609
"147",2020-08-01,6157,5714
"148",2020-08-02,6272,5821
"149",2020-08-03,6390,5931
"150",2020-08-04,6509,6042
"151",2020-08-05,6631,6155
"152",2020-08-06,6755,6270
"153",2020-08-07,6881,6387
"154",2020-08-08,7010,6507
"155",2020-08-09,7141,6629
"156",2020-08-10,7275,6753
"157",2020-08-11,7410,6879
"158",2020-08-12,7549,7007
"159",2020-08-13,7690,7138
"160",2020-08-14,7833,7272
"161",2020-08-15,7979,7408
"162",2020-08-16,8128,7546
"163",2020-08-17,8280,7687
"164",2020-08-18,8434,7830
"165",2020-08-19,8591,7976
"166",2020-08-20,8751,8125
"167",2020-08-21,8914,8276
"168",2020-08-22,9080,8431
