"","date","cases","reports"
"1",2020-03-08,3,3
"2",2020-03-09,1,0
"3",2020-03-10,1,0
"4",2020-03-11,1,0
"5",2020-03-12,1,0
"6",2020-03-13,1,1
"7",2020-03-14,1,1
"8",2020-03-15,2,1
"9",2020-03-16,2,1
"10",2020-03-17,2,1
"11",2020-03-18,2,1
"12",2020-03-19,3,2
"13",2020-03-20,3,2
"14",2020-03-21,3,2
"15",2020-03-22,4,2
"16",2020-03-23,4,3
"17",2020-03-24,5,3
"18",2020-03-25,5,4
"19",2020-03-26,6,4
"20",2020-03-27,7,5
"21",2020-03-28,8,5
"22",2020-03-29,10,6
"23",2020-03-30,12,7
"24",2020-03-31,15,9
"25",2020-04-01,19,10
"26",2020-04-02,22,12
"27",2020-04-03,29,15
"28",2020-04-04,36,19
"29",2020-04-05,45,24
"30",2020-04-06,58,29
"31",2020-04-07,72,37
"32",2020-04-08,90,46
"33",2020-04-09,110,57
"34",2020-04-10,130,70
"35",2020-04-11,156,85
"36",2020-04-12,183,101
"37",2020-04-13,210,124
"38",2020-04-14,243,145
"39",2020-04-15,283,170
"40",2020-04-16,326,203
"41",2020-04-17,367,234
"42",2020-04-18,390,264
"43",2020-04-19,434,300
"44",2020-04-20,455,334
"45",2020-04-21,489,370
"46",2020-04-22,503,397
"47",2020-04-23,563,429
"48",2020-04-24,607,473
"49",2020-04-25,617,502
"50",2020-04-26,638,531
"51",2020-04-27,660,560
"52",2020-04-28,681,581
"53",2020-04-29,709,606
"54",2020-04-30,743,624
"55",2020-05-01,774,654
"56",2020-05-02,809,690
"57",2020-05-03,818,716
"58",2020-05-04,876,749
"59",2020-05-05,905,779
"60",2020-05-06,959,811
"61",2020-05-07,1007,854
"62",2020-05-08,1050,902
"63",2020-05-09,1095,941
"64",2020-05-10,1178,989
"65",2020-05-11,1163,1035
"66",2020-05-12,1261,1067
"67",2020-05-13,1294,1109
"68",2020-05-14,1310,1176
"69",2020-05-15,1316,1206
"70",2020-05-16,1412,1262
"71",2020-05-17,1471,1296
"72",2020-05-18,1538,1345
"73",2020-05-19,1656,1405
"74",2020-05-20,1778,1445
"75",2020-05-21,1830,1545
"76",2020-05-22,1953,1638
"77",2020-05-23,2005,1759
"78",2020-05-24,2097,1819
"79",2020-05-25,2193,1722
"80",2020-05-26,2287,1836
"81",2020-05-27,2386,1945
"82",2020-05-28,2488,2052
"83",2020-05-29,2595,2157
"84",2020-05-30,2707,2263
"85",2020-05-31,2823,2371
"86",2020-06-01,2945,2480
"87",2020-06-02,3071,2592
"88",2020-06-03,3203,2708
"89",2020-06-04,3341,2828
"90",2020-06-05,3484,2952
"91",2020-06-06,3634,3081
"92",2020-06-07,3790,3215
"93",2020-06-08,3953,3354
"94",2020-06-09,4123,3499
"95",2020-06-10,4300,3650
"96",2020-06-11,4484,3807
"97",2020-06-12,4677,3971
"98",2020-06-13,4878,4142
"99",2020-06-14,5087,4320
"100",2020-06-15,5305,4505
"101",2020-06-16,5533,4699
"102",2020-06-17,5770,4901
"103",2020-06-18,6018,5111
"104",2020-06-19,6276,5330
"105",2020-06-20,6545,5559
"106",2020-06-21,6826,5798
"107",2020-06-22,7119,6047
"108",2020-06-23,7424,6306
"109",2020-06-24,7742,6576
"110",2020-06-25,8074,6858
"111",2020-06-26,8420,7152
"112",2020-06-27,8780,7459
"113",2020-06-28,9156,7779
"114",2020-06-29,9549,8112
"115",2020-06-30,9957,8460
"116",2020-07-01,10383,8822
"117",2020-07-02,10828,9200
"118",2020-07-03,11291,9594
"119",2020-07-04,11774,10004
"120",2020-07-05,12277,10432
"121",2020-07-06,12802,10879
"122",2020-07-07,13349,11344
"123",2020-07-08,13919,11829
"124",2020-07-09,14513,12334
"125",2020-07-10,15133,12862
"126",2020-07-11,15778,13411
"127",2020-07-12,16451,13984
"128",2020-07-13,17153,14581
"129",2020-07-14,17884,15203
"130",2020-07-15,18645,15851
"131",2020-07-16,19439,16527
"132",2020-07-17,20267,17232
"133",2020-07-18,21129,17966
"134",2020-07-19,22027,18731
"135",2020-07-20,22963,19528
"136",2020-07-21,23938,20359
