"","date","cases","NA"
"1",2020-03-08,3,0
"2",2020-03-09,1,0
"3",2020-03-10,1,0
"4",2020-03-11,1,0
"5",2020-03-12,1,0
"6",2020-03-13,1,1
"7",2020-03-14,1,1
"8",2020-03-15,2,1
"9",2020-03-16,2,1
"10",2020-03-17,2,1
"11",2020-03-18,2,1
"12",2020-03-19,3,2
"13",2020-03-20,3,2
"14",2020-03-21,3,2
"15",2020-03-22,4,2
"16",2020-03-23,4,3
"17",2020-03-24,4,3
"18",2020-03-25,5,3
"19",2020-03-26,6,4
"20",2020-03-27,7,4
"21",2020-03-28,8,5
"22",2020-03-29,9,6
"23",2020-03-30,12,7
"24",2020-03-31,14,8
"25",2020-04-01,17,10
"26",2020-04-02,21,12
"27",2020-04-03,27,14
"28",2020-04-04,34,18
"29",2020-04-05,44,22
"30",2020-04-06,55,28
"31",2020-04-07,71,35
"32",2020-04-08,88,45
"33",2020-04-09,109,55
"34",2020-04-10,131,69
"35",2020-04-11,154,85
"36",2020-04-12,191,104
"37",2020-04-13,216,124
"38",2020-04-14,249,149
"39",2020-04-15,283,172
"40",2020-04-16,323,201
"41",2020-04-17,342,235
"42",2020-04-18,391,268
"43",2020-04-19,430,299
"44",2020-04-20,489,334
"45",2020-04-21,498,365
"46",2020-04-22,549,395
"47",2020-04-23,561,423
"48",2020-04-24,583,459
"49",2020-04-25,594,490
"50",2020-04-26,641,523
"51",2020-04-27,669,555
"52",2020-04-28,707,582
"53",2020-04-29,748,613
"54",2020-04-30,777,648
"55",2020-05-01,807,691
"56",2020-05-02,825,719
"57",2020-05-03,867,752
"58",2020-05-04,875,771
"59",2020-05-05,971,787
"60",2020-05-06,1004,832
"61",2020-05-07,1036,875
"62",2020-05-08,1059,926
"63",2020-05-09,1092,958
"64",2020-05-10,1158,991
"65",2020-05-11,1211,1039
"66",2020-05-12,1220,1080
"67",2020-05-13,1312,1108
"68",2020-05-14,1399,1156
"69",2020-05-15,1440,1240
"70",2020-05-16,1506,1290
"71",2020-05-17,1582,1358
"72",2020-05-18,1611,1380
"73",2020-05-19,1715,1434
"74",2020-05-20,1901,1497
"75",2020-05-21,1986,1600
"76",2020-05-22,1991,1742
"77",2020-05-23,2161,1876
"78",2020-05-24,2234,1926
"79",2020-05-25,2362,1981
"80",2020-05-26,2493,2087
"81",2020-05-27,2605,2158
"82",2020-05-28,2707,2240
"83",2020-05-29,2809,2376
"84",2020-05-30,2915,2510
"85",2020-05-31,3048,2617
"86",2020-06-01,3217,2717
"87",2020-06-02,3395,2820
"88",2020-06-03,3592,2927
"89",2020-06-04,3793,3087
"90",2020-06-05,3977,3259
"91",2020-06-06,4142,3441
"92",2020-06-07,4337,3646
"93",2020-06-08,4554,3838
"94",2020-06-09,4762,4009
"95",2020-06-10,4980,4172
"96",2020-06-11,5208,4387
"97",2020-06-12,5447,4595
"98",2020-06-13,5721,4805
"99",2020-06-14,6022,5025
"100",2020-06-15,6323,5255
"101",2020-06-16,6639,5498
"102",2020-06-17,6970,5790
"103",2020-06-18,7319,6084
"104",2020-06-19,7684,6389
"105",2020-06-20,8068,6708
"106",2020-06-21,8471,7043
"107",2020-06-22,8894,7395
"108",2020-06-23,9338,7764
"109",2020-06-24,9804,8152
"110",2020-06-25,10294,8559
"111",2020-06-26,10807,8987
"112",2020-06-27,11346,9435
"113",2020-06-28,11912,9906
"114",2020-06-29,12494,10400
"115",2020-06-30,13087,10919
"116",2020-07-01,13708,11464
"117",2020-07-02,14359,12035
"118",2020-07-03,15040,12609
"119",2020-07-04,15754,13207
"120",2020-07-05,16502,13834
"121",2020-07-06,17284,14491
"122",2020-07-07,18104,15179
"123",2020-07-08,18963,15899
"124",2020-07-09,19862,16653
"125",2020-07-10,20803,17443
"126",2020-07-11,21789,18270
"127",2020-07-12,22812,19136
"128",2020-07-13,23868,20043
"129",2020-07-14,24973,20993
"130",2020-07-15,26128,21988
"131",2020-07-16,27336,23007
"132",2020-07-17,28599,24072
"133",2020-07-18,29920,25186
"134",2020-07-19,31301,26351
"135",2020-07-20,32745,27569
"136",2020-07-21,34254,28842
"137",2020-07-22,35831,30173
"138",2020-07-23,37480,31565
"139",2020-07-24,39204,33020
"140",2020-07-25,41005,34541
"141",2020-07-26,42839,36131
"142",2020-07-27,44685,37793
"143",2020-07-28,46609,39530
"144",2020-07-29,48613,41344
"145",2020-07-30,50701,43139
"146",2020-07-31,52876,44997
"147",2020-08-01,55141,46933
"148",2020-08-02,57499,48949
"149",2020-08-03,59955,51049
"150",2020-08-04,62485,53237
"151",2020-08-05,65105,55515
"152",2020-08-06,67829,57887
"153",2020-08-07,70663,60354
"154",2020-08-08,73609,62885
"155",2020-08-09,76673,65518
"156",2020-08-10,79857,68257
"157",2020-08-11,83167,71105
"158",2020-08-12,86607,74066
"159",2020-08-13,90181,77145
"160",2020-08-14,89533,80345
"161",2020-08-15,93533,83670
"162",2020-08-16,97701,87126
"163",2020-08-17,102046,90716
"164",2020-08-18,106572,94628
"165",2020-08-19,111411,94223
"166",2020-08-20,116577,98416
"167",2020-08-21,121968,102784
"168",2020-08-22,127590,107335
