"","Dates","No Change","10% Reduction of Beta","20% Reduction of Beta","30% Reduction of Beta","10% Increase of Gamma","20% Increase of Gamma","30% Increase of Gamma","10% Reduction(Beta),10% Increase(Gamma)","10% Reduction(Beta),20% Increase(Gamma)","20% Reduction(Beta),10% Increase(Gamma)","20% Reduction(Beta),20% Increase(Gamma)"
"1",2020-03-08,3,3,3,3,3,3,3,3,3,3,3
"2",2020-03-09,1,1,1,1,1,1,1,1,1,1,1
"3",2020-03-10,1,1,1,1,1,1,1,1,1,1,1
"4",2020-03-11,1,1,1,1,1,1,1,1,1,1,1
"5",2020-03-12,1,1,1,1,1,1,1,1,1,1,1
"6",2020-03-13,1,1,1,1,1,1,1,1,1,1,1
"7",2020-03-14,1,1,1,1,1,1,1,1,1,1,1
"8",2020-03-15,1,1,1,1,1,1,1,1,1,1,1
"9",2020-03-16,1,1,1,1,1,1,1,1,1,1,1
"10",2020-03-17,2,2,2,2,2,2,2,2,2,2,2
"11",2020-03-18,2,2,2,2,2,2,2,2,2,2,2
"12",2020-03-19,2,2,2,2,2,2,2,2,2,2,2
"13",2020-03-20,2,2,2,2,2,2,2,2,2,2,2
"14",2020-03-21,2,2,2,2,2,2,2,2,2,2,2
"15",2020-03-22,3,3,3,3,3,3,3,3,3,3,3
"16",2020-03-23,3,3,3,3,3,3,3,3,3,3,3
"17",2020-03-24,4,4,4,4,4,4,4,4,4,4,4
"18",2020-03-25,4,4,4,4,4,4,4,4,4,4,4
"19",2020-03-26,4,4,4,4,4,4,4,4,4,4,4
"20",2020-03-27,5,5,5,5,5,5,5,5,5,5,5
"21",2020-03-28,5,5,5,5,5,5,5,5,5,5,5
"22",2020-03-29,6,6,6,6,6,6,6,6,6,6,6
"23",2020-03-30,7,7,7,7,7,7,7,7,7,7,7
"24",2020-03-31,8,8,8,8,8,8,8,8,8,8,8
"25",2020-04-01,10,10,10,10,10,10,10,10,10,10,10
"26",2020-04-02,12,12,12,12,12,12,12,12,12,12,12
"27",2020-04-03,15,15,15,15,15,15,15,15,15,15,15
"28",2020-04-04,18,18,18,18,18,18,18,18,18,18,18
"29",2020-04-05,23,23,23,23,23,23,23,23,23,23,23
"30",2020-04-06,29,29,29,29,29,29,29,29,29,29,29
"31",2020-04-07,36,36,36,36,36,36,36,36,36,36,36
"32",2020-04-08,47,47,47,47,47,47,47,47,47,47,47
"33",2020-04-09,61,61,61,61,61,61,61,61,61,61,61
"34",2020-04-10,75,75,75,75,75,75,75,75,75,75,75
"35",2020-04-11,90,90,90,90,90,90,90,90,90,90,90
"36",2020-04-12,113,113,113,113,113,113,113,113,113,113,113
"37",2020-04-13,138,138,138,138,138,138,138,138,138,138,138
"38",2020-04-14,166,166,166,166,166,166,166,166,166,166,166
"39",2020-04-15,185,185,185,185,185,185,185,185,185,185,185
"40",2020-04-16,209,209,209,209,209,209,209,209,209,209,209
"41",2020-04-17,235,235,235,235,235,235,235,235,235,235,235
"42",2020-04-18,254,254,254,254,254,254,254,254,254,254,254
"43",2020-04-19,289,289,289,289,289,289,289,289,289,289,289
"44",2020-04-20,327,327,327,327,327,327,327,327,327,327,327
"45",2020-04-21,345,345,345,345,345,345,345,345,345,345,345
"46",2020-04-22,388,388,388,388,388,388,388,388,388,388,388
"47",2020-04-23,416,416,416,416,416,416,416,416,416,416,416
"48",2020-04-24,437,437,437,437,437,437,437,437,437,437,437
"49",2020-04-25,462,462,462,462,462,462,462,462,462,462,462
"50",2020-04-26,488,488,488,488,488,488,488,488,488,488,488
"51",2020-04-27,516,516,516,516,516,516,516,516,516,516,516
"52",2020-04-28,550,550,550,550,550,550,550,550,550,550,550
"53",2020-04-29,580,580,580,580,580,580,580,580,580,580,580
"54",2020-04-30,604,604,604,604,604,604,604,604,604,604,604
"55",2020-05-01,636,636,636,636,636,636,636,636,636,636,636
"56",2020-05-02,665,665,665,665,665,665,665,665,665,665,665
"57",2020-05-03,704,704,704,704,704,704,704,704,704,704,704
"58",2020-05-04,741,741,741,741,741,741,741,741,741,741,741
"59",2020-05-05,776,776,776,776,776,776,776,776,776,776,776
"60",2020-05-06,810,810,810,810,810,810,810,810,810,810,810
"61",2020-05-07,859,859,859,859,859,859,859,859,859,859,859
"62",2020-05-08,856,856,856,856,856,856,856,856,856,856,856
