"","Dates","No Change","10% Reduction of Beta","20% Reduction of Beta","30% Reduction of Beta","10% Increase of Gamma","20% Increase of Gamma","30% Increase of Gamma","10% Reduction(Beta),10% Increase(Gamma)","10% Reduction(Beta),20% Increase(Gamma)","20% Reduction(Beta),10% Increase(Gamma)","20% Reduction(Beta),20% Increase(Gamma)"
"1",2020-03-08,11,11,11,11,11,11,11,11,11,11,11
"2",2020-03-09,3,3,3,3,3,3,3,3,3,3,3
"3",2020-03-10,3,3,3,3,3,3,3,3,3,3,3
"4",2020-03-11,3,3,3,3,3,3,3,3,3,3,3
"5",2020-03-12,4,4,4,4,4,4,4,4,4,4,4
"6",2020-03-13,4,4,4,4,4,4,4,4,4,4,4
"7",2020-03-14,5,5,5,5,5,5,5,5,5,5,5
"8",2020-03-15,5,5,5,5,5,5,5,5,5,5,5
"9",2020-03-16,6,6,6,6,6,6,6,6,6,6,6
"10",2020-03-17,6,6,6,6,6,6,6,6,6,6,6
"11",2020-03-18,8,8,8,8,8,8,8,8,8,8,8
"12",2020-03-19,9,9,9,9,9,9,9,9,9,9,9
"13",2020-03-20,9,9,9,9,9,9,9,9,9,9,9
"14",2020-03-21,10,10,10,10,10,10,10,10,10,10,10
"15",2020-03-22,11,11,11,11,11,11,11,11,11,11,11
"16",2020-03-23,12,12,12,12,12,12,12,12,12,12,12
"17",2020-03-24,12,12,12,12,12,12,12,12,12,12,12
"18",2020-03-25,13,13,13,13,13,13,13,13,13,13,13
"19",2020-03-26,15,15,15,15,15,15,15,15,15,15,15
"20",2020-03-27,16,16,16,16,16,16,16,16,16,16,16
"21",2020-03-28,18,18,18,18,18,18,18,18,18,18,18
"22",2020-03-29,21,21,21,21,21,21,21,21,21,21,21
"23",2020-03-30,24,24,24,24,24,24,24,24,24,24,24
"24",2020-03-31,27,27,27,27,27,27,27,27,27,27,27
"25",2020-04-01,33,33,33,33,33,33,33,33,33,33,33
"26",2020-04-02,40,40,40,40,40,40,40,40,40,40,40
