"","iso_code","continent","location","date","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","pos_rate","tDay-7","pDay-7","tDay-6","pDay-6","tDay-5","pDay-5","tDay-4","pDay-4","tDay-3","pDay-3","tDay-2","pDay-2","tDay-1","pDay-1"
"90","AUS","Oceania","Australia","2020-03-29",3809,431,14,1,149.373,16.902,0.549,0.039,211261,9743.57142857142,8.285,NA,9744,0.382,"tests performed",71.3,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.0442342936734844,224,0.00156582037803378,611,0.0627080126090463,114,0.0117000219925226,600,0.0615790631185396,376,0.0385895462209516,367,0.0376658602741734,212,0.0217579356352174
"91","AUS","Oceania","Australia","2020-03-30",4093,284,16,2,160.511,11.137,0.627,0.078,223531.428571429,12270.4285714286,NA,NA,10105,0.396,"tests performed",71.3,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.0231450758501857,611,0.0627080126090463,114,0.0117000219925226,600,0.0615790631185396,376,0.0385895462209516,367,0.0376658602741734,212,0.0217579356352174,431,0.0442342936734844
"92","AUS","Oceania","Australia","2020-03-31",4557,464,19,3,178.707,18.196,0.745,0.118,235801.857142857,12270.4285714286,NA,NA,10466,0.41,"tests performed",71.3,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.0378144901214302,114,0.0117000219925226,600,0.0615790631185396,376,0.0385895462209516,367,0.0376658602741734,212,0.0217579356352174,431,0.0442342936734844,284,0.0231450758501857
"93","AUS","Oceania","Australia","2020-04-01",4707,150,20,1,184.589,5.882,0.784,0.039,248072.285714286,12270.4285714286,NA,NA,10827,0.425,"tests performed",71.3,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.0122245118927037,600,0.0615790631185396,376,0.0385895462209516,367,0.0376658602741734,212,0.0217579356352174,431,0.0442342936734844,284,0.0231450758501857,464,0.0378144901214302
"94","AUS","Oceania","Australia","2020-04-02",4976,269,21,1,195.138,10.549,0.824,0.039,260342.714285714,12270.4285714286,NA,NA,11187,0.439,"tests performed",75.93,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.0219226246609153,376,0.0385895462209516,367,0.0376658602741734,212,0.0217579356352174,431,0.0442342936734844,284,0.0231450758501857,464,0.0378144901214302,150,0.0122245118927037
"95","AUS","Oceania","Australia","2020-04-03",5224,248,23,2,204.864,9.726,0.902,0.078,272613.142857143,12270.4285714286,NA,NA,11548,0.453,"tests performed",75.93,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.0202111929959368,367,0.0376658602741734,212,0.0217579356352174,431,0.0442342936734844,284,0.0231450758501857,464,0.0378144901214302,150,0.0122245118927037,269,0.0219226246609153
"96","AUS","Oceania","Australia","2020-04-04",5548,324,30,7,217.57,12.706,1.176,0.275,284883.571428571,12270.4285714286,NA,NA,11909,0.467,"tests performed",75.93,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.02640494568824,212,0.0217579356352174,431,0.0442342936734844,284,0.0231450758501857,464,0.0378144901214302,150,0.0122245118927037,269,0.0219226246609153,248,0.0202111929959368
"97","AUS","Oceania","Australia","2020-04-05",5687,139,34,4,223.021,5.451,1.333,0.157,297154,12270.4285714286,11.653,NA,12270,0.481,"tests performed",75.93,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.0113280476872388,431,0.0442342936734844,284,0.0231450758501857,464,0.0378144901214302,150,0.0122245118927037,269,0.0219226246609153,248,0.0202111929959368,324,0.02640494568824
"98","AUS","Oceania","Australia","2020-04-06",5744,57,36,2,225.256,2.235,1.412,0.078,302663,5509,11.869,0.216,11305,0.443,"tests performed",75.93,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.0103467053911781,284,0.0231450758501857,464,0.0378144901214302,150,0.0122245118927037,269,0.0219226246609153,248,0.0202111929959368,324,0.02640494568824,139,0.0113280476872388
"99","AUS","Oceania","Australia","2020-04-07",5844,100,42,6,229.178,3.922,1.647,0.235,310700,8037,12.184,0.315,10700,0.42,"tests performed",75.93,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.0124424536518601,464,0.0378144901214302,150,0.0122245118927037,269,0.0219226246609153,248,0.0202111929959368,324,0.02640494568824,139,0.0113280476872388,57,0.0103467053911781
"100","AUS","Oceania","Australia","2020-04-08",5956,112,45,3,233.57,4.392,1.765,0.118,319368,8668,12.524,0.34,10185,0.399,"tests performed",75.93,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.012921089063221,150,0.0122245118927037,269,0.0219226246609153,248,0.0202111929959368,324,0.02640494568824,139,0.0113280476872388,57,0.0103467053911781,100,0.0124424536518601
"101","AUS","Oceania","Australia","2020-04-09",6052,96,50,5,237.334,3.765,1.961,0.196,330134,10766,12.946,0.422,9970,0.391,"tests performed",75.93,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.00891696080252647,269,0.0219226246609153,248,0.0202111929959368,324,0.02640494568824,139,0.0113280476872388,57,0.0103467053911781,100,0.0124424536518601,112,0.012921089063221
